Создан как новый массив данных;Образец 006 полученный BalashovM Дата пятница, апреля 21 2023
cm-1;A
4000,00;0,0549
3999,00;0,0549
3998,00;0,0549
3997,00;0,0549
3996,00;0,0549
3995,00;0,0549
3994,00;0,0549
3993,00;0,0549
3992,00;0,0549
3991,00;0,0549
3990,00;0,0549
3989,00;0,0549
3988,00;0,0549
3987,00;0,0549
3986,00;0,0549
3985,00;0,0549
3984,00;0,0549
3983,00;0,0549
3982,00;0,0549
3981,00;0,0549
3980,00;0,0549
3979,00;0,0548
3978,00;0,0548
3977,00;0,0549
3976,00;0,0549
3975,00;0,0549
3974,00;0,0549
3973,00;0,0550
3972,00;0,0550
3971,00;0,0550
3970,00;0,0549
3969,00;0,0549
3968,00;0,0549
3967,00;0,0549
3966,00;0,0549
3965,00;0,0549
3964,00;0,0549
3963,00;0,0549
3962,00;0,0549
3961,00;0,0549
3960,00;0,0548
3959,00;0,0548
3958,00;0,0549
3957,00;0,0549
3956,00;0,0549
3955,00;0,0549
3954,00;0,0549
3953,00;0,0549
3952,00;0,0549
3951,00;0,0550
3950,00;0,0550
3949,00;0,0550
3948,00;0,0550
3947,00;0,0550
3946,00;0,0550
3945,00;0,0549
3944,00;0,0549
3943,00;0,0549
3942,00;0,0549
3941,00;0,0549
3940,00;0,0549
3939,00;0,0549
3938,00;0,0549
3937,00;0,0549
3936,00;0,0549
3935,00;0,0549
3934,00;0,0550
3933,00;0,0550
3932,00;0,0550
3931,00;0,0550
3930,00;0,0550
3929,00;0,0550
3928,00;0,0549
3927,00;0,0549
3926,00;0,0549
3925,00;0,0548
3924,00;0,0548
3923,00;0,0548
3922,00;0,0549
3921,00;0,0549
3920,00;0,0549
3919,00;0,0549
3918,00;0,0549
3917,00;0,0549
3916,00;0,0549
3915,00;0,0549
3914,00;0,0549
3913,00;0,0549
3912,00;0,0548
3911,00;0,0548
3910,00;0,0548
3909,00;0,0548
3908,00;0,0548
3907,00;0,0549
3906,00;0,0549
3905,00;0,0549
3904,00;0,0549
3903,00;0,0550
3902,00;0,0551
3901,00;0,0551
3900,00;0,0552
3899,00;0,0551
3898,00;0,0550
3897,00;0,0550
3896,00;0,0549
3895,00;0,0549
3894,00;0,0549
3893,00;0,0549
3892,00;0,0548
3891,00;0,0548
3890,00;0,0548
3889,00;0,0549
3888,00;0,0550
3887,00;0,0550
3886,00;0,0551
3885,00;0,0550
3884,00;0,0550
3883,00;0,0551
3882,00;0,0551
3881,00;0,0550
3880,00;0,0549
3879,00;0,0548
3878,00;0,0548
3877,00;0,0549
3876,00;0,0549
3875,00;0,0549
3874,00;0,0549
3873,00;0,0549
3872,00;0,0549
3871,00;0,0549
3870,00;0,0549
3869,00;0,0548
3868,00;0,0549
3867,00;0,0550
3866,00;0,0551
3865,00;0,0551
3864,00;0,0551
3863,00;0,0550
3862,00;0,0550
3861,00;0,0550
3860,00;0,0549
3859,00;0,0549
3858,00;0,0549
3857,00;0,0549
3856,00;0,0550
3855,00;0,0550
3854,00;0,0550
3853,00;0,0550
3852,00;0,0550
3851,00;0,0550
3850,00;0,0550
3849,00;0,0550
3848,00;0,0549
3847,00;0,0548
3846,00;0,0548
3845,00;0,0547
3844,00;0,0547
3843,00;0,0547
3842,00;0,0547
3841,00;0,0548
3840,00;0,0549
3839,00;0,0549
3838,00;0,0549
3837,00;0,0549
3836,00;0,0549
3835,00;0,0548
3834,00;0,0548
3833,00;0,0548
3832,00;0,0547
3831,00;0,0547
3830,00;0,0547
3829,00;0,0547
3828,00;0,0547
3827,00;0,0547
3826,00;0,0547
3825,00;0,0547
3824,00;0,0547
3823,00;0,0547
3822,00;0,0547
3821,00;0,0547
3820,00;0,0546
3819,00;0,0547
3818,00;0,0547
3817,00;0,0548
3816,00;0,0548
3815,00;0,0547
3814,00;0,0547
3813,00;0,0547
3812,00;0,0547
3811,00;0,0546
3810,00;0,0546
3809,00;0,0546
3808,00;0,0546
3807,00;0,0546
3806,00;0,0546
3805,00;0,0547
3804,00;0,0547
3803,00;0,0548
3802,00;0,0547
3801,00;0,0547
3800,00;0,0547
3799,00;0,0547
3798,00;0,0547
3797,00;0,0547
3796,00;0,0546
3795,00;0,0546
3794,00;0,0546
3793,00;0,0546
3792,00;0,0545
3791,00;0,0545
3790,00;0,0545
3789,00;0,0545
3788,00;0,0545
3787,00;0,0544
3786,00;0,0544
3785,00;0,0544
3784,00;0,0544
3783,00;0,0544
3782,00;0,0544
3781,00;0,0545
3780,00;0,0545
3779,00;0,0546
3778,00;0,0546
3777,00;0,0546
3776,00;0,0546
3775,00;0,0545
3774,00;0,0544
3773,00;0,0544
3772,00;0,0544
3771,00;0,0544
3770,00;0,0544
3769,00;0,0544
3768,00;0,0544
3767,00;0,0545
3766,00;0,0545
3765,00;0,0545
3764,00;0,0545
3763,00;0,0545
3762,00;0,0545
3761,00;0,0545
3760,00;0,0545
3759,00;0,0544
3758,00;0,0544
3757,00;0,0543
3756,00;0,0543
3755,00;0,0543
3754,00;0,0542
3753,00;0,0542
3752,00;0,0543
3751,00;0,0543
3750,00;0,0544
3749,00;0,0545
3748,00;0,0545
3747,00;0,0546
3746,00;0,0546
3745,00;0,0546
3744,00;0,0546
3743,00;0,0546
3742,00;0,0546
3741,00;0,0545
3740,00;0,0545
3739,00;0,0544
3738,00;0,0544
3737,00;0,0544
3736,00;0,0544
3735,00;0,0544
3734,00;0,0544
3733,00;0,0545
3732,00;0,0544
3731,00;0,0543
3730,00;0,0542
3729,00;0,0542
3728,00;0,0541
3727,00;0,0541
3726,00;0,0541
3725,00;0,0541
3724,00;0,0541
3723,00;0,0541
3722,00;0,0541
3721,00;0,0541
3720,00;0,0541
3719,00;0,0540
3718,00;0,0540
3717,00;0,0540
3716,00;0,0540
3715,00;0,0540
3714,00;0,0540
3713,00;0,0540
3712,00;0,0540
3711,00;0,0540
3710,00;0,0541
3709,00;0,0542
3708,00;0,0542
3707,00;0,0541
3706,00;0,0541
3705,00;0,0540
3704,00;0,0540
3703,00;0,0540
3702,00;0,0540
3701,00;0,0540
3700,00;0,0540
3699,00;0,0540
3698,00;0,0540
3697,00;0,0540
3696,00;0,0539
3695,00;0,0539
3694,00;0,0539
3693,00;0,0539
3692,00;0,0538
3691,00;0,0538
3690,00;0,0538
3689,00;0,0539
3688,00;0,0540
3687,00;0,0540
3686,00;0,0540
3685,00;0,0540
3684,00;0,0540
3683,00;0,0539
3682,00;0,0538
3681,00;0,0538
3680,00;0,0537
3679,00;0,0537
3678,00;0,0537
3677,00;0,0538
3676,00;0,0539
3675,00;0,0539
3674,00;0,0540
3673,00;0,0542
3672,00;0,0542
3671,00;0,0542
3670,00;0,0541
3669,00;0,0541
3668,00;0,0541
3667,00;0,0540
3666,00;0,0540
3665,00;0,0539
3664,00;0,0539
3663,00;0,0538
3662,00;0,0538
