Создан как новый массив данных;Образец 010 полученный BalashovM Дата пятница, апреля 21 2023
cm-1;A
3685,00;0,0237
3684,00;0,0238
3683,00;0,0239
3682,00;0,0239
3681,00;0,0240
3680,00;0,0239
3679,00;0,0239
3678,00;0,0239
3677,00;0,0238
3676,00;0,0237
3675,00;0,0237
3674,00;0,0237
3673,00;0,0237
3672,00;0,0236
3671,00;0,0236
3670,00;0,0236
3669,00;0,0237
3668,00;0,0237
3667,00;0,0237
3666,00;0,0237
3665,00;0,0238
3664,00;0,0238
3663,00;0,0239
3662,00;0,0239
3661,00;0,0239
3660,00;0,0239
3659,00;0,0239
3658,00;0,0239
3657,00;0,0239
3656,00;0,0239
3655,00;0,0239
3654,00;0,0239
3653,00;0,0238
3652,00;0,0237
3651,00;0,0237
3650,00;0,0237
3649,00;0,0237
3648,00;0,0236
3647,00;0,0236
3646,00;0,0236
3645,00;0,0236
3644,00;0,0237
3643,00;0,0238
3642,00;0,0239
3641,00;0,0240
3640,00;0,0240
3639,00;0,0240
3638,00;0,0241
3637,00;0,0241
3636,00;0,0241
3635,00;0,0241
3634,00;0,0241
3633,00;0,0241
3632,00;0,0240
3631,00;0,0239
3630,00;0,0239
3629,00;0,0238
3628,00;0,0238
3627,00;0,0238
3626,00;0,0238
3625,00;0,0238
3624,00;0,0239
3623,00;0,0239
3622,00;0,0240
3621,00;0,0239
3620,00;0,0239
3619,00;0,0239
3618,00;0,0239
3617,00;0,0239
3616,00;0,0239
3615,00;0,0238
3614,00;0,0238
3613,00;0,0238
3612,00;0,0238
3611,00;0,0239
3610,00;0,0239
3609,00;0,0239
3608,00;0,0239
3607,00;0,0239
3606,00;0,0239
3605,00;0,0239
3604,00;0,0240
3603,00;0,0240
3602,00;0,0241
3601,00;0,0241
3600,00;0,0241
3599,00;0,0241
3598,00;0,0241
3597,00;0,0241
3596,00;0,0241
3595,00;0,0241
3594,00;0,0241
3593,00;0,0241
3592,00;0,0241
3591,00;0,0241
3590,00;0,0241
3589,00;0,0241
3588,00;0,0241
3587,00;0,0240
3586,00;0,0240
3585,00;0,0240
3584,00;0,0240
3583,00;0,0240
3582,00;0,0241
3581,00;0,0241
3580,00;0,0242
3579,00;0,0242
3578,00;0,0242
3577,00;0,0242
3576,00;0,0242
3575,00;0,0242
3574,00;0,0242
3573,00;0,0242
3572,00;0,0242
3571,00;0,0242
3570,00;0,0242
3569,00;0,0242
3568,00;0,0241
3567,00;0,0241
3566,00;0,0240
3565,00;0,0240
3564,00;0,0240
3563,00;0,0240
3562,00;0,0240
3561,00;0,0241
3560,00;0,0241
3559,00;0,0242
3558,00;0,0242
3557,00;0,0242
3556,00;0,0242
3555,00;0,0242
3554,00;0,0243
3553,00;0,0243
3552,00;0,0243
3551,00;0,0243
3550,00;0,0243
3549,00;0,0243
3548,00;0,0243
3547,00;0,0243
3546,00;0,0243
3545,00;0,0242
3544,00;0,0242
3543,00;0,0242
3542,00;0,0243
3541,00;0,0243
3540,00;0,0243
3539,00;0,0243
3538,00;0,0244
3537,00;0,0244
3536,00;0,0244
3535,00;0,0244
3534,00;0,0244
3533,00;0,0244
3532,00;0,0244
3531,00;0,0244
3530,00;0,0244
3529,00;0,0244
3528,00;0,0243
3527,00;0,0243
3526,00;0,0243
3525,00;0,0244
3524,00;0,0244
3523,00;0,0244
3522,00;0,0244
3521,00;0,0245
3520,00;0,0245
3519,00;0,0245
3518,00;0,0244
3517,00;0,0244
3516,00;0,0244
3515,00;0,0244
3514,00;0,0244
3513,00;0,0245
3512,00;0,0245
3511,00;0,0245
3510,00;0,0244
3509,00;0,0244
3508,00;0,0244
3507,00;0,0244
3506,00;0,0245
3505,00;0,0245
3504,00;0,0246
3503,00;0,0246
3502,00;0,0246
3501,00;0,0246
3500,00;0,0245
3499,00;0,0245
3498,00;0,0245
3497,00;0,0245
3496,00;0,0245
3495,00;0,0245
3494,00;0,0245
3493,00;0,0245
3492,00;0,0246
3491,00;0,0246
3490,00;0,0246
3489,00;0,0246
3488,00;0,0246
3487,00;0,0246
3486,00;0,0246
3485,00;0,0246
3484,00;0,0246
3483,00;0,0246
3482,00;0,0246
3481,00;0,0245
3480,00;0,0245
3479,00;0,0245
3478,00;0,0245
3477,00;0,0246
3476,00;0,0246
3475,00;0,0247
3474,00;0,0247
3473,00;0,0247
3472,00;0,0247
3471,00;0,0247
3470,00;0,0247
3469,00;0,0247
3468,00;0,0247
3467,00;0,0247
3466,00;0,0247
3465,00;0,0247
3464,00;0,0247
3463,00;0,0247
3462,00;0,0246
3461,00;0,0246
3460,00;0,0246
3459,00;0,0246
3458,00;0,0246
3457,00;0,0246
3456,00;0,0246
3455,00;0,0247
3454,00;0,0247
3453,00;0,0248
3452,00;0,0248
3451,00;0,0247
3450,00;0,0247
3449,00;0,0247
3448,00;0,0247
3447,00;0,0247
3446,00;0,0248
3445,00;0,0248
3444,00;0,0248
3443,00;0,0248
3442,00;0,0247
3441,00;0,0247
3440,00;0,0247
3439,00;0,0247
3438,00;0,0247
3437,00;0,0247
3436,00;0,0247
3435,00;0,0247
3434,00;0,0248
3433,00;0,0248
3432,00;0,0248
3431,00;0,0248
3430,00;0,0248
3429,00;0,0248
3428,00;0,0248
3427,00;0,0248
3426,00;0,0248
3425,00;0,0248
3424,00;0,0248
3423,00;0,0248
3422,00;0,0248
3421,00;0,0248
3420,00;0,0248
3419,00;0,0249
3418,00;0,0249
3417,00;0,0249
3416,00;0,0249
3415,00;0,0249
3414,00;0,0249
3413,00;0,0248
3412,00;0,0248
3411,00;0,0248
3410,00;0,0248
3409,00;0,0248
3408,00;0,0248
3407,00;0,0248
3406,00;0,0248
3405,00;0,0248
3404,00;0,0248
3403,00;0,0248
3402,00;0,0249
3401,00;0,0249
3400,00;0,0250
3399,00;0,0250
3398,00;0,0250
3397,00;0,0250
3396,00;0,0250
3395,00;0,0249
3394,00;0,0249
3393,00;0,0249
3392,00;0,0249
3391,00;0,0249
3390,00;0,0249
3389,00;0,0250
3388,00;0,0250
3387,00;0,0250
3386,00;0,0250
3385,00;0,0250
3384,00;0,0250
3383,00;0,0250
3382,00;0,0250
3381,00;0,0250
3380,00;0,0250
3379,00;0,0250
3378,00;0,0250
3377,00;0,0250
3376,00;0,0250
3375,00;0,0250
3374,00;0,0249
3373,00;0,0249
3372,00;0,0249
3371,00;0,0249
3370,00;0,0250
3369,00;0,0250
3368,00;0,0250
3367,00;0,0251
3366,00;0,0251
3365,00;0,0251
3364,00;0,0251
3363,00;0,0250
3362,00;0,0250
3361,00;0,0250
3360,00;0,0250
3359,00;0,0250
3358,00;0,0250
3357,00;0,0250
3356,00;0,0250
3355,00;0,0250
3354,00;0,0251
3353,00;0,0251
3352,00;0,0251
3351,00;0,0252
3350,00;0,0252
3349,00;0,0252
3348,00;0,0252
3347,00;0,0252
3346,00;0,0252
3345,00;0,0252
3344,00;0,0252
3343,00;0,0252
3342,00;0,0253
3341,00;0,0253
3340,00;0,0253
3339,00;0,0252
3338,00;0,0252
3337,00;0,0252
3336,00;0,0252
3335,00;0,0252
3334,00;0,0252
3333,00;0,0252
3332,00;0,0252
3331,00;0,0252
3330,00;0,0253
3329,00;0,0253
3328,00;0,0253
3327,00;0,0253
3326,00;0,0253
3325,00;0,0253
3324,00;0,0252
3323,00;0,0252
3322,00;0,0252
3321,00;0,0252
3320,00;0,0252
3319,00;0,0252
3318,00;0,0252
3317,00;0,0253
3316,00;0,0253
3315,00;0,0253
3314,00;0,0254
3313,00;0,0254
3312,00;0,0254
3311,00;0,0254
3310,00;0,0253
3309,00;0,0253
3308,00;0,0253
3307,00;0,0253
3306,00;0,0253
3305,00;0,0253
3304,00;0,0254
3303,00;0,0254
3302,00;0,0254
3301,00;0,0254
3300,00;0,0253
3299,00;0,0253
3298,00;0,0254
3297,00;0,0254
3296,00;0,0254
3295,00;0,0254
3294,00;0,0254
3293,00;0,0254
3292,00;0,0254
3291,00;0,0254
3290,00;0,0254
3289,00;0,0254
3288,00;0,0255
3287,00;0,0255
3286,00;0,0255
3285,00;0,0255
3284,00;0,0255
3283,00;0,0255
3282,00;0,0255
3281,00;0,0255
3280,00;0,0255
3279,00;0,0255
3278,00;0,0255
3277,00;0,0255
3276,00;0,0254
3275,00;0,0254
3274,00;0,0254
3273,00;0,0254
3272,00;0,0254
3271,00;0,0254
3270,00;0,0255
3269,00;0,0255
3268,00;0,0255
3267,00;0,0256
3266,00;0,0256
3265,00;0,0256
3264,00;0,0256
3263,00;0,0256
3262,00;0,0256
3261,00;0,0256
3260,00;0,0256
3259,00;0,0256
3258,00;0,0255
3257,00;0,0255
3256,00;0,0255
3255,00;0,0255
3254,00;0,0255
3253,00;0,0255
3252,00;0,0256
3251,00;0,0256
3250,00;0,0256
3249,00;0,0255
3248,00;0,0255
3247,00;0,0255
3246,00;0,0256
3245,00;0,0256
3244,00;0,0256
3243,00;0,0256
3242,00;0,0256
3241,00;0,0256
3240,00;0,0255
3239,00;0,0255
3238,00;0,0256
3237,00;0,0256
3236,00;0,0256
3235,00;0,0257
3234,00;0,0257
3233,00;0,0257
3232,00;0,0256
3231,00;0,0256
3230,00;0,0256
3229,00;0,0256
3228,00;0,0256
3227,00;0,0257
3226,00;0,0257
3225,00;0,0257
3224,00;0,0257
3223,00;0,0257
3222,00;0,0257
3221,00;0,0257
3220,00;0,0257
3219,00;0,0257
3218,00;0,0257
3217,00;0,0257
3216,00;0,0257
3215,00;0,0257
3214,00;0,0257
3213,00;0,0257
3212,00;0,0257
3211,00;0,0257
3210,00;0,0257
3209,00;0,0257
3208,00;0,0257
3207,00;0,0257
3206,00;0,0257
3205,00;0,0257
3204,00;0,0258
3203,00;0,0258
3202,00;0,0258
3201,00;0,0258
3200,00;0,0257
3199,00;0,0257
3198,00;0,0257
3197,00;0,0257
3196,00;0,0257
3195,00;0,0257
3194,00;0,0258
3193,00;0,0258
3192,00;0,0258
3191,00;0,0258
3190,00;0,0258
3189,00;0,0258
3188,00;0,0258
3187,00;0,0258
3186,00;0,0258
3185,00;0,0258
3184,00;0,0258
3183,00;0,0258
3182,00;0,0257
3181,00;0,0258
3180,00;0,0258
3179,00;0,0258
3178,00;0,0258
3177,00;0,0258
3176,00;0,0258
3175,00;0,0258
3174,00;0,0258
3173,00;0,0259
3172,00;0,0259
3171,00;0,0260
3170,00;0,0260
3169,00;0,0260
3168,00;0,0260
3167,00;0,0260
3166,00;0,0260
3165,00;0,0260
3164,00;0,0260
3163,00;0,0260
3162,00;0,0260
3161,00;0,0260
3160,00;0,0259
3159,00;0,0259
3158,00;0,0259
3157,00;0,0259
3156,00;0,0258
