Создан как новый массив данных;Образец 008 полученный BalashovM Дата пятница, апреля 21 2023
cm-1;A
4000,00;0,0283
3999,00;0,0283
3998,00;0,0283
3997,00;0,0283
3996,00;0,0283
3995,00;0,0283
3994,00;0,0283
3993,00;0,0283
3992,00;0,0283
3991,00;0,0284
3990,00;0,0284
3989,00;0,0284
3988,00;0,0284
3987,00;0,0285
3986,00;0,0285
3985,00;0,0285
3984,00;0,0284
3983,00;0,0284
3982,00;0,0284
3981,00;0,0283
3980,00;0,0283
3979,00;0,0283
3978,00;0,0283
3977,00;0,0284
3976,00;0,0284
3975,00;0,0285
3974,00;0,0285
3973,00;0,0285
3972,00;0,0285
3971,00;0,0285
3970,00;0,0285
3969,00;0,0285
3968,00;0,0285
3967,00;0,0285
3966,00;0,0285
3965,00;0,0284
3964,00;0,0285
3963,00;0,0285
3962,00;0,0285
3961,00;0,0285
3960,00;0,0284
3959,00;0,0284
3958,00;0,0284
3957,00;0,0284
3956,00;0,0284
3955,00;0,0284
3954,00;0,0284
3953,00;0,0284
3952,00;0,0285
3951,00;0,0285
3950,00;0,0285
3949,00;0,0285
3948,00;0,0285
3947,00;0,0285
3946,00;0,0285
3945,00;0,0285
3944,00;0,0285
3943,00;0,0286
3942,00;0,0286
3941,00;0,0286
3940,00;0,0286
3939,00;0,0286
3938,00;0,0286
3937,00;0,0286
3936,00;0,0286
3935,00;0,0285
3934,00;0,0285
3933,00;0,0286
3932,00;0,0286
3931,00;0,0286
3930,00;0,0286
3929,00;0,0286
3928,00;0,0286
3927,00;0,0286
3926,00;0,0286
3925,00;0,0286
3924,00;0,0286
3923,00;0,0286
3922,00;0,0286
3921,00;0,0286
3920,00;0,0286
3919,00;0,0286
3918,00;0,0286
3917,00;0,0286
3916,00;0,0286
3915,00;0,0286
3914,00;0,0286
3913,00;0,0286
3912,00;0,0286
3911,00;0,0287
3910,00;0,0287
3909,00;0,0287
3908,00;0,0286
3907,00;0,0286
3906,00;0,0286
3905,00;0,0287
3904,00;0,0287
3903,00;0,0287
3902,00;0,0286
3901,00;0,0286
3900,00;0,0286
3899,00;0,0286
3898,00;0,0286
3897,00;0,0286
3896,00;0,0286
3895,00;0,0286
3894,00;0,0287
3893,00;0,0287
3892,00;0,0288
3891,00;0,0288
3890,00;0,0288
3889,00;0,0287
3888,00;0,0287
3887,00;0,0287
3886,00;0,0287
3885,00;0,0287
3884,00;0,0287
3883,00;0,0287
3882,00;0,0287
3881,00;0,0287
3880,00;0,0287
3879,00;0,0287
3878,00;0,0287
3877,00;0,0287
3876,00;0,0287
3875,00;0,0287
3874,00;0,0287
3873,00;0,0287
3872,00;0,0287
3871,00;0,0287
3870,00;0,0287
3869,00;0,0287
3868,00;0,0287
3867,00;0,0287
3866,00;0,0287
3865,00;0,0287
3864,00;0,0288
3863,00;0,0287
3862,00;0,0287
3861,00;0,0287
3860,00;0,0288
3859,00;0,0288
3858,00;0,0287
3857,00;0,0287
3856,00;0,0286
3855,00;0,0286
3854,00;0,0286
3853,00;0,0286
3852,00;0,0286
3851,00;0,0286
3850,00;0,0287
3849,00;0,0288
3848,00;0,0288
3847,00;0,0289
3846,00;0,0289
3845,00;0,0289
3844,00;0,0289
3843,00;0,0289
3842,00;0,0289
3841,00;0,0288
3840,00;0,0288
3839,00;0,0288
3838,00;0,0288
3837,00;0,0287
3836,00;0,0287
3835,00;0,0287
3834,00;0,0287
3833,00;0,0287
3832,00;0,0288
3831,00;0,0288
3830,00;0,0289
3829,00;0,0289
3828,00;0,0289
3827,00;0,0289
3826,00;0,0289
3825,00;0,0289
3824,00;0,0288
3823,00;0,0288
3822,00;0,0288
3821,00;0,0288
3820,00;0,0288
3819,00;0,0287
3818,00;0,0287
3817,00;0,0287
3816,00;0,0288
3815,00;0,0288
3814,00;0,0289
3813,00;0,0289
3812,00;0,0289
3811,00;0,0289
3810,00;0,0289
3809,00;0,0289
3808,00;0,0289
3807,00;0,0289
3806,00;0,0289
3805,00;0,0289
3804,00;0,0289
3803,00;0,0288
3802,00;0,0289
3801,00;0,0289
3800,00;0,0290
3799,00;0,0290
3798,00;0,0290
3797,00;0,0290
3796,00;0,0291
3795,00;0,0291
3794,00;0,0291
3793,00;0,0290
3792,00;0,0290
3791,00;0,0291
3790,00;0,0291
3789,00;0,0291
3788,00;0,0292
3787,00;0,0292
3786,00;0,0292
3785,00;0,0292
3784,00;0,0292
3783,00;0,0291
3782,00;0,0291
3781,00;0,0291
3780,00;0,0290
3779,00;0,0291
3778,00;0,0291
3777,00;0,0291
3776,00;0,0291
3775,00;0,0292
3774,00;0,0293
3773,00;0,0293
3772,00;0,0292
3771,00;0,0292
3770,00;0,0292
3769,00;0,0291
3768,00;0,0291
3767,00;0,0292
3766,00;0,0292
3765,00;0,0292
3764,00;0,0292
3763,00;0,0292
3762,00;0,0292
3761,00;0,0292
3760,00;0,0291
3759,00;0,0291
3758,00;0,0291
3757,00;0,0291
3756,00;0,0291
3755,00;0,0291
3754,00;0,0291
3753,00;0,0290
3752,00;0,0290
3751,00;0,0290
3750,00;0,0290
3749,00;0,0289
3748,00;0,0289
3747,00;0,0288
3746,00;0,0288
3745,00;0,0289
3744,00;0,0290
3743,00;0,0290
3742,00;0,0290
3741,00;0,0290
3740,00;0,0291
3739,00;0,0291
3738,00;0,0291
3737,00;0,0291
3736,00;0,0291
3735,00;0,0290
3734,00;0,0290
3733,00;0,0290
3732,00;0,0291
3731,00;0,0291
3730,00;0,0291
3729,00;0,0291
3728,00;0,0291
3727,00;0,0292
3726,00;0,0292
