Создан как новый массив данных;Образец 009 полученный BalashovM Дата пятница, апреля 21 2023
cm-1;A
3685,00;0,0272
3684,00;0,0272
3683,00;0,0273
3682,00;0,0274
3681,00;0,0274
3680,00;0,0274
3679,00;0,0275
3678,00;0,0275
3677,00;0,0275
3676,00;0,0274
3675,00;0,0274
3674,00;0,0274
3673,00;0,0274
3672,00;0,0273
3671,00;0,0273
3670,00;0,0273
3669,00;0,0273
3668,00;0,0273
3667,00;0,0273
3666,00;0,0273
3665,00;0,0274
3664,00;0,0274
3663,00;0,0275
3662,00;0,0275
3661,00;0,0276
3660,00;0,0276
3659,00;0,0276
3658,00;0,0276
3657,00;0,0275
3656,00;0,0275
3655,00;0,0275
3654,00;0,0275
3653,00;0,0275
3652,00;0,0274
3651,00;0,0274
3650,00;0,0274
3649,00;0,0274
3648,00;0,0274
3647,00;0,0274
3646,00;0,0274
3645,00;0,0274
3644,00;0,0275
3643,00;0,0275
3642,00;0,0276
3641,00;0,0276
3640,00;0,0277
3639,00;0,0277
3638,00;0,0277
3637,00;0,0277
3636,00;0,0277
3635,00;0,0277
3634,00;0,0277
3633,00;0,0278
3632,00;0,0277
3631,00;0,0277
3630,00;0,0275
3629,00;0,0275
3628,00;0,0275
3627,00;0,0275
3626,00;0,0275
3625,00;0,0276
3624,00;0,0276
3623,00;0,0277
3622,00;0,0277
3621,00;0,0277
3620,00;0,0277
3619,00;0,0278
3618,00;0,0278
3617,00;0,0278
3616,00;0,0278
3615,00;0,0277
3614,00;0,0277
3613,00;0,0277
3612,00;0,0277
3611,00;0,0278
3610,00;0,0278
3609,00;0,0278
3608,00;0,0278
3607,00;0,0278
3606,00;0,0278
3605,00;0,0278
3604,00;0,0278
3603,00;0,0278
3602,00;0,0278
3601,00;0,0278
3600,00;0,0278
3599,00;0,0278
3598,00;0,0279
3597,00;0,0279
3596,00;0,0279
3595,00;0,0279
3594,00;0,0279
3593,00;0,0279
3592,00;0,0280
3591,00;0,0280
3590,00;0,0280
