Создан как новый массив данных;Образец 010 полученный BalashovM Дата пятница, апреля 21 2023
cm-1;A
4000,00;0,0493
3999,00;0,0493
3998,00;0,0493
3997,00;0,0493
3996,00;0,0493
3995,00;0,0493
3994,00;0,0493
3993,00;0,0493
3992,00;0,0492
3991,00;0,0492
3990,00;0,0492
3989,00;0,0491
3988,00;0,0491
3987,00;0,0491
3986,00;0,0490
3985,00;0,0490
3984,00;0,0490
3983,00;0,0490
3982,00;0,0490
3981,00;0,0491
3980,00;0,0491
3979,00;0,0491
3978,00;0,0491
3977,00;0,0491
3976,00;0,0491
3975,00;0,0491
3974,00;0,0491
3973,00;0,0491
3972,00;0,0491
3971,00;0,0491
3970,00;0,0491
3969,00;0,0490
3968,00;0,0490
3967,00;0,0490
3966,00;0,0490
3965,00;0,0489
3964,00;0,0489
3963,00;0,0489
3962,00;0,0489
3961,00;0,0489
3960,00;0,0489
3959,00;0,0489
3958,00;0,0489
3957,00;0,0489
3956,00;0,0489
3955,00;0,0489
3954,00;0,0489
3953,00;0,0489
3952,00;0,0489
3951,00;0,0489
3950,00;0,0488
3949,00;0,0488
3948,00;0,0487
3947,00;0,0487
3946,00;0,0487
3945,00;0,0487
3944,00;0,0487
3943,00;0,0486
3942,00;0,0486
3941,00;0,0486
3940,00;0,0487
3939,00;0,0487
3938,00;0,0487
3937,00;0,0487
3936,00;0,0487
3935,00;0,0486
3934,00;0,0486
3933,00;0,0486
3932,00;0,0486
3931,00;0,0486
3930,00;0,0485
3929,00;0,0485
3928,00;0,0485
3927,00;0,0485
3926,00;0,0484
3925,00;0,0484
3924,00;0,0485
3923,00;0,0485
3922,00;0,0485
3921,00;0,0484
3920,00;0,0484
3919,00;0,0484
3918,00;0,0483
3917,00;0,0483
3916,00;0,0483
3915,00;0,0483
3914,00;0,0483
3913,00;0,0483
3912,00;0,0483
3911,00;0,0483
3910,00;0,0483
3909,00;0,0483
3908,00;0,0482
3907,00;0,0481
3906,00;0,0481
3905,00;0,0480
3904,00;0,0480
3903,00;0,0480
3902,00;0,0479
3901,00;0,0478
3900,00;0,0478
3899,00;0,0478
3898,00;0,0478
3897,00;0,0479
3896,00;0,0479
3895,00;0,0480
3894,00;0,0480
3893,00;0,0480
3892,00;0,0480
3891,00;0,0480
3890,00;0,0480
3889,00;0,0479
3888,00;0,0478
3887,00;0,0478
3886,00;0,0478
3885,00;0,0477
3884,00;0,0477
3883,00;0,0477
3882,00;0,0477
3881,00;0,0477
3880,00;0,0477
3879,00;0,0478
3878,00;0,0478
3877,00;0,0478
3876,00;0,0478
3875,00;0,0477
3874,00;0,0477
3873,00;0,0477
3872,00;0,0476
3871,00;0,0476
3870,00;0,0475
3869,00;0,0475
3868,00;0,0474
3867,00;0,0474
3866,00;0,0474
3865,00;0,0474
3864,00;0,0475
3863,00;0,0475
3862,00;0,0475
3861,00;0,0475
3860,00;0,0475
3859,00;0,0475
3858,00;0,0474
3857,00;0,0472
3856,00;0,0470
3855,00;0,0468
3854,00;0,0467
3853,00;0,0467
3852,00;0,0467
3851,00;0,0467
3850,00;0,0468
3849,00;0,0469
3848,00;0,0471
3847,00;0,0473
3846,00;0,0474
3845,00;0,0475
3844,00;0,0474
3843,00;0,0473
3842,00;0,0472
3841,00;0,0471
3840,00;0,0470
3839,00;0,0470
3838,00;0,0470
3837,00;0,0470
3836,00;0,0470
3835,00;0,0470
3834,00;0,0470
3833,00;0,0470
3832,00;0,0471
3831,00;0,0472
3830,00;0,0472
3829,00;0,0473
3828,00;0,0473
3827,00;0,0473
3826,00;0,0472
3825,00;0,0471
3824,00;0,0471
3823,00;0,0470
3822,00;0,0469
3821,00;0,0469
3820,00;0,0468
3819,00;0,0467
3818,00;0,0467
3817,00;0,0467
3816,00;0,0467
3815,00;0,0467
3814,00;0,0468
3813,00;0,0469
3812,00;0,0469
3811,00;0,0469
3810,00;0,0470
3809,00;0,0470
3808,00;0,0470
3807,00;0,0470
3806,00;0,0469
3805,00;0,0468
3804,00;0,0467
3803,00;0,0466
3802,00;0,0466
3801,00;0,0466
3800,00;0,0466
3799,00;0,0466
3798,00;0,0466
3797,00;0,0466
3796,00;0,0466
3795,00;0,0467
3794,00;0,0468
3793,00;0,0468
3792,00;0,0469
3791,00;0,0469
3790,00;0,0470
3789,00;0,0470
3788,00;0,0470
3787,00;0,0470
3786,00;0,0470
3785,00;0,0469
3784,00;0,0469
3783,00;0,0468
3782,00;0,0467
3781,00;0,0466
3780,00;0,0466
3779,00;0,0465
3778,00;0,0465
3777,00;0,0465
3776,00;0,0465
3775,00;0,0465
3774,00;0,0465
3773,00;0,0465
3772,00;0,0466
3771,00;0,0466
3770,00;0,0465
3769,00;0,0465
3768,00;0,0464
3767,00;0,0464
3766,00;0,0464
3765,00;0,0463
3764,00;0,0463
3763,00;0,0463
3762,00;0,0462
3761,00;0,0462
3760,00;0,0462
3759,00;0,0462
3758,00;0,0462
3757,00;0,0462
3756,00;0,0461
3755,00;0,0460
3754,00;0,0459
3753,00;0,0458
3752,00;0,0458
3751,00;0,0458
3750,00;0,0458
3749,00;0,0457
3748,00;0,0455
3747,00;0,0453
3746,00;0,0452
3745,00;0,0452
3744,00;0,0452
3743,00;0,0452
3742,00;0,0452
3741,00;0,0453
3740,00;0,0453
3739,00;0,0453
3738,00;0,0454
3737,00;0,0454
3736,00;0,0455
3735,00;0,0455
3734,00;0,0455
3733,00;0,0456
3732,00;0,0456
3731,00;0,0457
3730,00;0,0457
3729,00;0,0457
3728,00;0,0458
3727,00;0,0458
3726,00;0,0459
3725,00;0,0459
3724,00;0,0458
3723,00;0,0458
3722,00;0,0458
3721,00;0,0458
3720,00;0,0458
3719,00;0,0457
3718,00;0,0457
3717,00;0,0456
3716,00;0,0455
3715,00;0,0455
3714,00;0,0454
3713,00;0,0453
3712,00;0,0453
3711,00;0,0453
3710,00;0,0453
3709,00;0,0454
3708,00;0,0455
3707,00;0,0455
3706,00;0,0455
3705,00;0,0455
3704,00;0,0455
3703,00;0,0455
3702,00;0,0455
3701,00;0,0455
3700,00;0,0455
3699,00;0,0455
3698,00;0,0455
3697,00;0,0455
3696,00;0,0455
3695,00;0,0455
3694,00;0,0456
3693,00;0,0455
3692,00;0,0454
3691,00;0,0454
3690,00;0,0454
3689,00;0,0453
3688,00;0,0453
3687,00;0,0452
3686,00;0,0452
3685,00;0,0452
3684,00;0,0452
3683,00;0,0453
3682,00;0,0454
3681,00;0,0454
3680,00;0,0453
3679,00;0,0451
3678,00;0,0449
3677,00;0,0448
3676,00;0,0447
3675,00;0,0447
3674,00;0,0446
3673,00;0,0446
3672,00;0,0446
3671,00;0,0446
3670,00;0,0447
3669,00;0,0448
3668,00;0,0449
3667,00;0,0450
3666,00;0,0450
3665,00;0,0451
3664,00;0,0452
3663,00;0,0453
3662,00;0,0454
3661,00;0,0454
3660,00;0,0453
3659,00;0,0452
3658,00;0,0451
3657,00;0,0451
3656,00;0,0450
3655,00;0,0449
3654,00;0,0449
3653,00;0,0448
3652,00;0,0447
3651,00;0,0447
3650,00;0,0447
3649,00;0,0447
3648,00;0,0447
3647,00;0,0448
3646,00;0,0448
3645,00;0,0449
3644,00;0,0449
3643,00;0,0450
3642,00;0,0451
3641,00;0,0451
3640,00;0,0451
3639,00;0,0451
3638,00;0,0451
3637,00;0,0451
3636,00;0,0450
3635,00;0,0450
3634,00;0,0450
3633,00;0,0449
3632,00;0,0448
3631,00;0,0447
3630,00;0,0447
3629,00;0,0447
3628,00;0,0448
3627,00;0,0448
3626,00;0,0448
3625,00;0,0449
3624,00;0,0449
3623,00;0,0450
3622,00;0,0450
3621,00;0,0450
3620,00;0,0450
3619,00;0,0450
3618,00;0,0450
3617,00;0,0449
3616,00;0,0449
3615,00;0,0449
3614,00;0,0449
3613,00;0,0449
3612,00;0,0449
3611,00;0,0450
3610,00;0,0450
3609,00;0,0451
3608,00;0,0452
3607,00;0,0452
3606,00;0,0452
3605,00;0,0453
3604,00;0,0453
3603,00;0,0452
3602,00;0,0452
3601,00;0,0452
3600,00;0,0452
3599,00;0,0451
3598,00;0,0451
3597,00;0,0451
3596,00;0,0450
3595,00;0,0450
3594,00;0,0450
3593,00;0,0450
3592,00;0,0450
3591,00;0,0450
3590,00;0,0450
3589,00;0,0450
3588,00;0,0450
3587,00;0,0450
3586,00;0,0450
3585,00;0,0451
3584,00;0,0451
3583,00;0,0451
3582,00;0,0451
3581,00;0,0451
3580,00;0,0451
3579,00;0,0450
3578,00;0,0450
3577,00;0,0450
3576,00;0,0450
3575,00;0,0450
3574,00;0,0450
3573,00;0,0450
3572,00;0,0451
3571,00;0,0451
3570,00;0,0451
3569,00;0,0451
3568,00;0,0451
3567,00;0,0452
3566,00;0,0452
3565,00;0,0452
3564,00;0,0452
3563,00;0,0452
3562,00;0,0452
3561,00;0,0452
3560,00;0,0452
3559,00;0,0452
3558,00;0,0452
