Создан как новый массив данных;Образец 009 полученный BalashovM Дата пятница, апреля 21 2023
cm-1;A
3685,00;0,0281
3684,00;0,0282
3683,00;0,0282
3682,00;0,0282
3681,00;0,0282
3680,00;0,0281
3679,00;0,0280
3678,00;0,0279
3677,00;0,0279
3676,00;0,0279
3675,00;0,0279
3674,00;0,0278
3673,00;0,0278
3672,00;0,0278
3671,00;0,0278
3670,00;0,0279
3669,00;0,0279
3668,00;0,0280
3667,00;0,0280
3666,00;0,0280
3665,00;0,0280
3664,00;0,0280
3663,00;0,0280
3662,00;0,0280
3661,00;0,0280
3660,00;0,0280
3659,00;0,0280
3658,00;0,0280
3657,00;0,0280
3656,00;0,0280
3655,00;0,0280
3654,00;0,0279
3653,00;0,0279
3652,00;0,0279
3651,00;0,0279
3650,00;0,0278
3649,00;0,0278
3648,00;0,0278
3647,00;0,0278
3646,00;0,0279
3645,00;0,0279
3644,00;0,0279
3643,00;0,0279
3642,00;0,0280
3641,00;0,0280
3640,00;0,0280
3639,00;0,0280
3638,00;0,0279
3637,00;0,0279
3636,00;0,0279
3635,00;0,0279
3634,00;0,0279
3633,00;0,0279
3632,00;0,0279
3631,00;0,0279
3630,00;0,0279
3629,00;0,0279
3628,00;0,0280
3627,00;0,0280
3626,00;0,0280
3625,00;0,0280
3624,00;0,0280
3623,00;0,0280
3622,00;0,0279
3621,00;0,0279
3620,00;0,0279
3619,00;0,0279
3618,00;0,0280
3617,00;0,0280
3616,00;0,0280
3615,00;0,0279
3614,00;0,0279
3613,00;0,0279
3612,00;0,0278
3611,00;0,0278
3610,00;0,0279
3609,00;0,0279
3608,00;0,0280
3607,00;0,0281
3606,00;0,0281
3605,00;0,0281
3604,00;0,0281
3603,00;0,0280
3602,00;0,0280
3601,00;0,0280
3600,00;0,0279
3599,00;0,0279
3598,00;0,0279
3597,00;0,0280
3596,00;0,0280
3595,00;0,0280
3594,00;0,0280
3593,00;0,0280
3592,00;0,0280
3591,00;0,0280
3590,00;0,0280
3589,00;0,0281
3588,00;0,0281
3587,00;0,0281
3586,00;0,0280
3585,00;0,0280
3584,00;0,0280
3583,00;0,0280
3582,00;0,0279
3581,00;0,0279
3580,00;0,0279
3579,00;0,0279
3578,00;0,0279
3577,00;0,0280
3576,00;0,0279
3575,00;0,0279
3574,00;0,0279
3573,00;0,0279
3572,00;0,0279
3571,00;0,0279
3570,00;0,0279
3569,00;0,0279
3568,00;0,0279
3567,00;0,0279
3566,00;0,0279
3565,00;0,0279
3564,00;0,0279
3563,00;0,0279
3562,00;0,0279
3561,00;0,0279
3560,00;0,0279
3559,00;0,0279
3558,00;0,0279
3557,00;0,0279
3556,00;0,0279
3555,00;0,0279
3554,00;0,0279
3553,00;0,0279
3552,00;0,0279
3551,00;0,0279
3550,00;0,0279
3549,00;0,0280
3548,00;0,0280
3547,00;0,0279
3546,00;0,0279
3545,00;0,0279
3544,00;0,0278
3543,00;0,0278
3542,00;0,0278
3541,00;0,0278
3540,00;0,0279
3539,00;0,0279
3538,00;0,0279
3537,00;0,0279
3536,00;0,0280
3535,00;0,0280
3534,00;0,0280
3533,00;0,0279
3532,00;0,0279
3531,00;0,0279
3530,00;0,0279
3529,00;0,0280
3528,00;0,0280
3527,00;0,0280
3526,00;0,0281
3525,00;0,0281
3524,00;0,0281
3523,00;0,0281
3522,00;0,0281
3521,00;0,0281
3520,00;0,0280
3519,00;0,0280
3518,00;0,0280
3517,00;0,0280
3516,00;0,0280
3515,00;0,0280
3514,00;0,0280
3513,00;0,0280
3512,00;0,0279
3511,00;0,0279
3510,00;0,0279
3509,00;0,0278
3508,00;0,0278
3507,00;0,0278
3506,00;0,0278
3505,00;0,0279
3504,00;0,0279
3503,00;0,0279
3502,00;0,0279
3501,00;0,0279
3500,00;0,0279
3499,00;0,0279
3498,00;0,0279
3497,00;0,0279
3496,00;0,0279
3495,00;0,0279
3494,00;0,0279
3493,00;0,0279
3492,00;0,0279
3491,00;0,0279
3490,00;0,0278
3489,00;0,0278
3488,00;0,0278
3487,00;0,0278
3486,00;0,0278
3485,00;0,0279
3484,00;0,0279
3483,00;0,0280
3482,00;0,0280
3481,00;0,0280
3480,00;0,0280
3479,00;0,0280
3478,00;0,0279
3477,00;0,0279
3476,00;0,0279
3475,00;0,0279
3474,00;0,0279
3473,00;0,0279
3472,00;0,0279
3471,00;0,0279
3470,00;0,0279
3469,00;0,0279
3468,00;0,0279
3467,00;0,0279
3466,00;0,0279
3465,00;0,0279
3464,00;0,0279
3463,00;0,0279
3462,00;0,0279
3461,00;0,0279
3460,00;0,0279
3459,00;0,0279
3458,00;0,0279
3457,00;0,0279
3456,00;0,0279
3455,00;0,0279
3454,00;0,0279
3453,00;0,0279
3452,00;0,0279
3451,00;0,0279
3450,00;0,0280
3449,00;0,0280
3448,00;0,0280
3447,00;0,0281
3446,00;0,0281
3445,00;0,0281
3444,00;0,0282
3443,00;0,0282
3442,00;0,0282
3441,00;0,0282
3440,00;0,0281
3439,00;0,0281
3438,00;0,0280
3437,00;0,0280
3436,00;0,0280
3435,00;0,0281
3434,00;0,0282
3433,00;0,0282
3432,00;0,0283
3431,00;0,0283
3430,00;0,0283
3429,00;0,0283
3428,00;0,0284
3427,00;0,0284
3426,00;0,0284
3425,00;0,0285
3424,00;0,0285
3423,00;0,0285
3422,00;0,0285
3421,00;0,0285
3420,00;0,0286
3419,00;0,0286
3418,00;0,0286
3417,00;0,0285
3416,00;0,0285
3415,00;0,0285
3414,00;0,0284
3413,00;0,0284
3412,00;0,0284
3411,00;0,0283
3410,00;0,0283
3409,00;0,0282
3408,00;0,0282
3407,00;0,0282
3406,00;0,0282
3405,00;0,0281
3404,00;0,0281
3403,00;0,0280
3402,00;0,0279
3401,00;0,0279
3400,00;0,0278
3399,00;0,0279
3398,00;0,0279
3397,00;0,0279
3396,00;0,0279
3395,00;0,0278
3394,00;0,0278
3393,00;0,0277
3392,00;0,0277
3391,00;0,0276
3390,00;0,0277
3389,00;0,0277
3388,00;0,0277
3387,00;0,0276
3386,00;0,0276
3385,00;0,0276
3384,00;0,0275
3383,00;0,0275
3382,00;0,0275
3381,00;0,0274
3380,00;0,0274
3379,00;0,0274
3378,00;0,0274
3377,00;0,0275
3376,00;0,0275
3375,00;0,0274
3374,00;0,0274
3373,00;0,0273
3372,00;0,0273
3371,00;0,0272
3370,00;0,0272
3369,00;0,0272
3368,00;0,0272
3367,00;0,0272
3366,00;0,0272
3365,00;0,0272
3364,00;0,0272
3363,00;0,0272
3362,00;0,0272
3361,00;0,0272
3360,00;0,0273
3359,00;0,0273
3358,00;0,0273
3357,00;0,0273
3356,00;0,0273
3355,00;0,0273
3354,00;0,0272
3353,00;0,0272
3352,00;0,0272
3351,00;0,0271
3350,00;0,0271
3349,00;0,0271
3348,00;0,0271
3347,00;0,0271
3346,00;0,0270
3345,00;0,0270
3344,00;0,0270
3343,00;0,0270
3342,00;0,0270
3341,00;0,0270
3340,00;0,0270
3339,00;0,0270
3338,00;0,0269
3337,00;0,0269
3336,00;0,0269
3335,00;0,0269
3334,00;0,0269
3333,00;0,0269
3332,00;0,0269
3331,00;0,0269
3330,00;0,0268
3329,00;0,0268
3328,00;0,0268
3327,00;0,0268
3326,00;0,0267
3325,00;0,0268
3324,00;0,0268
3323,00;0,0268
3322,00;0,0268
3321,00;0,0267
3320,00;0,0267
3319,00;0,0267
3318,00;0,0267
3317,00;0,0267
3316,00;0,0267
3315,00;0,0267
3314,00;0,0267
3313,00;0,0266
3312,00;0,0266
3311,00;0,0266
3310,00;0,0266
3309,00;0,0266
3308,00;0,0266
3307,00;0,0266
3306,00;0,0266
3305,00;0,0266
3304,00;0,0267
3303,00;0,0267
3302,00;0,0267
3301,00;0,0267
3300,00;0,0267
3299,00;0,0267
3298,00;0,0266
3297,00;0,0266
3296,00;0,0265
3295,00;0,0265
3294,00;0,0265
3293,00;0,0265
3292,00;0,0265
3291,00;0,0265
3290,00;0,0265
3289,00;0,0265
3288,00;0,0265
3287,00;0,0264
3286,00;0,0264
3285,00;0,0264
3284,00;0,0264
3283,00;0,0263
3282,00;0,0263
3281,00;0,0263
3280,00;0,0263
3279,00;0,0263
3278,00;0,0263
3277,00;0,0263
3276,00;0,0262
3275,00;0,0262
3274,00;0,0262
3273,00;0,0262
3272,00;0,0262
3271,00;0,0262
3270,00;0,0262
3269,00;0,0262
3268,00;0,0262
3267,00;0,0262
3266,00;0,0262
3265,00;0,0262
3264,00;0,0262
3263,00;0,0262
3262,00;0,0262
3261,00;0,0262
3260,00;0,0262
3259,00;0,0262
3258,00;0,0262
3257,00;0,0261
3256,00;0,0261
3255,00;0,0261
3254,00;0,0261
3253,00;0,0261
3252,00;0,0261
3251,00;0,0261
3250,00;0,0261
3249,00;0,0261
3248,00;0,0260
3247,00;0,0260
3246,00;0,0260
3245,00;0,0260
3244,00;0,0260
3243,00;0,0259
3242,00;0,0259
3241,00;0,0259
3240,00;0,0259
3239,00;0,0259
3238,00;0,0259
3237,00;0,0259
3236,00;0,0259
3235,00;0,0259
3234,00;0,0260
3233,00;0,0260
3232,00;0,0260
3231,00;0,0259
3230,00;0,0259
3229,00;0,0259
3228,00;0,0259
3227,00;0,0259
3226,00;0,0259
3225,00;0,0259
3224,00;0,0258
3223,00;0,0258
3222,00;0,0258
3221,00;0,0258
3220,00;0,0258
3219,00;0,0258
3218,00;0,0258
3217,00;0,0258
3216,00;0,0259
3215,00;0,0259
3214,00;0,0259
3213,00;0,0258
3212,00;0,0258
3211,00;0,0258
3210,00;0,0258
3209,00;0,0258
3208,00;0,0258
3207,00;0,0258
3206,00;0,0258
3205,00;0,0259
3204,00;0,0259
3203,00;0,0259
3202,00;0,0259
3201,00;0,0259
3200,00;0,0259
3199,00;0,0259
3198,00;0,0259
3197,00;0,0259
3196,00;0,0258
3195,00;0,0258
3194,00;0,0258
3193,00;0,0258
3192,00;0,0258
3191,00;0,0258
3190,00;0,0258
3189,00;0,0257
3188,00;0,0257
3187,00;0,0257
3186,00;0,0257
3185,00;0,0257
3184,00;0,0257
3183,00;0,0257
3182,00;0,0257
3181,00;0,0257
3180,00;0,0257
3179,00;0,0257
3178,00;0,0257
3177,00;0,0257
3176,00;0,0257
3175,00;0,0256
3174,00;0,0256
3173,00;0,0256
3172,00;0,0256
3171,00;0,0256
3170,00;0,0256
3169,00;0,0256
3168,00;0,0256
3167,00;0,0256
3166,00;0,0256
3165,00;0,0256
3164,00;0,0256
3163,00;0,0256
3162,00;0,0255
3161,00;0,0255
3160,00;0,0255
3159,00;0,0255
3158,00;0,0255
3157,00;0,0254
3156,00;0,0254
3155,00;0,0254
3154,00;0,0254
3153,00;0,0254
3152,00;0,0254
3151,00;0,0254
3150,00;0,0254
3149,00;0,0254
3148,00;0,0253
3147,00;0,0253
3146,00;0,0253
3145,00;0,0253
3144,00;0,0253
3143,00;0,0253
3142,00;0,0253
3141,00;0,0253
3140,00;0,0253
3139,00;0,0253
3138,00;0,0253
3137,00;0,0253
3136,00;0,0253
3135,00;0,0253
3134,00;0,0252
3133,00;0,0253
3132,00;0,0253
3131,00;0,0252
3130,00;0,0252
3129,00;0,0252
3128,00;0,0252
3127,00;0,0252
3126,00;0,0252
3125,00;0,0252
3124,00;0,0252
3123,00;0,0252
3122,00;0,0252
3121,00;0,0251
3120,00;0,0251
3119,00;0,0252
3118,00;0,0252
3117,00;0,0252
3116,00;0,0253
3115,00;0,0253
3114,00;0,0252
3113,00;0,0252
3112,00;0,0251
3111,00;0,0251
3110,00;0,0251
3109,00;0,0251
3108,00;0,0251
3107,00;0,0252
3106,00;0,0252
3105,00;0,0252
3104,00;0,0252
3103,00;0,0252
3102,00;0,0251
3101,00;0,0251
3100,00;0,0251
3099,00;0,0251
3098,00;0,0252
3097,00;0,0252
3096,00;0,0252
3095,00;0,0252
3094,00;0,0252
3093,00;0,0252
3092,00;0,0252
3091,00;0,0252
3090,00;0,0252
3089,00;0,0253
3088,00;0,0253
3087,00;0,0253
3086,00;0,0253
3085,00;0,0253
3084,00;0,0253
3083,00;0,0253
3082,00;0,0253
3081,00;0,0253
3080,00;0,0253
3079,00;0,0254
3078,00;0,0254
3077,00;0,0255
3076,00;0,0256
3075,00;0,0256
3074,00;0,0257
3073,00;0,0258
3072,00;0,0258
3071,00;0,0258
3070,00;0,0258
3069,00;0,0259
3068,00;0,0259
3067,00;0,0259
3066,00;0,0259
3065,00;0,0259
3064,00;0,0259
3063,00;0,0259
3062,00;0,0259
3061,00;0,0259
3060,00;0,0260
3059,00;0,0260
3058,00;0,0260
3057,00;0,0259
3056,00;0,0259
3055,00;0,0260
3054,00;0,0260
3053,00;0,0261
3052,00;0,0261
3051,00;0,0262
3050,00;0,0262
3049,00;0,0262
3048,00;0,0262
3047,00;0,0262
3046,00;0,0263
3045,00;0,0264
3044,00;0,0264
3043,00;0,0265
3042,00;0,0266
3041,00;0,0267
3040,00;0,0268
3039,00;0,0270
3038,00;0,0271
3037,00;0,0272
3036,00;0,0273
3035,00;0,0274
3034,00;0,0276
3033,00;0,0277
3032,00;0,0278
3031,00;0,0280
3030,00;0,0281
3029,00;0,0283
3028,00;0,0285
3027,00;0,0287
3026,00;0,0290
3025,00;0,0293
3024,00;0,0296
3023,00;0,0299
3022,00;0,0303
3021,00;0,0307
3020,00;0,0311
3019,00;0,0315
3018,00;0,0320
3017,00;0,0326
3016,00;0,0331
3015,00;0,0338
3014,00;0,0345
3013,00;0,0352
3012,00;0,0359
3011,00;0,0367
3010,00;0,0374
3009,00;0,0379
3008,00;0,0384
3007,00;0,0388
3006,00;0,0390
3005,00;0,0391
3004,00;0,0391
3003,00;0,0389
3002,00;0,0386
3001,00;0,0382
3000,00;0,0377
2999,00;0,0371
2998,00;0,0366
2997,00;0,0360
2996,00;0,0355
2995,00;0,0350
2994,00;0,0347
2993,00;0,0345
2992,00;0,0344
2991,00;0,0343
2990,00;0,0343
2989,00;0,0343
2988,00;0,0344
2987,00;0,0346
2986,00;0,0349
2985,00;0,0352
2984,00;0,0356
2983,00;0,0360
2982,00;0,0366
2981,00;0,0372
2980,00;0,0379
2979,00;0,0387
2978,00;0,0396
2977,00;0,0407
2976,00;0,0419
2975,00;0,0433
2974,00;0,0449
2973,00;0,0467
2972,00;0,0487
2971,00;0,0510
2970,00;0,0535
2969,00;0,0563
2968,00;0,0593
2967,00;0,0626
2966,00;0,0660
2965,00;0,0695
2964,00;0,0730
2963,00;0,0766
2962,00;0,0801
2961,00;0,0835
2960,00;0,0867
2959,00;0,0896
2958,00;0,0922
2957,00;0,0945
2956,00;0,0964
2955,00;0,0980
2954,00;0,0991
2953,00;0,0999
2952,00;0,1004
2951,00;0,1009
2950,00;0,1015
2949,00;0,1024
2948,00;0,1037
2947,00;0,1057
2946,00;0,1082
2945,00;0,1114
2944,00;0,1153
2943,00;0,1198
2942,00;0,1249
2941,00;0,1307
2940,00;0,1371
2939,00;0,1441
2938,00;0,1517
2937,00;0,1599
2936,00;0,1686
2935,00;0,1777
2934,00;0,1872
2933,00;0,1971
2932,00;0,2072
2931,00;0,2174
2930,00;0,2277
2929,00;0,2378
2928,00;0,2476
2927,00;0,2568
2926,00;0,2652
2925,00;0,2723
2924,00;0,2779
2923,00;0,2816
2922,00;0,2832
2921,00;0,2826
2920,00;0,2798
2919,00;0,2750
2918,00;0,2687
2917,00;0,2610
2916,00;0,2524
2915,00;0,2433
2914,00;0,2341
2913,00;0,2250
2912,00;0,2163
2911,00;0,2082
2910,00;0,2006
2909,00;0,1936
2908,00;0,1872
2907,00;0,1813
2906,00;0,1759
2905,00;0,1708
2904,00;0,1660
2903,00;0,1615
2902,00;0,1573
2901,00;0,1533
2900,00;0,1494
2899,00;0,1457
2898,00;0,1421
2897,00;0,1387
2896,00;0,1353
2895,00;0,1320
2894,00;0,1287
2893,00;0,1254
2892,00;0,1221
2891,00;0,1189
2890,00;0,1158
2889,00;0,1128
2888,00;0,1099
2887,00;0,1071
2886,00;0,1045
2885,00;0,1021
2884,00;0,0999
2883,00;0,0980
2882,00;0,0964
2881,00;0,0951
2880,00;0,0943
2879,00;0,0940
2878,00;0,0943
2877,00;0,0950
2876,00;0,0963
2875,00;0,0979
2874,00;0,0996
2873,00;0,1013
2872,00;0,1026
2871,00;0,1036
2870,00;0,1044
2869,00;0,1053
2868,00;0,1066
2867,00;0,1086
2866,00;0,1116
2865,00;0,1156
2864,00;0,1208
2863,00;0,1273
2862,00;0,1349
2861,00;0,1437
2860,00;0,1534
2859,00;0,1638
2858,00;0,1744
2857,00;0,1849
2856,00;0,1945
2855,00;0,2026
2854,00;0,2085
2853,00;0,2116
2852,00;0,2117
2851,00;0,2086
2850,00;0,2027
2849,00;0,1945
2848,00;0,1845
2847,00;0,1733
2846,00;0,1617
2845,00;0,1502
2844,00;0,1392
2843,00;0,1291
2842,00;0,1199
2841,00;0,1117
2840,00;0,1045
2839,00;0,0982
2838,00;0,0926
2837,00;0,0878
2836,00;0,0835
2835,00;0,0797
2834,00;0,0763
2833,00;0,0732
2832,00;0,0704
2831,00;0,0678
2830,00;0,0653
2829,00;0,0630
2828,00;0,0609
2827,00;0,0590
2826,00;0,0573
2825,00;0,0556
2824,00;0,0542
2823,00;0,0528
2822,00;0,0516
2821,00;0,0505
2820,00;0,0494
2819,00;0,0484
2818,00;0,0476
2817,00;0,0467
2816,00;0,0460
2815,00;0,0453
2814,00;0,0447
2813,00;0,0440
2812,00;0,0434
2811,00;0,0429
2810,00;0,0424
2809,00;0,0420
2808,00;0,0416
2807,00;0,0413
2806,00;0,0410
2805,00;0,0406
2804,00;0,0403
2803,00;0,0399
2802,00;0,0395
2801,00;0,0392
2800,00;0,0388
2799,00;0,0385
2798,00;0,0382
2797,00;0,0379
2796,00;0,0376
2795,00;0,0373
2794,00;0,0370
2793,00;0,0367
2792,00;0,0364
2791,00;0,0362
2790,00;0,0360
2789,00;0,0357
2788,00;0,0355
2787,00;0,0352
2786,00;0,0350
2785,00;0,0347
2784,00;0,0345
2783,00;0,0343
2782,00;0,0341
2781,00;0,0339
2780,00;0,0338
2779,00;0,0336
2778,00;0,0334
2777,00;0,0332
2776,00;0,0331
2775,00;0,0329
2774,00;0,0328
2773,00;0,0326
2772,00;0,0325
