Time (min);Temperature (°C);Weight (mg);Heat Flow (mW);Temperature Difference (°C);Temperature Difference (µV);Sample Purge Flow (mL/min)
.004333333;26.69563;2.084347;14.69428;0.7777957;4.932384;100.0224
.004333333;26.70556;2.084379;14.69404;0.7777630;4.932206;100.0324
0.01266666;26.70452;2.084402;14.69421;0.7777634;4.932246;99.95409
0.02100000;26.70541;2.084490;14.69435;0.7777618;4.932270;100.0188
0.02933333;26.70864;2.084680;14.69434;0.7777444;4.932204;100.0107
0.03766667;26.71648;2.084705;14.69498;0.7777795;4.932478;99.98889
0.04600000;26.72590;2.084820;14.69564;0.7778116;4.932748;99.98192
0.05433334;26.72690;2.084934;14.69679;0.7778805;4.933268;100.0361
0.06266666;26.72680;2.085035;14.69856;0.7780066;4.934144;99.91386
0.07100000;26.74252;2.085070;14.70008;0.7781024;4.934848;100.0986
0.07933334;26.74094;2.085103;14.70138;0.7781770;4.935422;99.96384
0.08766666;26.74508;2.085120;14.70286;0.7782756;4.936130;99.95462
0.09600000;26.74900;2.085156;14.70443;0.7783812;4.936882;100.0049
0.1043333;26.75736;2.085123;14.70619;0.7784978;4.937719;99.99382
0.1126666;26.75915;2.084978;14.70790;0.7786100;4.938528;100.0238
0.1210000;26.76650;2.085020;14.70945;0.7787082;4.939248;99.95652
0.1293333;26.77785;2.084994;14.71105;0.7788082;4.939987;100.0429
0.1376667;26.78701;2.084975;14.71232;0.7788764;4.940530;100.0178
0.1460000;26.78534;2.084930;14.71272;0.7788650;4.940576;100.0233
0.1543334;26.80052;2.084972;14.71404;0.7789371;4.941148;99.96019
0.1626666;26.81108;2.084892;14.71584;0.7790449;4.941959;100.0051
0.1710000;26.82142;2.084900;14.71792;0.7791711;4.942904;100.0014
0.1793333;26.82520;2.084859;14.71945;0.7792484;4.943542;99.96715
0.1876666;26.83222;2.084892;14.72075;0.7793037;4.944046;100.0293
0.1960000;26.84422;2.084885;14.72239;0.7793860;4.944725;100.0135
0.2043333;26.86064;2.084892;14.72353;0.7794168;4.945097;99.98014
0.2126666;26.86672;2.084869;14.72458;0.7794395;4.945421;100.0120
0.2210000;26.88386;2.084873;14.72609;0.7794994;4.945986;99.95734
0.2293333;26.89000;2.084865;14.72754;0.7795499;4.946504;100.0037
0.2376666;26.89582;2.084856;14.72855;0.7795618;4.946777;99.99887
0.2460000;26.91488;2.084954;14.72948;0.7795681;4.947011;100.0239
0.2543334;26.92577;2.084946;14.73020;0.7795493;4.947100;100.0260
0.2626667;26.94293;2.084988;14.73065;0.7795019;4.947024;99.99830
0.2710000;26.95430;2.084960;14.73085;0.7794290;4.946793;99.97088
0.2793333;26.97521;2.084996;14.73078;0.7793251;4.946384;99.99275
0.2876667;26.99846;2.084987;14.73086;0.7792282;4.946036;99.99976
0.2960000;27.01252;2.085004;14.73112;0.7791410;4.945764;100.0126
0.3043333;27.02785;2.084900;14.73060;0.7789852;4.945056;100.0029
0.3126666;27.05008;2.084910;14.73032;0.7788430;4.944458;100.0191
0.3210000;27.06502;2.084891;14.72945;0.7786400;4.943492;99.97534
0.3293334;27.08384;2.084910;14.72856;0.7784312;4.942502;100.0410
0.3376666;27.10106;2.084921;14.72712;0.7781747;4.941207;100.0165
0.3460000;27.11868;2.084974;14.72592;0.7779326;4.940020;99.91952
0.3543334;27.13914;2.085024;14.72485;0.7777007;4.938900;100.0240
0.3626666;27.15723;2.085068;14.72413;0.7774978;4.937970;99.99188
0.3710000;27.18575;2.085079;14.72280;0.7772391;4.936692;100.0681
0.3793334;27.20396;2.085146;14.72094;0.7769318;4.935108;99.99328
0.3876666;27.23350;2.085211;14.71886;0.7765974;4.933376;99.95799
0.3960000;27.25052;2.085235;14.71654;0.7762375;4.931489;100.0417
0.4043333;27.28084;2.085222;14.71443;0.7758920;4.929703;99.96461
0.4126667;27.30589;2.085173;14.71209;0.7755189;4.927763;100.0065
0.4210000;27.33332;2.085140;14.71014;0.7751734;4.926014;99.96731
0.4293333;27.36132;2.085052;14.70734;0.7747478;4.923769;100.0458
0.4376666;27.39336;2.084976;14.70462;0.7743168;4.921524;99.99376
0.4460000;27.41979;2.084923;14.70116;0.7738147;4.918839;99.94416
0.4543334;27.45171;2.084867;14.69730;0.7732747;4.915924;100.0704
0.4626666;27.48434;2.084774;14.69360;0.7727402;4.913062;99.97176
0.4710000;27.51180;2.084798;14.68999;0.7722107;4.910240;100.0016
0.4793334;27.54562;2.084784;14.68611;0.7716528;4.907248;100.0051
0.4876666;27.57522;2.084788;14.68162;0.7710326;4.903882;100.0065
0.4960000;27.61461;2.084755;14.67718;0.7704126;4.900528;100.0280
0.5043333;27.64290;2.084794;14.67175;0.7697030;4.896612;99.97549
0.5126667;27.68404;2.084776;14.66655;0.7690054;4.892792;100.0030
0.5210000;27.71486;2.084794;14.66067;0.7682476;4.888590;100.0394
0.5293334;27.75245;2.084783;14.65477;0.7674805;4.884346;99.92147
0.5376668;27.78954;2.084840;14.64935;0.7667505;4.880350;99.97476
0.5460000;27.82772;2.084828;14.64303;0.7659372;4.875834;100.0510
0.5543332;27.86623;2.084844;14.63660;0.7651102;4.871242;100.0079
0.5626668;27.90274;2.084818;14.62995;0.7642569;4.866500;99.94709
0.5710000;27.94458;2.084819;14.62305;0.7633788;4.861604;100.0755
0.5793332;27.98603;2.084794;14.61550;0.7624374;4.856322;99.95931
0.5876668;28.02789;2.084802;14.60783;0.7614761;4.850934;99.98608
0.5960000;28.06665;2.084786;14.60036;0.7605339;4.845664;100.0122
0.6043334;28.10992;2.084787;14.59277;0.7595742;4.840300;100.0371
0.6126668;28.15562;2.084766;14.58416;0.7585202;4.834347;99.98341
0.6210000;28.19620;2.084734;14.57516;0.7574280;4.828158;99.98682
0.6293332;28.24401;2.084698;14.56641;0.7563522;4.822086;100.0059
0.6376668;28.28892;2.084626;14.55662;0.7551794;4.815411;99.97108
0.6460000;28.33844;2.084512;14.54656;0.7539745;4.808549;100.0320
0.6543334;28.38570;2.084538;14.53686;0.7527976;4.801876;100.0174
0.6626668;28.43800;2.084579;14.52700;0.7515994;4.795082;99.96386
0.6710000;28.48853;2.084512;14.51662;0.7503494;4.787971;100.0077
0.6793334;28.52703;2.084475;14.50586;0.7490650;4.780644;100.0066
0.6876666;28.57499;2.084432;14.49490;0.7477594;4.773187;99.96856
0.6960000;28.63320;2.084522;14.48421;0.7464715;4.765857;100.0092
0.7043334;28.68971;2.084526;14.47315;0.7451424;4.758285;99.99528
0.7126668;28.74394;2.084518;14.46192;0.7437901;4.750583;100.0137
0.7210000;28.79161;2.084530;14.45086;0.7424500;4.742963;100.0333
0.7293334;28.84237;2.084635;14.43948;0.7410816;4.735162;99.99094
0.7376666;28.90419;2.084506;14.42731;0.7396371;4.726890;99.99086
0.7460000;28.95455;2.084429;14.41453;0.7381380;4.718270;100.0225
0.7543334;29.01818;2.084442;14.40222;0.7366748;4.709890;99.98550
0.7626666;29.06972;2.084396;14.38944;0.7351600;4.701206;100.0071
0.7710000;29.13028;2.084346;14.37654;0.7336262;4.692418;100.0116
0.7793334;29.19100;2.084272;14.36321;0.7320532;4.683382;99.93582
0.7876668;29.24417;2.084181;14.34981;0.7304738;4.674302;99.98530
0.7960000;29.30332;2.084122;14.33573;0.7288337;4.664833;100.0261
0.8043334;29.36827;2.084072;14.32100;0.7271295;4.654970;100.0059
0.8126668;29.43042;2.083992;14.30634;0.7254228;4.645110;100.0027
0.8210000;29.48883;2.083929;14.29170;0.7237161;4.635252;99.99249
0.8293334;29.54491;2.083834;14.27725;0.7220249;4.625492;99.99722
0.8376668;29.61882;2.083800;14.26224;0.7202801;4.615398;100.0062
0.8460000;29.67632;2.083769;14.24663;0.7184784;4.604947;100.0116
0.8543334;29.74130;2.083724;14.23101;0.7166732;4.594478;100.0041
0.8626668;29.80524;2.083642;14.21525;0.7148535;4.583918;100.0355
0.8710000;29.86925;2.083602;14.19906;0.7129910;4.573093;99.95805
0.8793334;29.94130;2.083540;14.18255;0.7110930;4.562054;100.0659
0.8876666;30.00648;2.083490;14.16590;0.7091801;4.550924;99.95372
0.8960000;30.07511;2.083498;14.14890;0.7072359;4.539590;99.99222
0.9043334;30.14468;2.083519;14.13178;0.7052746;4.528160;100.0073
0.9126668;30.21114;2.083476;14.11438;0.7032825;4.516544;99.98251
0.9210000;30.28020;2.083430;14.09716;0.7013056;4.505022;99.97794
0.9293334;30.35278;2.083428;14.07971;0.6993054;4.493355;100.0512
0.9376668;30.42379;2.083378;14.06155;0.6972369;4.481260;99.97249
0.9460000;30.49736;2.083298;14.04349;0.6951730;4.469202;99.97505
0.9543334;30.56704;2.083282;14.02501;0.6930688;4.456889;100.0448
0.9626668;30.63560;2.083265;14.00696;0.6910007;4.444806;99.95331
0.9710000;30.70812;2.083215;13.98883;0.6889268;4.432678;100.0479
0.9793334;30.78408;2.083173;13.97024;0.6868084;4.420269;99.97749
0.9876668;30.85435;2.083094;13.95128;0.6846561;4.407644;100.0411
0.9960000;30.92869;2.083056;13.93244;0.6825128;4.395074;99.96203
1.004333;31.00633;2.082992;13.91312;0.6803216;4.382206;99.97730
1.012667;31.07956;2.082958;13.89374;0.6781259;4.369306;99.97656
1.021000;31.15706;2.082868;13.87402;0.6758966;4.356190;100.0473
1.029333;31.23046;2.082822;13.85411;0.6736530;4.342972;99.98634
1.037667;31.31509;2.082746;13.83444;0.6714232;4.329856;100.0262
1.046000;31.38843;2.082695;13.81404;0.6691260;4.316308;100.0097
1.054334;31.47456;2.082594;13.79347;0.6668091;4.302641;100.0079
1.062667;31.55072;2.082524;13.77282;0.6644806;4.288902;99.99384
1.071000;31.62800;2.082456;13.75201;0.6621391;4.275076;99.97699
1.079334;31.70368;2.082458;13.73067;0.6597478;4.260928;100.0069
1.087666;31.77921;2.082374;13.70905;0.6573374;4.246641;99.96480
1.096000;31.86655;2.082319;13.68759;0.6549355;4.232415;100.0027
1.104334;31.94560;2.082238;13.66628;0.6525440;4.218258;100.0393
1.112667;32.02650;2.082160;13.64474;0.6501291;4.203950;99.95949
1.121000;32.11060;2.082158;13.62328;0.6477217;4.189682;100.0557
1.129334;32.19026;2.082125;13.60181;0.6453134;4.175404;99.95995
1.137667;32.27085;2.082104;13.58000;0.6428745;4.160922;100.0216
1.146000;32.35707;2.082056;13.55869;0.6404824;4.146731;99.98039
1.154334;32.44348;2.082065;13.53713;0.6380600;4.132358;100.0146
1.162667;32.51994;2.081925;13.51514;0.6356000;4.117732;99.99286
1.171000;32.60699;2.081869;13.49316;0.6331378;4.103098;100.0074
1.179334;32.69198;2.081795;13.47125;0.6306816;4.088492;99.97745
1.187667;32.77707;2.081797;13.44908;0.6282018;4.073731;99.99806
1.196000;32.86152;2.081742;13.42692;0.6257222;4.058966;100.0354
1.204334;32.94822;2.081659;13.40428;0.6231991;4.043918;99.98468
1.212666;33.03716;2.081561;13.38156;0.6206670;4.028807;99.98811
1.221000;33.11744;2.081488;13.35926;0.6181726;4.013933;99.97561
1.229334;33.19804;2.081394;13.33639;0.6156306;3.998739;100.0182
1.237667;33.28777;2.081326;13.31360;0.6130974;3.983590;99.98918
1.246000;33.38112;2.081238;13.29084;0.6105626;3.968434;100.0060
1.254334;33.46444;2.081205;13.26779;0.6080002;3.953097;100.0521
1.262667;33.55748;2.081126;13.24434;0.6054026;3.937526;100.0092
1.271000;33.63946;2.081041;13.22135;0.6028448;3.922204;99.95724
1.279334;33.73144;2.080949;13.19796;0.6002526;3.906653;100.0493
1.287666;33.81476;2.080866;13.17422;0.5976337;3.890912;99.96280
1.296000;33.90922;2.080811;13.15044;0.5950098;3.875134;99.93593
1.304334;33.99544;2.080733;13.12672;0.5923882;3.859372;100.0334
1.312666;34.08956;2.080650;13.10277;0.5897426;3.843455;100.0200
1.321000;34.17598;2.080570;13.07822;0.5870461;3.827197;100.0335
1.329334;34.26906;2.080535;13.05427;0.5844024;3.811272;99.97319
1.337666;34.35126;2.080408;13.03040;0.5817676;3.795392;100.0245
1.346000;34.44934;2.080346;13.00642;0.5791248;3.779450;100.0210
1.354334;34.53731;2.080278;12.98191;0.5764361;3.763202;99.95507
1.362666;34.63052;2.080221;12.95791;0.5737878;3.747216;100.0150
1.371000;34.72079;2.080138;12.93341;0.5710955;3.730936;99.98526
1.379334;34.81415;2.080070;12.90960;0.5684640;3.715044;99.98312
1.387666;34.89470;2.079971;12.88525;0.5657910;3.698860;100.0235
1.396000;34.99391;2.079904;12.86065;0.5630980;3.682537;99.99824
1.404334;35.08022;2.079810;12.83669;0.5604600;3.666562;99.96834
1.412666;35.17527;2.079734;12.81191;0.5577524;3.650124;99.99894
1.421000;35.27068;2.079654;12.78736;0.5550613;3.633791;100.0379
1.429334;35.35406;2.079586;12.76231;0.5523320;3.617193;100.0024
1.437666;35.44653;2.079515;12.73741;0.5496182;3.600679;100.0064
1.446000;35.54236;2.079418;12.71223;0.5468808;3.584004;99.94325
1.454334;35.63145;2.079356;12.68773;0.5442043;3.567712;100.0185
1.462666;35.73370;2.079262;12.66277;0.5414858;3.551142;100.0500
1.471000;35.82526;2.079227;12.63808;0.5387865;3.534698;99.94719
1.479334;35.91832;2.079127;12.61356;0.5361018;3.518340;99.98569
1.487666;36.00608;2.079070;12.58925;0.5334387;3.502110;100.0084
1.496000;36.10078;2.078981;12.56507;0.5307885;3.485951;100.0306
1.504334;36.19562;2.078878;12.54046;0.5281045;3.469556;100.0162
1.512666;36.28777;2.078764;12.51684;0.5255026;3.453694;99.99422
1.521000;36.38047;2.078704;12.49270;0.5228563;3.437534;99.98842
1.529334;36.47416;2.078613;12.46803;0.5201663;3.421074;99.97053
1.537666;36.56897;2.078503;12.44354;0.5174941;3.404718;100.0294
1.546000;36.66187;2.078455;12.41854;0.5147824;3.388086;100.0338
1.554334;36.75915;2.078344;12.39364;0.5120796;3.371503;99.99472
1.562666;36.85237;2.078264;12.36869;0.5093731;3.354886;99.96308
1.571000;36.94550;2.078174;12.34369;0.5066644;3.338240;100.0381
1.579334;37.03806;2.078091;12.31933;0.5040086;3.321938;99.98847
1.587666;37.13094;2.077967;12.29426;0.5012985;3.305256;99.95156
1.596000;37.22708;2.077888;12.26892;0.4985639;3.288410;100.0123
1.604334;37.32063;2.077795;12.24384;0.4958544;3.271711;100.0282
1.612666;37.41444;2.077711;12.21944;0.4932041;3.255394;99.95532
1.621000;37.50944;2.077585;12.19487;0.4905381;3.238964;100.0087
1.629334;37.60233;2.077466;12.17039;0.4878840;3.222596;100.0318
1.637666;37.69562;2.077378;12.14564;0.4852109;3.206086;99.98580
1.646000;37.79408;2.077315;12.12096;0.4825443;3.189609;100.0021
1.654334;37.88754;2.077198;12.09567;0.4798250;3.172777;100.0051
1.662666;37.98064;2.077139;12.07010;0.4770856;3.155796;100.0153
1.671000;38.07002;2.077100;12.04562;0.4744396;3.139421;100.0093
1.679334;38.17209;2.077029;12.02102;0.4717866;3.122985;99.95090
1.687666;38.26442;2.076924;11.99622;0.4691134;3.106413;99.99338
1.696000;38.35796;2.076813;11.97117;0.4664257;3.089724;100.0150
1.704334;38.45308;2.076733;11.94669;0.4637852;3.073338;99.95875
1.712666;38.55190;2.076673;11.92223;0.4611482;3.056965;100.0278
1.721000;38.63609;2.076582;11.89772;0.4585088;3.040561;100.0578
1.729334;38.73142;2.076440;11.87331;0.4558848;3.024240;99.97901
1.737666;38.82350;2.076358;11.84953;0.4533161;3.008270;99.99932
1.746000;38.91720;2.076250;11.82536;0.4507178;2.992084;99.97466
1.754334;39.01419;2.076166;11.80114;0.4481159;2.975857;100.0258
1.762666;39.10925;2.076041;11.77680;0.4455078;2.959566;99.96282
1.771000;39.20495;2.075966;11.75302;0.4429508;2.943591;100.0343
1.779334;39.29258;2.075906;11.72948;0.4404187;2.927757;100.0162
1.787666;39.39363;2.075857;11.70507;0.4378166;2.911437;99.98147
1.796000;39.48844;2.075736;11.68056;0.4352072;2.895049;99.96020
1.804334;39.58131;2.075654;11.65645;0.4326348;2.878887;100.0785
1.812666;39.67208;2.075555;11.63238;0.4300670;2.862736;99.93407
1.821000;39.76832;2.075452;11.60801;0.4274781;2.846424;100.0334
1.829334;39.85565;2.075305;11.58366;0.4248922;2.830118;99.96181
1.837666;39.95369;2.075206;11.55952;0.4223269;2.813937;100.0634
1.846000;40.04343;2.075096;11.53562;0.4197872;2.797910;99.94382
1.854334;40.13817;2.074980;11.51161;0.4172398;2.781820;100.0362
1.862666;40.23003;2.074826;11.48688;0.4146320;2.765320;99.99231
1.871000;40.32270;2.074717;11.46299;0.4120987;2.749300;99.98839
1.879334;40.41829;2.074644;11.44021;0.4096615;2.733910;99.98703
1.887666;40.51524;2.074572;11.41723;0.4072085;2.718405;100.0110
1.896000;40.60861;2.074474;11.39420;0.4047495;2.702854;100.0054
1.904334;40.70230;2.074392;11.37105;0.4022828;2.687239;99.99640
1.912666;40.79306;2.074332;11.34842;0.3998609;2.671914;100.0049
1.921000;40.88899;2.074219;11.32504;0.3973778;2.656170;99.99382
1.929334;40.97914;2.074092;11.30176;0.3949053;2.640485;100.0023
1.937666;41.07266;2.073981;11.27881;0.3924616;2.624983;100.0102
1.946000;41.16250;2.073923;11.25662;0.3900844;2.609912;100.0016
1.954334;41.25702;2.073777;11.23411;0.3876820;2.594664;99.98491
1.962666;41.34561;2.073659;11.21073;0.3852087;2.578929;99.98051
1.971000;41.44544;2.073515;11.18748;0.3827498;2.563278;100.0247
1.979334;41.53535;2.073419;11.16504;0.3803609;2.548084;100.0210
1.987666;41.62528;2.073248;11.14208;0.3779316;2.532607;99.98419
1.996000;41.71441;2.073180;11.11939;0.3755282;2.517290;99.97801
2.004334;41.81060;2.073100;11.09746;0.3731900;2.502400;100.0233
2.012666;41.89996;2.073050;11.07565;0.3708610;2.487564;100.0374
2.021000;41.99000;2.072941;11.05348;0.3685074;2.472548;99.93408
2.029334;42.08276;2.072854;11.03135;0.3661578;2.457550;100.0131
2.037666;42.17260;2.072749;11.00959;0.3638395;2.442755;100.0320
2.046000;42.26074;2.072646;10.98790;0.3615319;2.428016;100.0023
2.054334;42.35294;2.072541;10.96614;0.3592221;2.413250;99.93681
2.062666;42.44208;2.072422;10.94388;0.3568741;2.398213;100.0157
2.071000;42.53490;2.072345;10.92239;0.3545906;2.383602;100.0018
2.079333;42.62744;2.072203;10.90085;0.3523030;2.368956;100.0331
2.087666;42.71836;2.072092;10.87936;0.3500203;2.354336;99.98457
2.096000;42.80692;2.071946;10.85772;0.3477298;2.339647;100.0299
2.104334;42.89428;2.071884;10.83620;0.3454508;2.325027;99.98701
2.112666;42.99076;2.071740;10.81468;0.3431728;2.310404;99.98316
2.121000;43.07810;2.071650;10.79288;0.3408733;2.295628;100.0412
2.129333;43.17000;2.071486;10.77169;0.3386250;2.281186;99.98358
2.137666;43.26300;2.071406;10.75096;0.3364156;2.267001;99.97290
2.146000;43.34964;2.071294;10.72988;0.3341765;2.252608;100.0295
2.154333;43.43996;2.071219;10.70891;0.3319526;2.238300;99.95790
2.162666;43.53006;2.071094;10.68805;0.3297375;2.224046;100.0379
2.171000;43.61687;2.070994;10.66666;0.3274852;2.209524;99.99482
2.179334;43.70738;2.070879;10.64545;0.3252468;2.195090;100.0100
2.187666;43.79290;2.070752;10.62444;0.3230284;2.180778;99.96232
2.196000;43.88250;2.070633;10.60322;0.3207936;2.166348;100.0152
2.204333;43.97037;2.070500;10.58218;0.3185801;2.152046;99.99668
2.212666;44.06108;2.070413;10.56143;0.3163888;2.137889;99.98856
2.221000;44.14678;2.070292;10.54053;0.3141912;2.123674;100.0427
2.229334;44.24029;2.070209;10.52002;0.3120262;2.109672;100.0317
2.237666;44.32826;2.070072;10.49936;0.3098474;2.095570;99.97564
2.246000;44.42050;2.069980;10.47877;0.3076781;2.081522;99.94859
2.254333;44.50317;2.069864;10.45906;0.3055816;2.067959;99.98828
2.262666;44.59600;2.069781;10.43930;0.3034832;2.054373;100.0110
2.271000;44.68293;2.069644;10.41924;0.3013591;2.040606;100.0041
2.279333;44.77002;2.069589;10.39927;0.2992472;2.026910;100.0191
2.287666;44.85585;2.069498;10.37940;0.2971450;2.013271;99.97656
2.296000;44.94278;2.069400;10.35914;0.2950127;1.999418;100.0145
2.304334;45.02838;2.069254;10.33925;0.2929118;1.985770;100.0156
2.312666;45.11695;2.069154;10.31928;0.2908094;1.972098;99.95880
2.321000;45.20926;2.069042;10.29954;0.2887261;1.958549;100.0240
2.329333;45.29044;2.068955;10.27978;0.2866436;1.944995;99.96916
2.337666;45.37289;2.068824;10.26006;0.2845694;1.931485;100.0142
2.346000;45.45982;2.068749;10.24038;0.2825010;1.918005;100.0105
2.354334;45.54790;2.068641;10.22114;0.2804715;1.904779;99.98259
2.362666;45.64013;2.068547;10.20258;0.2784957;1.891912;99.97169
2.371000;45.71840;2.068399;10.18427;0.2765422;1.879189;100.0649
2.379333;45.80639;2.068300;10.16590;0.2745892;1.866458;99.95018
2.387666;45.90556;2.068224;10.14773;0.2726484;1.853807;100.0642
2.396000;45.98736;2.068108;10.12977;0.2707236;1.841261;99.97926
2.404333;46.07498;2.068004;10.11184;0.2688066;1.828754;100.0323
2.412666;46.15820;2.067888;10.09366;0.2668710;1.816111;100.0136
2.421000;46.24390;2.067803;10.07512;0.2649031;1.803246;99.90424
2.429334;46.32511;2.067639;10.05664;0.2629450;1.790436;99.99445
2.437666;46.41108;2.067541;10.03845;0.2610130;1.777795;100.0656
2.446000;46.49926;2.067409;10.01998;0.2590602;1.765002;99.98818
2.454333;46.58340;2.067328;10.00129;0.2570906;1.752089;99.97436
2.462666;46.66496;2.067194;9.983075;0.2551613;1.739442;99.98150
2.471000;46.75456;2.067066;9.963955;0.2531620;1.726306;100.0134
2.479334;46.83461;2.066928;9.945047;0.2511860;1.713316;100.0283
2.487666;46.92049;2.066811;9.926856;0.2492680;1.700717;100.0072
2.496000;47.00312;2.066683;9.908862;0.2473696;1.688241;99.96856
2.504333;47.08476;2.066555;9.890669;0.2454574;1.675661;99.98509
2.512666;47.17403;2.066439;9.873145;0.2435985;1.663441;100.0362
2.521000;47.25344;2.066326;9.855678;0.2417462;1.651259;100.0150
2.529333;47.33334;2.066201;9.838179;0.2398954;1.639075;99.96001
2.537666;47.41371;2.066089;9.820879;0.2380658;1.627026;100.0240
2.546000;47.50346;2.065986;9.803501;0.2362277;1.614915;100.0184
2.554334;47.58562;2.065902;9.786811;0.2344487;1.603198;99.97525
2.562666;47.67368;2.065835;9.770370;0.2326888;1.591608;100.0144
2.571000;47.75329;2.065731;9.753793;0.2309210;1.579954;99.96879
2.579333;47.83500;2.065626;9.737488;0.2291758;1.568449;100.0281
2.587666;47.91818;2.065504;9.720956;0.2274139;1.556823;100.0009
2.596000;47.99890;2.065395;9.704025;0.2256224;1.544984;99.98608
2.604334;48.08187;2.065284;9.687304;0.2238497;1.533268;100.0591
2.612666;48.17075;2.065212;9.670945;0.2221040;1.521732;99.92718
2.621000;48.25456;2.065094;9.654540;0.2203523;1.510153;99.99645
2.629333;48.34381;2.064976;9.638231;0.2186094;1.498627;99.99232
2.637666;48.42034;2.064824;9.621939;0.2168698;1.487116;100.0415
2.646000;48.50576;2.064674;9.605741;0.2151422;1.475678;100.0291
2.654333;48.58289;2.064546;9.589507;0.2134120;1.464216;99.96416
2.662666;48.67063;2.064414;9.572486;0.2116192;1.452316;99.99128
2.671000;48.75180;2.064320;9.556766;0.2099324;1.441140;100.0137
2.679334;48.83713;2.064212;9.541288;0.2082639;1.430083;99.96372
2.687666;48.91670;2.064086;9.525388;0.2065626;1.418796;100.0596
2.696000;48.99619;2.063955;9.509408;0.2048609;1.407494;99.95881
2.704333;49.07720;2.063818;9.493602;0.2031740;1.396287;100.0240
2.712666;49.16055;2.063716;9.477628;0.2014791;1.385014;99.97924
2.721000;49.23910;2.063608;9.461890;0.1998044;1.373874;100.0525
2.729334;49.32224;2.063498;9.446044;0.1981212;1.362670;99.99402
2.737666;49.40476;2.063369;9.429886;0.1964134;1.351291;99.99350
2.746000;49.47844;2.063250;9.414856;0.1948001;1.340553;99.97701
2.754333;49.56709;2.063124;9.399238;0.1931412;1.329495;100.0144
2.762666;49.64906;2.063018;9.383844;0.1915010;1.318559;99.98530
2.771000;49.72802;2.062927;9.368736;0.1898854;1.307787;100.0097
2.779333;49.80809;2.062797;9.354449;0.1883355;1.297462;99.98005
2.787666;49.89144;2.062688;9.339711;0.1867520;1.286899;99.98671
2.796000;49.96926;2.062523;9.325324;0.1851972;1.276528;100.0465
2.804334;50.04746;2.062398;9.310444;0.1836054;1.265894;99.97361
2.812666;50.12652;2.062270;9.295092;0.1819760;1.254995;100.0068
2.821000;50.21510;2.062132;9.280709;0.1804262;1.244638;99.95848
2.829333;50.28706;2.062022;9.266008;0.1788506;1.234099;100.0037
2.837666;50.36972;2.061918;9.251759;0.1773134;1.223818;100.0368
2.846000;50.45250;2.061784;9.237476;0.1757772;1.213536;99.96064
2.854334;50.52784;2.061615;9.222991;0.1742245;1.203135;100.0013
2.862666;50.60930;2.061508;9.207675;0.1726067;1.192279;100.0303
2.871000;50.68403;2.061407;9.192743;0.1710234;1.181652;99.99589
2.879333;50.76244;2.061313;9.177691;0.1694318;1.170962;100.0024
2.887666;50.85074;2.061220;9.162826;0.1678529;1.160356;100.0127
2.896000;50.92840;2.061096;9.148803;0.1663428;1.150220;99.97892
2.904333;51.00445;2.061025;9.134182;0.1647879;1.139767;100.0285
2.912666;51.08660;2.060905;9.119766;0.1632494;1.129422;100.0161
2.921000;51.16952;2.060788;9.105401;0.1617152;1.119103;99.93218
2.929334;51.24982;2.060653;9.090546;0.1601413;1.108503;100.0370
2.937666;51.32903;2.060550;9.076460;0.1586311;1.098339;99.98469
2.946000;51.41426;2.060402;9.062850;0.1571586;1.088430;100.0400
2.954333;51.48550;2.060292;9.048944;0.1556605;1.078341;99.96328
2.962666;51.56978;2.060177;9.034897;0.1541528;1.068180;100.0115
2.971000;51.64727;2.060048;9.021912;0.1527339;1.058625;99.99274
2.979334;51.72602;2.059959;9.008882;0.1513124;1.049049;99.98457
2.987666;51.80662;2.059873;8.995556;0.1498668;1.039300;100.0236
2.996000;51.88481;2.059756;8.982594;0.1484526;1.029763;99.98178
3.004333;51.96297;2.059638;8.969316;0.1470143;1.020053;100.0171
3.012666;52.04226;2.059523;8.955519;0.1455374;1.010067;99.98156
3.021000;52.11862;2.059425;8.941422;0.1440373;0.9999159;99.96906
3.029333;52.20024;2.059312;8.927539;0.1425564;0.9898920;100.0953
3.037666;52.27886;2.059196;8.914251;0.1411241;0.9801996;99.97000
3.046000;52.36008;2.059058;8.901202;0.1397104;0.9706324;100.0371
3.054334;52.43535;2.058924;8.887457;0.1382416;0.9606772;99.95304
3.062666;52.51086;2.058794;8.873986;0.1367988;0.9508960;100.0188
3.071000;52.59068;2.058636;8.860508;0.1353562;0.9411106;99.99682
3.079333;52.67309;2.058522;8.846859;0.1338990;0.9312199;100.0163
3.087666;52.75256;2.058352;8.833282;0.1324474;0.9213634;99.95744
3.096000;52.82520;2.058278;8.820710;0.1310796;0.9120822;100.0366
3.104334;52.90230;2.058130;8.808292;0.1297253;0.9028900;99.99609
3.112666;52.99018;2.058019;8.795845;0.1283676;0.8936710;99.98968
3.121000;53.06680;2.057852;8.783147;0.1269902;0.8843103;99.96422
3.129333;53.13982;2.057767;8.769953;0.1255751;0.8746801;99.98876
3.137666;53.21818;2.057623;8.757172;0.1241961;0.8652955;100.0553
3.146000;53.30234;2.057505;8.744259;0.1228028;0.8558098;99.98902
3.154333;53.37750;2.057359;8.731691;0.1214385;0.8465199;99.98951
3.162666;53.45212;2.057230;8.718954;0.1200643;0.8371540;99.96936
3.171000;53.53261;2.057127;8.706444;0.1187096;0.8279199;100.0231
3.179334;53.60690;2.056975;8.694124;0.1173710;0.8187924;99.97668
