Создан как новый массив данных;Образец 013 полученный BalashovM Дата пятница, марта 03 2023
cm-1;A
3685,00;0,0493
3684,00;0,0493
3683,00;0,0493
3682,00;0,0493
3681,00;0,0493
3680,00;0,0493
3679,00;0,0493
3678,00;0,0493
3677,00;0,0493
3676,00;0,0493
3675,00;0,0493
3674,00;0,0493
3673,00;0,0493
3672,00;0,0493
3671,00;0,0493
3670,00;0,0493
3669,00;0,0493
3668,00;0,0493
3667,00;0,0493
3666,00;0,0493
3665,00;0,0493
3664,00;0,0493
3663,00;0,0493
3662,00;0,0493
3661,00;0,0493
3660,00;0,0493
3659,00;0,0493
3658,00;0,0493
3657,00;0,0493
3656,00;0,0493
3655,00;0,0493
3654,00;0,0493
3653,00;0,0493
3652,00;0,0493
3651,00;0,0493
3650,00;0,0493
3649,00;0,0493
3648,00;0,0493
3647,00;0,0493
3646,00;0,0493
3645,00;0,0493
3644,00;0,0493
3643,00;0,0493
3642,00;0,0493
3641,00;0,0493
3640,00;0,0492
3639,00;0,0492
3638,00;0,0492
3637,00;0,0493
3636,00;0,0493
3635,00;0,0493
3634,00;0,0493
3633,00;0,0493
3632,00;0,0492
3631,00;0,0493
3630,00;0,0493
3629,00;0,0493
3628,00;0,0493
3627,00;0,0493
3626,00;0,0493
3625,00;0,0493
3624,00;0,0493
3623,00;0,0493
3622,00;0,0493
3621,00;0,0493
3620,00;0,0493
3619,00;0,0493
3618,00;0,0493
3617,00;0,0493
3616,00;0,0493
3615,00;0,0493
3614,00;0,0493
3613,00;0,0493
3612,00;0,0493
3611,00;0,0493
3610,00;0,0494
3609,00;0,0494
3608,00;0,0494
3607,00;0,0494
3606,00;0,0494
3605,00;0,0494
3604,00;0,0494
3603,00;0,0494
3602,00;0,0494
3601,00;0,0494
3600,00;0,0494
3599,00;0,0494
3598,00;0,0494
3597,00;0,0494
3596,00;0,0495
3595,00;0,0495
3594,00;0,0495
3593,00;0,0495
3592,00;0,0495
3591,00;0,0495
3590,00;0,0495
3589,00;0,0495
3588,00;0,0496
3587,00;0,0496
3586,00;0,0496
3585,00;0,0496
3584,00;0,0496
3583,00;0,0496
3582,00;0,0496
3581,00;0,0496
3580,00;0,0496
3579,00;0,0496
3578,00;0,0496
3577,00;0,0496
3576,00;0,0496
3575,00;0,0496
3574,00;0,0496
3573,00;0,0496
3572,00;0,0497
3571,00;0,0497
3570,00;0,0497
3569,00;0,0497
3568,00;0,0497
3567,00;0,0497
3566,00;0,0497
3565,00;0,0497
3564,00;0,0497
3563,00;0,0498
3562,00;0,0498
3561,00;0,0498
3560,00;0,0498
3559,00;0,0498
3558,00;0,0498
3557,00;0,0498
3556,00;0,0498
3555,00;0,0499
3554,00;0,0499
3553,00;0,0499
3552,00;0,0499
3551,00;0,0499
3550,00;0,0499
3549,00;0,0499
3548,00;0,0499
3547,00;0,0500
3546,00;0,0500
3545,00;0,0500
3544,00;0,0500
3543,00;0,0500
3542,00;0,0500
3541,00;0,0500
3540,00;0,0500
3539,00;0,0501
3538,00;0,0501
3537,00;0,0501
3536,00;0,0501
3535,00;0,0501
3534,00;0,0501
3533,00;0,0501
3532,00;0,0501
3531,00;0,0501
3530,00;0,0502
3529,00;0,0502
3528,00;0,0502
3527,00;0,0502
3526,00;0,0502
3525,00;0,0502
3524,00;0,0502
3523,00;0,0502
3522,00;0,0503
3521,00;0,0503
3520,00;0,0503
3519,00;0,0503
3518,00;0,0503
3517,00;0,0503
3516,00;0,0503
3515,00;0,0503
3514,00;0,0504
3513,00;0,0504
3512,00;0,0504
3511,00;0,0504
3510,00;0,0504
3509,00;0,0504
3508,00;0,0504
3507,00;0,0504
3506,00;0,0505
3505,00;0,0505
3504,00;0,0505
3503,00;0,0505
3502,00;0,0505
3501,00;0,0505
3500,00;0,0505
3499,00;0,0505
3498,00;0,0505
3497,00;0,0505
3496,00;0,0506
3495,00;0,0506
3494,00;0,0506
3493,00;0,0506
3492,00;0,0506
3491,00;0,0506
3490,00;0,0506
3489,00;0,0506
3488,00;0,0506
3487,00;0,0506
3486,00;0,0506
3485,00;0,0506
3484,00;0,0506
3483,00;0,0507
3482,00;0,0507
3481,00;0,0507
3480,00;0,0507
3479,00;0,0507
3478,00;0,0507
3477,00;0,0507
3476,00;0,0507
3475,00;0,0507
3474,00;0,0508
3473,00;0,0508
3472,00;0,0508
3471,00;0,0508
3470,00;0,0508
3469,00;0,0508
3468,00;0,0508
3467,00;0,0508
3466,00;0,0508
3465,00;0,0508
3464,00;0,0509
3463,00;0,0509
3462,00;0,0509
3461,00;0,0509
3460,00;0,0509
3459,00;0,0509
3458,00;0,0509
3457,00;0,0509
3456,00;0,0509
3455,00;0,0509
3454,00;0,0510
3453,00;0,0510
3452,00;0,0510
3451,00;0,0510
3450,00;0,0510
3449,00;0,0510
3448,00;0,0510
3447,00;0,0510
3446,00;0,0510
3445,00;0,0510
3444,00;0,0510
3443,00;0,0511
3442,00;0,0511
3441,00;0,0511
3440,00;0,0511
3439,00;0,0511
3438,00;0,0511
3437,00;0,0511
3436,00;0,0511
3435,00;0,0511
3434,00;0,0511
3433,00;0,0511
3432,00;0,0512
3431,00;0,0512
3430,00;0,0512
3429,00;0,0512
3428,00;0,0512
3427,00;0,0512
3426,00;0,0512
3425,00;0,0512
3424,00;0,0512
3423,00;0,0512
3422,00;0,0512
3421,00;0,0512
3420,00;0,0513
3419,00;0,0513
3418,00;0,0513
3417,00;0,0513
3416,00;0,0513
3415,00;0,0513
3414,00;0,0513
3413,00;0,0513
3412,00;0,0513
3411,00;0,0513
3410,00;0,0513
