Создан как новый массив данных;Образец 008 полученный BalashovM Дата пятница, марта 03 2023
cm-1;A
3685,00;0,0109
3684,00;0,0109
3683,00;0,0109
3682,00;0,0109
3681,00;0,0109
3680,00;0,0109
3679,00;0,0109
3678,00;0,0109
3677,00;0,0108
3676,00;0,0108
3675,00;0,0108
3674,00;0,0108
3673,00;0,0108
3672,00;0,0109
3671,00;0,0109
3670,00;0,0109
3669,00;0,0109
3668,00;0,0109
3667,00;0,0109
3666,00;0,0110
3665,00;0,0110
3664,00;0,0111
3663,00;0,0111
3662,00;0,0111
3661,00;0,0112
3660,00;0,0112
3659,00;0,0112
3658,00;0,0112
3657,00;0,0112
3656,00;0,0112
3655,00;0,0112
3654,00;0,0112
3653,00;0,0111
3652,00;0,0111
3651,00;0,0112
3650,00;0,0112
3649,00;0,0113
3648,00;0,0113
3647,00;0,0113
3646,00;0,0114
3645,00;0,0114
3644,00;0,0115
3643,00;0,0115
3642,00;0,0116
3641,00;0,0116
3640,00;0,0117
3639,00;0,0117
3638,00;0,0118
3637,00;0,0118
3636,00;0,0118
3635,00;0,0118
3634,00;0,0119
3633,00;0,0119
3632,00;0,0119
3631,00;0,0119
3630,00;0,0119
3629,00;0,0120
3628,00;0,0121
3627,00;0,0121
3626,00;0,0122
3625,00;0,0122
3624,00;0,0123
3623,00;0,0123
3622,00;0,0123
3621,00;0,0123
3620,00;0,0124
3619,00;0,0124
3618,00;0,0125
3617,00;0,0125
3616,00;0,0126
3615,00;0,0126
3614,00;0,0126
3613,00;0,0127
3612,00;0,0128
3611,00;0,0128
3610,00;0,0129
3609,00;0,0129
3608,00;0,0129
3607,00;0,0130
3606,00;0,0130
3605,00;0,0130
3604,00;0,0131
3603,00;0,0132
3602,00;0,0132
3601,00;0,0133
3600,00;0,0134
3599,00;0,0134
3598,00;0,0135
3597,00;0,0135
3596,00;0,0136
3595,00;0,0136
3594,00;0,0137
3593,00;0,0137
3592,00;0,0138
3591,00;0,0138
3590,00;0,0139
3589,00;0,0139
3588,00;0,0139
3587,00;0,0140
3586,00;0,0140
3585,00;0,0140
3584,00;0,0141
3583,00;0,0142
3582,00;0,0142
3581,00;0,0143
3580,00;0,0143
3579,00;0,0143
3578,00;0,0144
3577,00;0,0144
3576,00;0,0145
3575,00;0,0145
3574,00;0,0146
3573,00;0,0146
3572,00;0,0146
3571,00;0,0147
3570,00;0,0147
3569,00;0,0148
3568,00;0,0148
3567,00;0,0148
3566,00;0,0149
3565,00;0,0149
3564,00;0,0150
3563,00;0,0150
3562,00;0,0151
3561,00;0,0152
3560,00;0,0152
3559,00;0,0153
3558,00;0,0153
3557,00;0,0154
3556,00;0,0154
3555,00;0,0155
3554,00;0,0155
3553,00;0,0155
3552,00;0,0156
3551,00;0,0157
3550,00;0,0157
3549,00;0,0157
3548,00;0,0158
3547,00;0,0158
3546,00;0,0159
3545,00;0,0159
3544,00;0,0160
3543,00;0,0160
3542,00;0,0161
3541,00;0,0161
3540,00;0,0161
3539,00;0,0162
3538,00;0,0162
3537,00;0,0162
3536,00;0,0163
3535,00;0,0163
3534,00;0,0164
3533,00;0,0164
3532,00;0,0165
3531,00;0,0165
3530,00;0,0166
3529,00;0,0166
3528,00;0,0167
3527,00;0,0167
3526,00;0,0168
3525,00;0,0168
3524,00;0,0168
3523,00;0,0169
3522,00;0,0169
3521,00;0,0170
3520,00;0,0170
3519,00;0,0170
3518,00;0,0171
3517,00;0,0171
3516,00;0,0172
3515,00;0,0172
3514,00;0,0172
3513,00;0,0173
3512,00;0,0173
3511,00;0,0174
3510,00;0,0174
3509,00;0,0174
3508,00;0,0174
3507,00;0,0175
3506,00;0,0175
3505,00;0,0176
3504,00;0,0176
3503,00;0,0176
3502,00;0,0177
3501,00;0,0177
3500,00;0,0177
3499,00;0,0178
3498,00;0,0178
3497,00;0,0179
3496,00;0,0179
3495,00;0,0179
3494,00;0,0180
3493,00;0,0180
3492,00;0,0180
3491,00;0,0181
3490,00;0,0181
3489,00;0,0181
3488,00;0,0182
3487,00;0,0182
3486,00;0,0182
3485,00;0,0183
3484,00;0,0183
3483,00;0,0184
3482,00;0,0184
3481,00;0,0184
3480,00;0,0185
3479,00;0,0185
3478,00;0,0185
3477,00;0,0186
3476,00;0,0186
3475,00;0,0186
3474,00;0,0187
3473,00;0,0187
3472,00;0,0187
3471,00;0,0188
3470,00;0,0188
3469,00;0,0188
3468,00;0,0189
3467,00;0,0189
3466,00;0,0189
3465,00;0,0190
3464,00;0,0190
3463,00;0,0190
3462,00;0,0191
3461,00;0,0191
3460,00;0,0191
3459,00;0,0192
3458,00;0,0192
3457,00;0,0192
3456,00;0,0193
3455,00;0,0193
3454,00;0,0193
3453,00;0,0193
3452,00;0,0194
3451,00;0,0194
3450,00;0,0194
3449,00;0,0195
3448,00;0,0195
3447,00;0,0195
3446,00;0,0196
3445,00;0,0196
3444,00;0,0196
3443,00;0,0196
3442,00;0,0196
3441,00;0,0197
3440,00;0,0197
3439,00;0,0197
3438,00;0,0197
3437,00;0,0198
3436,00;0,0198
3435,00;0,0198
3434,00;0,0198
3433,00;0,0199
3432,00;0,0199
3431,00;0,0199
3430,00;0,0199
3429,00;0,0200
3428,00;0,0200
3427,00;0,0200
3426,00;0,0201
3425,00;0,0201
3424,00;0,0201
3423,00;0,0201
3422,00;0,0201
3421,00;0,0202
3420,00;0,0202
3419,00;0,0202
3418,00;0,0202
3417,00;0,0203
3416,00;0,0203
3415,00;0,0203
3414,00;0,0203
3413,00;0,0203
3412,00;0,0203
3411,00;0,0204
3410,00;0,0204
3409,00;0,0204
3408,00;0,0204
3407,00;0,0204
3406,00;0,0205
3405,00;0,0205
3404,00;0,0205
3403,00;0,0205
3402,00;0,0205
3401,00;0,0205
3400,00;0,0205
3399,00;0,0205
3398,00;0,0206
3397,00;0,0206
3396,00;0,0206
3395,00;0,0206
3394,00;0,0206
3393,00;0,0206
3392,00;0,0206
3391,00;0,0206
3390,00;0,0207
3389,00;0,0207
3388,00;0,0207
3387,00;0,0208
3386,00;0,0208
3385,00;0,0208
3384,00;0,0208
3383,00;0,0208
3382,00;0,0208
3381,00;0,0208
3380,00;0,0208
3379,00;0,0208
3378,00;0,0208
3377,00;0,0208
3376,00;0,0208
3375,00;0,0208
3374,00;0,0208
3373,00;0,0208
3372,00;0,0208
3371,00;0,0208
3370,00;0,0208
3369,00;0,0208
3368,00;0,0208
3367,00;0,0208
3366,00;0,0209
3365,00;0,0209
3364,00;0,0209
3363,00;0,0209
