Circle #	Center X	Center Y	Center X (µm)	Center Y (µm)	Radius	Radius (µm)	
925	2258,00	958,00	1062,59	-39,06	8,00	3,76	
926	1261,00	958,00	593,41	-39,06	29,00	13,65	
927	2596,00	960,00	1221,65	-40,00	13,00	6,12	
928	2595,00	962,00	1221,18	-40,94	13,00	6,12	
929	1083,00	966,00	509,65	-42,82	6,00	2,82	
930	1696,00	963,00	798,12	-41,41	8,00	3,76	
931	2011,00	966,00	946,35	-42,82	5,00	2,35	
932	1113,00	966,00	523,76	-42,82	15,00	7,06	
933	2537,00	967,00	1193,88	-43,29	5,00	2,35	
934	1702,00	966,00	800,94	-42,82	9,00	4,24	
935	1153,00	967,00	542,59	-43,29	5,00	2,35	
936	1369,00	969,00	644,24	-44,24	11,00	5,18	
937	1050,00	972,00	494,12	-45,65	18,00	8,47	
938	1264,00	975,00	594,82	-47,06	27,00	12,71	
939	1137,00	971,00	535,06	-45,18	5,00	2,35	
940	1712,00	975,00	805,65	-47,06	10,00	4,71	
941	2077,00	972,00	977,41	-45,65	5,00	2,35	
942	2250,00	976,00	1058,82	-47,53	5,00	2,35	
943	1757,00	974,00	826,82	-46,59	5,00	2,35	
944	1177,00	976,00	553,88	-47,53	13,00	6,12	
945	1351,00	983,00	635,76	-50,82	5,00	2,35	
946	1722,00	981,00	810,35	-49,88	10,00	4,71	
947	1087,00	984,00	511,53	-51,29	6,00	2,82	
948	2114,00	982,00	994,82	-50,35	12,00	5,65	
949	1320,00	989,00	621,18	-53,65	5,00	2,35	
950	1925,00	991,00	905,88	-54,59	7,00	3,29	
951	1065,00	992,00	501,18	-55,06	5,00	2,35	
952	1084,00	997,00	510,12	-57,41	7,00	3,29	
953	1037,00	997,00	488,00	-57,41	18,00	8,47	
954	2581,00	997,00	1214,59	-57,41	20,00	9,41	
955	1548,00	997,00	728,47	-57,41	31,00	14,59	
956	1800,00	996,00	847,06	-56,94	5,00	2,35	
957	1157,00	998,00	544,47	-57,88	5,00	2,35	
958	1184,00	998,00	557,18	-57,88	7,00	3,29	
959	1309,00	1000,00	616,00	-58,82	5,00	2,35	
960	1911,00	1000,00	899,29	-58,82	6,00	2,82	
961	2070,00	1000,00	974,12	-58,82	5,00	2,35	
962	1372,00	1005,00	645,65	-61,18	5,00	2,35	
963	1821,00	1002,00	856,94	-59,76	6,00	2,82	
964	2577,00	1003,00	1212,71	-60,24	20,00	9,41	
965	1035,00	1004,00	487,06	-60,71	18,00	8,47	
966	1910,00	1005,00	898,82	-61,18	6,00	2,82	
967	1065,00	1005,00	501,18	-61,18	5,00	2,35	
968	1521,00	1005,00	715,76	-61,18	26,00	12,24	
969	1033,00	1007,00	486,12	-62,12	18,00	8,47	
970	1061,00	1006,00	499,29	-61,65	5,00	2,35	
971	1519,00	1006,00	714,82	-61,65	26,00	12,24	
972	2575,00	1006,00	1211,76	-61,65	20,00	9,41	
973	1514,00	1007,00	712,47	-62,12	26,00	12,24	
974	2712,00	1007,00	1276,24	-62,12	6,00	2,82	
975	1003,00	1009,00	472,00	-63,06	8,00	3,76	
976	1089,00	1010,00	512,47	-63,53	5,00	2,35	
977	1187,00	1010,00	558,59	-63,53	9,00	4,24	
978	2144,00	1010,00	1008,94	-63,53	7,00	3,29	
979	2728,00	1010,00	1283,76	-63,53	6,00	2,82	
980	2715,00	1012,00	1277,65	-64,47	7,00	3,29	
981	1177,00	1016,00	553,88	-66,35	8,00	3,76	
982	1912,00	1017,00	899,76	-66,82	7,00	3,29	
983	2753,00	1018,00	1295,53	-67,29	11,00	5,18	
984	1729,00	1020,00	813,65	-68,24	7,00	3,29	
985	1379,00	1021,00	648,94	-68,71	5,00	2,35	
986	2741,00	1026,00	1289,88	-71,06	6,00	2,82	
987	2564,00	1029,00	1206,59	-72,47	15,00	7,06	
988	2762,00	1030,00	1299,76	-72,94	6,00	2,82	
989	1336,00	1033,00	628,71	-74,35	6,00	2,82	
990	1609,00	1032,00	757,18	-73,88	9,00	4,24	
991	951,00	1033,00	447,53	-74,35	10,00	4,71	
992	2108,00	1033,00	992,00	-74,35	10,00	4,71	
993	1134,00	1035,00	533,65	-75,29	5,00	2,35	
994	1912,00	1035,00	899,76	-75,29	10,00	4,71	
995	944,00	1036,00	444,24	-75,76	9,00	4,24	
996	1348,00	1036,00	634,35	-75,76	5,00	2,35	
997	1088,00	1037,00	512,00	-76,24	8,00	3,76	
998	1761,00	1037,00	828,71	-76,24	5,00	2,35	
999	2734,00	1037,00	1286,59	-76,24	11,00	5,18	
1000	1314,00	1038,00	618,35	-76,71	11,00	5,18	
1001	1545,00	1039,00	727,06	-77,18	8,00	3,76	
1002	1290,00	1041,00	607,06	-78,12	11,00	5,18	
