Circle #	Center X	Center Y	Center X (µm)	Center Y (µm)	Radius	Radius (µm)	
1	3432,00	158,00	1615,06	337,41	5,00	2,35	
2	3752,00	255,00	1765,65	291,76	23,00	10,82	
3	1680,00	449,00	790,59	200,47	26,00	12,24	
4	1712,00	470,00	805,65	190,59	15,00	7,06	
5	1599,00	487,00	752,47	182,59	15,00	7,06	
6	1609,00	490,00	757,18	181,18	14,00	6,59	
7	1545,00	506,00	727,06	173,65	28,00	13,18	
8	1516,00	508,00	713,41	172,71	21,00	9,88	
9	1495,00	513,00	703,53	170,35	19,00	8,94	
10	1684,00	518,00	792,47	168,00	27,00	12,71	
11	1709,00	529,00	804,24	162,82	21,00	9,88	
12	1471,00	539,00	692,24	158,12	13,00	6,12	
13	1470,00	544,00	691,76	155,76	13,00	6,12	
14	1632,00	550,00	768,00	152,94	19,00	8,94	
15	1575,00	546,00	741,18	154,82	13,00	6,12	
16	1753,00	553,00	824,94	151,53	17,00	8,00	
17	1444,00	554,00	679,53	151,06	6,00	2,82	
18	1642,00	567,00	772,71	144,94	17,00	8,00	
19	1643,00	571,00	773,18	143,06	17,00	8,00	
20	1380,00	573,00	649,41	142,12	34,00	16,00	
21	1496,00	582,00	704,00	137,88	20,00	9,41	
22	1734,00	581,00	816,00	138,35	5,00	2,35	
23	1851,00	585,00	871,06	136,47	37,00	17,41	
24	1987,00	589,00	935,06	134,59	7,00	3,29	
25	1905,00	594,00	896,47	132,24	31,00	14,59	
26	1973,00	591,00	928,47	133,65	8,00	3,76	
27	1993,00	591,00	937,88	133,65	7,00	3,29	
28	2012,00	601,00	946,82	128,94	8,00	3,76	
29	1421,00	607,00	668,71	126,12	15,00	7,06	
30	1645,00	606,00	774,12	126,59	5,00	2,35	
31	2025,00	609,00	952,94	125,18	8,00	3,76	
32	1983,00	612,00	933,18	123,76	8,00	3,76	
33	2029,00	612,00	954,82	123,76	8,00	3,76	
34	1460,00	614,00	687,06	122,82	5,00	2,35	
35	1657,00	613,00	779,76	123,29	6,00	2,82	
36	2000,00	617,00	941,18	121,41	7,00	3,29	
37	1763,00	617,00	829,65	121,41	11,00	5,18	
38	2034,00	617,00	957,18	121,41	9,00	4,24	
39	1659,00	620,00	780,71	120,00	7,00	3,29	
40	1786,00	618,00	840,47	120,94	5,00	2,35	
41	2038,00	619,00	959,06	120,47	8,00	3,76	
42	1703,00	627,00	801,41	116,71	11,00	5,18	
43	2044,00	630,00	961,88	115,29	10,00	4,71	
44	1666,00	632,00	784,00	114,35	10,00	4,71	
45	1803,00	644,00	848,47	108,71	11,00	5,18	
46	1368,00	648,00	643,76	106,82	12,00	5,65	
47	1969,00	648,00	926,59	106,82	13,00	6,12	
48	1739,00	649,00	818,35	106,35	8,00	3,76	
49	1897,00	650,00	892,71	105,88	5,00	2,35	
50	1982,00	653,00	932,71	104,47	15,00	7,06	
51	1840,00	656,00	865,88	103,06	15,00	7,06	
52	1772,00	659,00	833,88	101,65	8,00	3,76	
53	1783,00	661,00	839,06	100,71	9,00	4,24	
54	1800,00	663,00	847,06	99,76	12,00	5,65	
55	2001,00	666,00	941,65	98,35	21,00	9,88	
56	2044,00	667,00	961,88	97,88	22,00	10,35	
57	2012,00	673,00	946,82	95,06	21,00	9,88	
58	1864,00	675,00	877,18	94,12	8,00	3,76	
59	2020,00	675,00	950,59	94,12	21,00	9,88	
60	1359,00	679,00	639,53	92,24	21,00	9,88	
61	1715,00	685,00	807,06	89,41	24,00	11,29	
62	1859,00	686,00	874,82	88,94	6,00	2,82	
63	1972,00	688,00	928,00	88,00	5,00	2,35	
64	1467,00	696,00	690,35	84,24	49,00	23,06	
65	1994,00	696,00	938,35	84,24	5,00	2,35	
