Circle #	Center X	Center Y	Center X (µm)	Center Y (µm)	Radius	Radius (µm)	
111	2551,00	558,00	1200,47	149,18	15,00	7,06	
112	2106,00	561,00	991,06	147,76	5,00	2,35	
113	2173,00	562,00	1022,59	147,29	9,00	4,24	
114	1675,00	565,00	788,24	145,88	5,00	2,35	
115	2182,00	565,00	1026,82	145,88	8,00	3,76	
116	2549,00	565,00	1199,53	145,88	14,00	6,59	
117	2151,00	567,00	1012,24	144,94	5,00	2,35	
118	2582,00	568,00	1215,06	144,47	9,00	4,24	
119	1701,00	569,00	800,47	144,00	7,00	3,29	
120	2214,00	571,00	1041,88	143,06	5,00	2,35	
121	2597,00	570,00	1222,12	143,53	5,00	2,35	
122	2188,00	572,00	1029,65	142,59	5,00	2,35	
123	1699,00	573,00	799,53	142,12	7,00	3,29	
124	2545,00	573,00	1197,65	142,12	13,00	6,12	
125	2126,00	574,00	1000,47	141,65	7,00	3,29	
126	2592,00	575,00	1219,76	141,18	5,00	2,35	
127	2532,00	576,00	1191,53	140,71	8,00	3,76	
128	2614,00	576,00	1230,12	140,71	8,00	3,76	
129	1651,00	578,00	776,94	139,76	6,00	2,82	
130	2042,00	579,00	960,94	139,29	19,00	8,94	
131	1658,00	582,00	780,24	137,88	5,00	2,35	
132	2188,00	583,00	1029,65	137,41	5,00	2,35	
133	2501,00	582,00	1176,94	137,88	9,00	4,24	
134	1686,00	584,00	793,41	136,94	8,00	3,76	
135	1668,00	585,00	784,94	136,47	5,00	2,35	
136	2102,00	585,00	989,18	136,47	8,00	3,76	
137	2161,00	586,00	1016,94	136,00	10,00	4,71	
138	2561,00	586,00	1205,18	136,00	5,00	2,35	
139	2123,00	587,00	999,06	135,53	6,00	2,82	
140	1942,00	588,00	913,88	135,06	5,00	2,35	
141	2173,00	588,00	1022,59	135,06	9,00	4,24	
142	2625,00	589,00	1235,29	134,59	5,00	2,35	
143	2479,00	592,00	1166,59	133,18	7,00	3,29	
144	2514,00	597,00	1183,06	130,82	5,00	2,35	
145	2309,00	596,00	1086,59	131,29	5,00	2,35	
146	2190,00	604,00	1030,59	127,53	5,00	2,35	
147	1956,00	599,00	920,47	129,88	10,00	4,71	
148	2263,00	599,00	1064,94	129,88	31,00	14,59	
149	2539,00	599,00	1194,82	129,88	5,00	2,35	
150	1966,00	601,00	925,18	128,94	10,00	4,71	
151	2552,00	602,00	1200,94	128,47	7,00	3,29	
152	2612,00	603,00	1229,18	128,00	8,00	3,76	
153	2472,00	604,00	1163,29	127,53	6,00	2,82	
154	1635,00	606,00	769,41	126,59	14,00	6,59	
155	1705,00	608,00	802,35	125,65	5,00	2,35	
156	2121,00	607,00	998,12	126,12	7,00	3,29	
157	2060,00	607,00	969,41	126,12	7,00	3,29	
158	1659,00	608,00	780,71	125,65	6,00	2,82	
159	2446,00	609,00	1151,06	125,18	7,00	3,29	
160	1391,00	614,00	654,59	122,82	5,00	2,35	
161	2320,00	614,00	1091,76	122,82	10,00	4,71	
162	1678,00	618,00	789,65	120,94	5,00	2,35	
163	1694,00	618,00	797,18	120,94	5,00	2,35	
164	2437,00	619,00	1146,82	120,47	10,00	4,71	
165	2428,00	620,00	1142,59	120,00	10,00	4,71	
166	2604,00	620,00	1225,41	120,00	8,00	3,76	
167	1713,00	626,00	806,12	117,18	5,00	2,35	
168	1968,00	622,00	926,12	119,06	6,00	2,82	
169	2009,00	622,00	945,41	119,06	15,00	7,06	
170	1934,00	623,00	910,12	118,59	12,00	5,65	
171	2155,00	625,00	1014,12	117,65	5,00	2,35	
172	2543,00	624,00	1196,71	118,12	8,00	3,76	
173	1907,00	625,00	897,41	117,65	8,00	3,76	
174	2031,00	625,00	955,76	117,65	5,00	2,35	
175	1727,00	626,00	812,71	117,18	5,00	2,35	
176	2623,00	627,00	1234,35	116,71	6,00	2,82	
177	2410,00	630,00	1134,12	115,29	6,00	2,82	
178	1706,00	631,00	802,82	114,82	5,00	2,35	
179	1741,00	630,00	819,29	115,29	10,00	4,71	
180	2294,00	632,00	1079,53	114,35	12,00	5,65	
181	2590,00	631,00	1218,82	114,82	10,00	4,71	
182	1916,00	632,00	901,65	114,35	9,00	4,24	
183	1954,00	632,00	919,53	114,35	6,00	2,82	
184	2318,00	635,00	1090,82	112,94	5,00	2,35	
185	1657,00	633,00	779,76	113,88	10,00	4,71	
186	2233,00	636,00	1050,82	112,47	13,00	6,12	
187	2547,00	635,00	1198,59	112,94	5,00	2,35	
188	1687,00	636,00	793,88	112,47	6,00	2,82	
189	1896,00	641,00	892,24	110,12	7,00	3,29	
190	2033,00	639,00	956,71	111,06	5,00	2,35	
191	1432,00	640,00	673,88	110,59	34,00	16,00	
192	1756,00	642,00	826,35	109,65	6,00	2,82	
193	2360,00	643,00	1110,59	109,18	8,00	3,76	
194	1640,00	642,00	771,76	109,65	12,00	5,65	
