Circle #	Center X	Center Y	Center X (µm)	Center Y (µm)	Radius	Radius (µm)	
1	2126,00	16,00	1000,47	404,24	5,00	2,35	
2	1992,00	18,00	937,41	403,29	5,00	2,35	
3	2086,00	18,00	981,65	403,29	5,00	2,35	
4	1795,00	20,00	844,71	402,35	5,00	2,35	
5	1901,00	20,00	894,59	402,35	5,00	2,35	
6	1915,00	19,00	901,18	402,82	5,00	2,35	
7	2023,00	19,00	952,00	402,82	7,00	3,29	
8	1638,00	20,00	770,82	402,35	5,00	2,35	
9	1714,00	20,00	806,59	402,35	5,00	2,35	
10	2061,00	20,00	969,88	402,35	8,00	3,76	
11	1735,00	21,00	816,47	401,88	6,00	2,82	
12	1811,00	21,00	852,24	401,88	6,00	2,82	
13	1954,00	22,00	919,53	401,41	7,00	3,29	
14	1217,00	22,00	572,71	401,41	5,00	2,35	
15	1470,00	22,00	691,76	401,41	5,00	2,35	
16	1697,00	22,00	798,59	401,41	7,00	3,29	
17	1773,00	24,00	834,35	400,47	7,00	3,29	
18	1924,00	22,00	905,41	401,41	7,00	3,29	
19	991,00	23,00	466,35	400,94	5,00	2,35	
20	1273,00	23,00	599,06	400,94	6,00	2,82	
21	1465,00	24,00	689,41	400,47	5,00	2,35	
22	1499,00	23,00	705,41	400,94	6,00	2,82	
23	1526,00	23,00	718,12	400,94	6,00	2,82	
24	1545,00	23,00	727,06	400,94	6,00	2,82	
25	1554,00	23,00	731,29	400,94	7,00	3,29	
26	1586,00	23,00	746,35	400,94	6,00	2,82	
27	1664,00	23,00	783,06	400,94	9,00	4,24	
28	1829,00	23,00	860,71	400,94	6,00	2,82	
29	1978,00	23,00	930,82	400,94	9,00	4,24	
30	2113,00	23,00	994,35	400,94	6,00	2,82	
31	950,00	24,00	447,06	400,47	5,00	2,35	
32	1028,00	25,00	483,76	400,00	6,00	2,82	
33	1224,00	24,00	576,00	400,47	7,00	3,29	
34	1345,00	24,00	632,94	400,47	7,00	3,29	
35	1402,00	24,00	659,76	400,47	7,00	3,29	
36	1043,00	25,00	490,82	400,00	6,00	2,82	
37	1053,00	25,00	495,53	400,00	5,00	2,35	
38	1059,00	25,00	498,35	400,00	5,00	2,35	
39	1264,00	25,00	594,82	400,00	6,00	2,82	
40	1314,00	25,00	618,35	400,00	8,00	3,76	
41	1425,00	25,00	670,59	400,00	8,00	3,76	
42	1447,00	25,00	680,94	400,00	6,00	2,82	
43	1520,00	25,00	715,29	400,00	7,00	3,29	
44	1568,00	25,00	737,88	400,00	5,00	2,35	
45	1624,00	26,00	764,24	399,53	9,00	4,24	
46	1855,00	29,00	872,94	398,12	5,00	2,35	
47	1936,00	25,00	911,06	400,00	5,00	2,35	
48	966,00	26,00	454,59	399,53	5,00	2,35	
49	978,00	26,00	460,24	399,53	7,00	3,29	
50	1071,00	26,00	504,00	399,53	7,00	3,29	
51	1095,00	26,00	515,29	399,53	7,00	3,29	
52	1115,00	26,00	524,71	399,53	8,00	3,76	
53	1141,00	26,00	536,94	399,53	8,00	3,76	
54	1172,00	26,00	551,53	399,53	8,00	3,76	
55	1200,00	28,00	564,71	398,59	6,00	2,82	
56	1236,00	26,00	581,65	399,53	8,00	3,76	
57	1375,00	26,00	647,06	399,53	9,00	4,24	
58	2142,00	26,00	1008,00	399,53	6,00	2,82	
59	935,00	27,00	440,00	399,06	6,00	2,82	
60	1011,00	27,00	475,76	399,06	8,00	3,76	
61	2843,00	27,00	1337,88	399,06	5,00	2,35	
62	1541,00	29,00	725,18	398,12	5,00	2,35	
63	1604,00	29,00	754,82	398,12	8,00	3,76	
64	2785,00	74,00	1310,59	376,94	5,00	2,35	
65	605,00	89,00	284,71	369,88	7,00	3,29	
66	2856,00	100,00	1344,00	364,71	5,00	2,35	
67	3561,00	102,00	1675,76	363,76	5,00	2,35	
68	3308,00	103,00	1556,71	363,29	5,00	2,35	
69	3036,00	104,00	1428,71	362,82	7,00	3,29	
70	2776,00	107,00	1306,35	361,41	9,00	4,24	
71	3229,00	108,00	1519,53	360,94	5,00	2,35	
72	2851,00	117,00	1341,65	356,71	6,00	2,82	
73	3184,00	143,00	1498,35	344,47	23,00	10,82	
74	2829,00	147,00	1331,29	342,59	6,00	2,82	
75	3063,00	153,00	1441,41	339,76	11,00	5,18	
76	3019,00	151,00	1420,71	340,71	31,00	14,59	
77	3275,00	153,00	1541,18	339,76	41,00	19,29	
78	3183,00	165,00	1497,88	334,12	23,00	10,82	
79	3283,00	169,00	1544,94	332,24	42,00	19,76	
80	3651,00	163,00	1718,12	335,06	36,00	16,94	
81	3062,00	172,00	1440,94	330,82	11,00	5,18	
82	3013,00	174,00	1417,88	329,88	36,00	16,94	
83	2955,00	179,00	1390,59	327,53	8,00	3,76	
84	3534,00	180,00	1663,06	327,06	50,00	23,53	
85	3648,00	181,00	1716,71	326,59	37,00	17,41	
