Circle #	Center X	Center Y	Center X (µm)	Center Y (µm)	Radius	Radius (µm)	
1	383,00	96,00	180,24	366,59	8,00	3,76	
2	3772,00	101,00	1775,06	364,24	50,00	23,53	
3	3766,00	117,00	1772,24	356,71	47,00	22,12	
4	3765,00	119,00	1771,76	355,76	47,00	22,12	
5	377,00	122,00	177,41	354,35	5,00	2,35	
6	3759,00	138,00	1768,94	346,82	47,00	22,12	
7	1975,00	166,00	929,41	333,65	8,00	3,76	
8	1981,00	175,00	932,24	329,41	11,00	5,18	
9	2356,00	182,00	1108,71	326,12	31,00	14,59	
10	1978,00	218,00	930,82	309,18	20,00	9,41	
11	1976,00	232,00	929,88	302,59	19,00	8,94	
12	1975,00	238,00	929,41	299,76	19,00	8,94	
13	2272,00	246,00	1069,18	296,00	39,00	18,35	
14	1972,00	246,00	928,00	296,00	21,00	9,88	
15	1971,00	297,00	927,53	272,00	7,00	3,29	
16	1962,00	302,00	923,29	269,65	8,00	3,76	
17	2011,00	302,00	946,35	269,65	18,00	8,47	
18	2246,00	302,00	1056,94	269,65	10,00	4,71	
19	2236,00	305,00	1052,24	268,24	8,00	3,76	
20	2219,00	310,00	1044,24	265,88	11,00	5,18	
21	1325,00	312,00	623,53	264,94	11,00	5,18	
22	2198,00	312,00	1034,35	264,94	8,00	3,76	
23	1942,00	314,00	913,88	264,00	6,00	2,82	
24	1415,00	324,00	665,88	259,29	5,00	2,35	
25	2046,00	326,00	962,82	258,35	20,00	9,41	
26	1387,00	326,00	652,71	258,35	12,00	5,65	
27	1372,00	332,00	645,65	255,53	14,00	6,59	
28	2167,00	336,00	1019,76	253,65	5,00	2,35	
29	1306,00	342,00	614,59	250,82	5,00	2,35	
30	1972,00	350,00	928,00	247,06	5,00	2,35	
31	2102,00	354,00	989,18	245,18	11,00	5,18	
32	3588,00	354,00	1688,47	245,18	50,00	23,53	
33	2032,00	356,00	956,24	244,24	7,00	3,29	
34	1982,00	357,00	932,71	243,76	7,00	3,29	
35	1375,00	358,00	647,06	243,29	5,00	2,35	
36	1984,00	365,00	933,65	240,00	5,00	2,35	
37	2015,00	368,00	948,24	238,59	8,00	3,76	
38	1399,00	374,00	658,35	235,76	7,00	3,29	
39	1407,00	375,00	662,12	235,29	7,00	3,29	
40	3524,00	375,00	1658,35	235,29	30,00	14,12	
41	1417,00	376,00	666,82	234,82	6,00	2,82	
42	2054,00	376,00	966,59	234,82	5,00	2,35	
43	3650,00	376,00	1717,65	234,82	21,00	9,88	
44	3652,00	377,00	1718,59	234,35	21,00	9,88	
45	1390,00	379,00	654,12	233,41	6,00	2,82	
46	1778,00	383,00	836,71	231,53	5,00	2,35	
47	3506,00	383,00	1649,88	231,53	26,00	12,24	
48	1341,00	386,00	631,06	230,12	8,00	3,76	
49	2193,00	387,00	1032,00	229,65	48,00	22,59	
50	2017,00	388,00	949,18	229,18	6,00	2,82	
51	2335,00	389,00	1098,82	228,71	44,00	20,71	
52	1364,00	391,00	641,88	227,76	5,00	2,35	
53	1764,00	394,00	830,12	226,35	5,00	2,35	
54	877,00	396,00	412,71	225,41	6,00	2,82	
55	936,00	396,00	440,47	225,41	6,00	2,82	
56	884,00	398,00	416,00	224,47	6,00	2,82	
57	1739,00	404,00	818,35	221,65	13,00	6,12	
58	2044,00	401,00	961,88	223,06	7,00	3,29	
59	897,00	409,00	422,12	219,29	7,00	3,29	
60	2052,00	405,00	965,65	221,18	7,00	3,29	
61	2004,00	419,00	943,06	214,59	5,00	2,35	
62	914,00	421,00	430,12	213,65	8,00	3,76	
63	2401,00	422,00	1129,88	213,18	8,00	3,76	
64	907,00	424,00	426,82	212,24	9,00	4,24	
65	2058,00	423,00	968,47	212,71	8,00	3,76	
66	2105,00	424,00	990,59	212,24	6,00	2,82	
67	3666,00	427,00	1725,18	210,82	5,00	2,35	
68	3643,00	425,00	1714,35	211,76	5,00	2,35	
69	3704,00	425,00	1743,06	211,76	5,00	2,35	
70	2023,00	429,00	952,00	209,88	9,00	4,24	
71	3621,00	428,00	1704,00	210,35	7,00	3,29	
72	3600,00	430,00	1694,12	209,41	7,00	3,29	
73	3586,00	431,00	1687,53	208,94	7,00	3,29	
74	3561,00	432,00	1675,76	208,47	8,00	3,76	
75	2100,00	435,00	988,24	207,06	6,00	2,82	
76	3477,00	434,00	1636,24	207,53	6,00	2,82	
77	3512,00	434,00	1652,71	207,53	7,00	3,29	
78	3448,00	441,00	1622,59	204,24	7,00	3,29	
79	3497,00	436,00	1645,65	206,59	8,00	3,76	
80	3529,00	436,00	1660,71	206,59	10,00	4,71	
81	2069,00	438,00	973,65	205,65	9,00	4,24	
82	1701,00	441,00	800,47	204,24	5,00	2,35	
83	936,00	442,00	440,47	203,76	13,00	6,12	
84	968,00	443,00	455,53	203,29	16,00	7,53	
85	2144,00	445,00	1008,94	202,35	8,00	3,76	
86	2118,00	448,00	996,71	200,94	8,00	3,76	
87	2504,00	449,00	1178,35	200,47	21,00	9,88	
88	977,00	450,00	459,76	200,00	15,00	7,06	
89	2494,00	450,00	1173,65	200,00	21,00	9,88	
90	2024,00	458,00	952,47	196,24	10,00	4,71	
91	2491,00	451,00	1172,24	199,53	21,00	9,88	
92	2581,00	453,00	1214,59	198,59	7,00	3,29	
93	993,00	456,00	467,29	197,18	17,00	8,00	
94	2475,00	457,00	1164,71	196,71	23,00	10,82	
95	999,00	459,00	470,12	195,76	17,00	8,00	
96	2469,00	459,00	1161,88	195,76	24,00	11,29	
97	1971,00	461,00	927,53	194,82	7,00	3,29	
98	1006,00	462,00	473,41	194,35	18,00	8,47	
99	1019,00	466,00	479,53	192,47	18,00	8,47	
100	1964,00	468,00	924,24	191,53	7,00	3,29	
101	1959,00	470,00	921,88	190,59	8,00	3,76	
102	2378,00	473,00	1119,06	189,18	9,00	4,24	
103	2223,00	473,00	1046,12	189,18	47,00	22,12	
104	1050,00	476,00	494,12	187,76	5,00	2,35	
105	2523,00	475,00	1187,29	188,24	15,00	7,06	
106	1624,00	479,00	764,24	186,35	7,00	3,29	
107	2015,00	479,00	948,24	186,35	12,00	5,65	
108	2114,00	480,00	994,82	185,88	10,00	4,71	
109	2604,00	479,00	1225,41	186,35	21,00	9,88	
110	1723,00	480,00	810,82	185,88	23,00	10,82	
111	2073,00	483,00	975,53	184,47	9,00	4,24	
