Circle #	Center X	Center Y	Center X (µm)	Center Y (µm)	Radius	Radius (µm)	
1	1793,00	11,00	843,76	406,59	5,00	2,35	
2	1690,00	12,00	795,29	406,12	5,00	2,35	
3	1629,00	14,00	766,59	405,18	6,00	2,82	
4	1670,00	14,00	785,88	405,18	7,00	3,29	
5	1545,00	16,00	727,06	404,24	5,00	2,35	
6	1621,00	15,00	762,82	404,71	5,00	2,35	
7	1517,00	16,00	713,88	404,24	6,00	2,82	
8	1531,00	16,00	720,47	404,24	6,00	2,82	
9	1509,00	18,00	710,12	403,29	7,00	3,29	
10	1562,00	17,00	735,06	403,76	7,00	3,29	
11	1593,00	17,00	749,65	403,76	6,00	2,82	
12	1695,00	17,00	797,65	403,76	5,00	2,35	
13	1256,00	19,00	591,06	402,82	5,00	2,35	
14	1457,00	19,00	685,65	402,82	8,00	3,76	
15	1476,00	19,00	694,59	402,82	8,00	3,76	
16	1099,00	20,00	517,18	402,35	5,00	2,35	
17	1358,00	20,00	639,06	402,35	7,00	3,29	
18	1424,00	21,00	670,12	401,88	7,00	3,29	
19	1436,00	20,00	675,76	402,35	6,00	2,82	
20	1125,00	21,00	529,41	401,88	6,00	2,82	
21	1315,00	22,00	618,82	401,41	8,00	3,76	
22	1375,00	21,00	647,06	401,88	7,00	3,29	
23	1400,00	22,00	658,82	401,41	8,00	3,76	
24	1448,00	21,00	681,41	401,88	7,00	3,29	
25	1164,00	22,00	547,76	401,41	7,00	3,29	
26	1201,00	23,00	565,18	400,94	7,00	3,29	
27	1243,00	22,00	584,94	401,41	8,00	3,76	
28	1274,00	22,00	599,53	401,41	8,00	3,76	
29	1137,00	24,00	535,06	400,47	8,00	3,76	
30	1179,00	24,00	554,82	400,47	7,00	3,29	
31	1223,00	24,00	575,53	400,47	9,00	4,24	
32	1268,00	24,00	596,71	400,47	8,00	3,76	
33	910,00	26,00	428,24	399,53	5,00	2,35	
34	1011,00	26,00	475,76	399,53	8,00	3,76	
35	935,00	28,00	440,00	398,59	8,00	3,76	
36	875,00	28,00	411,76	398,59	7,00	3,29	
37	891,00	28,00	419,29	398,59	6,00	2,82	
38	985,00	28,00	463,53	398,59	10,00	4,71	
39	963,00	29,00	453,18	398,12	9,00	4,24	
40	857,00	31,00	403,29	397,18	9,00	4,24	
41	946,00	31,00	445,18	397,18	8,00	3,76	
42	1056,00	35,00	496,94	395,29	6,00	2,82	
43	1053,00	36,00	495,53	394,82	6,00	2,82	
44	1070,00	71,00	503,53	378,35	27,00	12,71	
45	1127,00	90,00	530,35	369,41	19,00	8,94	
46	1562,00	92,00	735,06	368,47	8,00	3,76	
47	1062,00	93,00	499,76	368,00	21,00	9,88	
48	1061,00	95,00	499,29	367,06	21,00	9,88	
49	1540,00	97,00	724,71	366,12	7,00	3,29	
50	1531,00	99,00	720,47	365,18	7,00	3,29	
51	1621,00	100,00	762,82	364,71	12,00	5,65	
52	3604,00	100,00	1696,00	364,71	5,00	2,35	
53	1617,00	101,00	760,94	364,24	12,00	5,65	
54	1521,00	103,00	715,76	363,29	6,00	2,82	
55	1641,00	105,00	772,24	362,35	13,00	6,12	
56	914,00	106,00	430,12	361,88	6,00	2,82	
57	1501,00	107,00	706,35	361,41	9,00	4,24	
58	1497,00	108,00	704,47	360,94	9,00	4,24	
59	935,00	109,00	440,00	360,47	6,00	2,82	
60	917,00	110,00	431,53	360,00	6,00	2,82	
61	1493,00	110,00	702,59	360,00	9,00	4,24	
62	1597,00	110,00	751,53	360,00	14,00	6,59	
63	3763,00	115,00	1770,82	357,65	23,00	10,82	
64	1487,00	112,00	699,76	359,06	8,00	3,76	
65	1585,00	112,00	745,88	359,06	13,00	6,12	
66	1581,00	113,00	744,00	358,59	13,00	6,12	
67	1652,00	115,00	777,41	357,65	10,00	4,71	
68	1576,00	117,00	741,65	356,71	13,00	6,12	
