Circle #	Center X	Center Y	Center X (µm)	Center Y (µm)	Radius	Radius (µm)	
1	2636,00	7,00	1240,47	408,47	5,00	2,35	
2	2529,00	9,00	1190,12	407,53	6,00	2,82	
3	2608,00	9,00	1227,29	407,53	6,00	2,82	
4	2505,00	10,00	1178,82	407,06	6,00	2,82	
5	2564,00	10,00	1206,59	407,06	7,00	3,29	
6	2548,00	11,00	1199,06	406,59	7,00	3,29	
7	2594,00	14,00	1220,71	405,18	6,00	2,82	
8	3465,00	14,00	1630,59	405,18	5,00	2,35	
9	2467,00	14,00	1160,94	405,18	10,00	4,71	
10	2494,00	15,00	1173,65	404,71	6,00	2,82	
11	2999,00	16,00	1411,29	404,24	5,00	2,35	
12	2422,00	16,00	1139,76	404,24	7,00	3,29	
13	2415,00	20,00	1136,47	402,35	5,00	2,35	
14	2995,00	35,00	1409,41	395,29	5,00	2,35	
15	2997,00	42,00	1410,35	392,00	5,00	2,35	
16	2265,00	49,00	1065,88	388,71	6,00	2,82	
17	1583,00	108,00	744,94	360,94	5,00	2,35	
18	979,00	111,00	460,71	359,53	6,00	2,82	
19	2930,00	191,00	1378,82	321,88	5,00	2,35	
20	3225,00	236,00	1517,65	300,71	8,00	3,76	
21	2877,00	253,00	1353,88	292,71	6,00	2,82	
22	3574,00	308,00	1681,88	266,82	6,00	2,82	
23	3626,00	309,00	1706,35	266,35	8,00	3,76	
24	3628,00	312,00	1707,29	264,94	8,00	3,76	
25	3566,00	314,00	1678,12	264,00	7,00	3,29	
26	3564,00	315,00	1677,18	263,53	7,00	3,29	
27	3637,00	321,00	1711,53	260,71	10,00	4,71	
28	3638,00	323,00	1712,00	259,76	10,00	4,71	
29	3547,00	324,00	1669,18	259,29	8,00	3,76	
30	3644,00	337,00	1714,82	253,18	8,00	3,76	
31	3516,00	340,00	1654,59	251,76	10,00	4,71	
32	3511,00	343,00	1652,24	250,35	10,00	4,71	
33	3471,00	348,00	1633,41	248,00	5,00	2,35	
34	3494,00	358,00	1644,24	243,29	7,00	3,29	
35	3658,00	361,00	1721,41	241,88	8,00	3,76	
36	3450,00	366,00	1623,53	239,53	5,00	2,35	
37	3472,00	371,00	1633,88	237,18	8,00	3,76	
38	3670,00	375,00	1727,06	235,29	10,00	4,71	
39	2217,00	383,00	1043,29	231,53	5,00	2,35	
40	3459,00	380,00	1627,76	232,94	7,00	3,29	
41	3456,00	382,00	1626,35	232,00	7,00	3,29	
42	3675,00	386,00	1729,41	230,12	9,00	4,24	
43	2205,00	390,00	1037,65	228,24	6,00	2,82	
