Создан как новый массив данных;Образец 009 полученный BalashovM Дата среда, апреля 28 2021
cm-1;A
3685,00;0,0163
3684,00;0,0163
3683,00;0,0163
3682,00;0,0163
3681,00;0,0163
3680,00;0,0163
3679,00;0,0163
3678,00;0,0163
3677,00;0,0163
3676,00;0,0163
3675,00;0,0163
3674,00;0,0163
3673,00;0,0163
3672,00;0,0163
3671,00;0,0163
3670,00;0,0163
3669,00;0,0163
3668,00;0,0163
3667,00;0,0163
3666,00;0,0163
3665,00;0,0163
3664,00;0,0163
3663,00;0,0163
3662,00;0,0163
3661,00;0,0163
3660,00;0,0163
3659,00;0,0163
3658,00;0,0163
3657,00;0,0163
3656,00;0,0163
3655,00;0,0163
3654,00;0,0163
3653,00;0,0163
3652,00;0,0163
3651,00;0,0163
3650,00;0,0163
3649,00;0,0163
3648,00;0,0164
3647,00;0,0164
3646,00;0,0164
3645,00;0,0164
3644,00;0,0165
3643,00;0,0165
3642,00;0,0165
3641,00;0,0165
3640,00;0,0164
3639,00;0,0165
3638,00;0,0165
3637,00;0,0165
3636,00;0,0165
3635,00;0,0166
3634,00;0,0166
3633,00;0,0166
3632,00;0,0166
3631,00;0,0166
3630,00;0,0167
3629,00;0,0167
3628,00;0,0167
3627,00;0,0167
3626,00;0,0168
3625,00;0,0168
3624,00;0,0168
3623,00;0,0168
3622,00;0,0168
3621,00;0,0168
3620,00;0,0168
3619,00;0,0169
3618,00;0,0169
3617,00;0,0170
3616,00;0,0170
3615,00;0,0170
3614,00;0,0171
3613,00;0,0171
3612,00;0,0171
3611,00;0,0172
3610,00;0,0172
3609,00;0,0173
3608,00;0,0173
3607,00;0,0173
3606,00;0,0174
3605,00;0,0174
3604,00;0,0174
3603,00;0,0175
3602,00;0,0175
3601,00;0,0175
3600,00;0,0176
3599,00;0,0176
3598,00;0,0176
3597,00;0,0177
3596,00;0,0177
3595,00;0,0178
3594,00;0,0178
3593,00;0,0179
3592,00;0,0179
3591,00;0,0180
3590,00;0,0180
3589,00;0,0181
3588,00;0,0181
3587,00;0,0182
3586,00;0,0182
3585,00;0,0182
3584,00;0,0183
3583,00;0,0183
3582,00;0,0184
3581,00;0,0184
3580,00;0,0185
3579,00;0,0185
3578,00;0,0186
3577,00;0,0186
3576,00;0,0186
3575,00;0,0187
3574,00;0,0187
3573,00;0,0188
3572,00;0,0188
3571,00;0,0189
3570,00;0,0189
3569,00;0,0190
3568,00;0,0190
3567,00;0,0191
3566,00;0,0191
3565,00;0,0192
3564,00;0,0192
3563,00;0,0193
3562,00;0,0193
3561,00;0,0194
3560,00;0,0194
3559,00;0,0194
3558,00;0,0195
3557,00;0,0195
3556,00;0,0196
3555,00;0,0196
3554,00;0,0197
3553,00;0,0197
3552,00;0,0198
3551,00;0,0199
3550,00;0,0199
3549,00;0,0200
3548,00;0,0200
3547,00;0,0201
3546,00;0,0202
3545,00;0,0202
3544,00;0,0202
3543,00;0,0203
3542,00;0,0203
3541,00;0,0203
3540,00;0,0204
3539,00;0,0204
3538,00;0,0205
3537,00;0,0205
3536,00;0,0205
3535,00;0,0206
3534,00;0,0206
3533,00;0,0207
3532,00;0,0207
3531,00;0,0208
3530,00;0,0208
3529,00;0,0209
3528,00;0,0209
3527,00;0,0210
3526,00;0,0210
3525,00;0,0211
3524,00;0,0211
3523,00;0,0212
3522,00;0,0212
3521,00;0,0212
3520,00;0,0213
3519,00;0,0213
3518,00;0,0213
3517,00;0,0213
3516,00;0,0214
3515,00;0,0214
3514,00;0,0215
3513,00;0,0215
3512,00;0,0215
3511,00;0,0216
3510,00;0,0216
3509,00;0,0217
3508,00;0,0217
3507,00;0,0217
3506,00;0,0218
3505,00;0,0218
3504,00;0,0219
3503,00;0,0219
3502,00;0,0219
3501,00;0,0220
3500,00;0,0220
3499,00;0,0220
3498,00;0,0221
3497,00;0,0221
3496,00;0,0221
3495,00;0,0221
3494,00;0,0222
3493,00;0,0222
3492,00;0,0222
3491,00;0,0223
3490,00;0,0223
3489,00;0,0223
3488,00;0,0223
3487,00;0,0224
3486,00;0,0224
3485,00;0,0225
3484,00;0,0225
3483,00;0,0225
3482,00;0,0226
3481,00;0,0226
3480,00;0,0226
3479,00;0,0227
3478,00;0,0227
3477,00;0,0227
3476,00;0,0227
3475,00;0,0228
3474,00;0,0228
3473,00;0,0228
3472,00;0,0229
3471,00;0,0229
3470,00;0,0229
3469,00;0,0229
3468,00;0,0230
3467,00;0,0230
3466,00;0,0230
3465,00;0,0230
3464,00;0,0231
3463,00;0,0231
3462,00;0,0231
3461,00;0,0232
3460,00;0,0232
3459,00;0,0232
3458,00;0,0232
3457,00;0,0233
3456,00;0,0233
3455,00;0,0233
3454,00;0,0233
3453,00;0,0234
3452,00;0,0234
3451,00;0,0234
3450,00;0,0234
3449,00;0,0234
3448,00;0,0235
3447,00;0,0235
3446,00;0,0235
3445,00;0,0235
3444,00;0,0235
3443,00;0,0236
3442,00;0,0236
3441,00;0,0236
3440,00;0,0236
3439,00;0,0237
3438,00;0,0237
3437,00;0,0237
3436,00;0,0237
3435,00;0,0237
3434,00;0,0238
3433,00;0,0238
3432,00;0,0238
3431,00;0,0238
3430,00;0,0238
3429,00;0,0239
3428,00;0,0239
3427,00;0,0239
3426,00;0,0239
3425,00;0,0239
3424,00;0,0240
3423,00;0,0240
3422,00;0,0240
3421,00;0,0240
3420,00;0,0241
3419,00;0,0241
3418,00;0,0241
3417,00;0,0241
3416,00;0,0241
3415,00;0,0242
3414,00;0,0242
3413,00;0,0242
3412,00;0,0242
3411,00;0,0242
3410,00;0,0242
3409,00;0,0243
3408,00;0,0243
3407,00;0,0243
3406,00;0,0243
3405,00;0,0244
3404,00;0,0244
3403,00;0,0244
3402,00;0,0244
3401,00;0,0244
3400,00;0,0245
3399,00;0,0245
3398,00;0,0245
3397,00;0,0245
3396,00;0,0245
3395,00;0,0245
3394,00;0,0246
3393,00;0,0246
3392,00;0,0246
3391,00;0,0246
3390,00;0,0246
3389,00;0,0247
3388,00;0,0247
3387,00;0,0247
3386,00;0,0247
3385,00;0,0247
3384,00;0,0247
3383,00;0,0247
3382,00;0,0248
3381,00;0,0248
3380,00;0,0248
3379,00;0,0248
3378,00;0,0248
3377,00;0,0248
3376,00;0,0248
3375,00;0,0248
3374,00;0,0248
3373,00;0,0248
3372,00;0,0248
3371,00;0,0249
3370,00;0,0249
3369,00;0,0249
3368,00;0,0249
3367,00;0,0249
3366,00;0,0249
3365,00;0,0249
3364,00;0,0249
3363,00;0,0249
3362,00;0,0249
3361,00;0,0249
3360,00;0,0250
3359,00;0,0250
3358,00;0,0250
3357,00;0,0250
3356,00;0,0250
3355,00;0,0250
3354,00;0,0250
3353,00;0,0250
3352,00;0,0250
3351,00;0,0250
3350,00;0,0250
3349,00;0,0251
3348,00;0,0251
3347,00;0,0251
3346,00;0,0251
3345,00;0,0251
3344,00;0,0251
3343,00;0,0251
3342,00;0,0251
3341,00;0,0251
3340,00;0,0251
3339,00;0,0251
3338,00;0,0252
3337,00;0,0252
3336,00;0,0252
3335,00;0,0252
3334,00;0,0252
3333,00;0,0252
3332,00;0,0252
3331,00;0,0252
3330,00;0,0252
3329,00;0,0252
3328,00;0,0252
3327,00;0,0252
3326,00;0,0252
3325,00;0,0252
3324,00;0,0252
3323,00;0,0252
3322,00;0,0252
3321,00;0,0253
3320,00;0,0253
3319,00;0,0253
3318,00;0,0253
3317,00;0,0253
3316,00;0,0253
3315,00;0,0253
3314,00;0,0253
3313,00;0,0253
3312,00;0,0254
3311,00;0,0254
3310,00;0,0254
3309,00;0,0254
3308,00;0,0254
3307,00;0,0254
3306,00;0,0254
3305,00;0,0254
3304,00;0,0254
3303,00;0,0254
3302,00;0,0254
3301,00;0,0254
3300,00;0,0254
3299,00;0,0254
3298,00;0,0254
3297,00;0,0254
3296,00;0,0254
3295,00;0,0255
3294,00;0,0255
3293,00;0,0255
3292,00;0,0255
3291,00;0,0255
3290,00;0,0255
3289,00;0,0255
3288,00;0,0255
3287,00;0,0255
3286,00;0,0255
3285,00;0,0255
3284,00;0,0255
3283,00;0,0255
3282,00;0,0255
3281,00;0,0255
3280,00;0,0256
3279,00;0,0256
3278,00;0,0256
3277,00;0,0256
3276,00;0,0256
3275,00;0,0256
3274,00;0,0256
3273,00;0,0256
3272,00;0,0256
3271,00;0,0256
3270,00;0,0256
3269,00;0,0256
3268,00;0,0256
3267,00;0,0256
3266,00;0,0256
