Создан как новый массив данных;Образец 013 полученный BalashovM Дата четверг, апреля 20 2023
cm-1;A
3843,00;0,0014
3842,00;0,0015
3841,00;0,0015
3840,00;0,0016
3839,00;0,0016
3838,00;0,0015
3837,00;0,0015
3836,00;0,0014
3835,00;0,0014
3834,00;0,0013
3833,00;0,0013
3832,00;0,0013
3831,00;0,0013
3830,00;0,0014
3829,00;0,0014
3828,00;0,0014
3827,00;0,0014
3826,00;0,0014
3825,00;0,0014
3824,00;0,0014
3823,00;0,0014
3822,00;0,0014
3821,00;0,0014
3820,00;0,0014
3819,00;0,0014
3818,00;0,0014
3817,00;0,0015
3816,00;0,0015
3815,00;0,0015
3814,00;0,0015
3813,00;0,0015
3812,00;0,0014
3811,00;0,0014
3810,00;0,0014
3809,00;0,0014
3808,00;0,0014
3807,00;0,0014
3806,00;0,0014
3805,00;0,0014
3804,00;0,0013
3803,00;0,0014
3802,00;0,0014
3801,00;0,0014
3800,00;0,0014
3799,00;0,0014
3798,00;0,0014
3797,00;0,0014
3796,00;0,0013
3795,00;0,0013
3794,00;0,0013
3793,00;0,0013
3792,00;0,0014
3791,00;0,0014
3790,00;0,0014
3789,00;0,0014
3788,00;0,0014
3787,00;0,0014
3786,00;0,0014
3785,00;0,0013
3784,00;0,0013
3783,00;0,0012
3782,00;0,0012
3781,00;0,0012
3780,00;0,0012
3779,00;0,0013
3778,00;0,0013
3777,00;0,0013
3776,00;0,0013
3775,00;0,0014
3774,00;0,0014
3773,00;0,0014
3772,00;0,0014
3771,00;0,0014
3770,00;0,0013
3769,00;0,0013
3768,00;0,0013
3767,00;0,0013
3766,00;0,0013
3765,00;0,0013
3764,00;0,0013
3763,00;0,0013
3762,00;0,0013
3761,00;0,0013
3760,00;0,0014
3759,00;0,0014
3758,00;0,0014
3757,00;0,0014
3756,00;0,0014
3755,00;0,0014
3754,00;0,0013
3753,00;0,0013
3752,00;0,0013
3751,00;0,0013
3750,00;0,0013
3749,00;0,0013
3748,00;0,0013
3747,00;0,0014
3746,00;0,0014
3745,00;0,0014
3744,00;0,0014
3743,00;0,0013
3742,00;0,0013
3741,00;0,0013
3740,00;0,0013
3739,00;0,0013
3738,00;0,0013
3737,00;0,0013
3736,00;0,0013
3735,00;0,0014
3734,00;0,0014
3733,00;0,0014
3732,00;0,0014
3731,00;0,0014
3730,00;0,0013
3729,00;0,0012
3728,00;0,0012
3727,00;0,0012
3726,00;0,0012
3725,00;0,0012
3724,00;0,0013
3723,00;0,0013
3722,00;0,0013
3721,00;0,0013
3720,00;0,0013
3719,00;0,0013
3718,00;0,0013
3717,00;0,0013
3716,00;0,0013
3715,00;0,0013
3714,00;0,0013
3713,00;0,0013
3712,00;0,0013
3711,00;0,0013
3710,00;0,0013
3709,00;0,0013
3708,00;0,0013
3707,00;0,0013
3706,00;0,0013
3705,00;0,0013
3704,00;0,0014
3703,00;0,0014
3702,00;0,0014
3701,00;0,0013
3700,00;0,0013
3699,00;0,0012
3698,00;0,0012
3697,00;0,0012
3696,00;0,0013
3695,00;0,0013
3694,00;0,0013
3693,00;0,0014
3692,00;0,0014
3691,00;0,0014
3690,00;0,0015
3689,00;0,0015
3688,00;0,0015
3687,00;0,0015
3686,00;0,0015
3685,00;0,0015
3684,00;0,0014
3683,00;0,0014
3682,00;0,0014
3681,00;0,0014
3680,00;0,0014
3679,00;0,0014
3678,00;0,0014
3677,00;0,0015
3676,00;0,0016
3675,00;0,0016
3674,00;0,0016
3673,00;0,0016
3672,00;0,0016
3671,00;0,0016
3670,00;0,0016
3669,00;0,0016
3668,00;0,0016
3667,00;0,0016
3666,00;0,0016
3665,00;0,0017
3664,00;0,0017
3663,00;0,0017
3662,00;0,0017
3661,00;0,0017
3660,00;0,0017
3659,00;0,0018
3658,00;0,0018
3657,00;0,0018
3656,00;0,0018
3655,00;0,0018
3654,00;0,0018
3653,00;0,0018
3652,00;0,0019
3651,00;0,0019
3650,00;0,0020
3649,00;0,0021
3648,00;0,0021
3647,00;0,0021
3646,00;0,0020
3645,00;0,0020
3644,00;0,0020
3643,00;0,0020
3642,00;0,0020
3641,00;0,0021
3640,00;0,0021
3639,00;0,0021
3638,00;0,0021
3637,00;0,0021
3636,00;0,0021
3635,00;0,0021
3634,00;0,0021
3633,00;0,0021
3632,00;0,0021
3631,00;0,0021
3630,00;0,0021
3629,00;0,0021
3628,00;0,0022
3627,00;0,0022
3626,00;0,0023
3625,00;0,0023
3624,00;0,0023
3623,00;0,0023
3622,00;0,0023
3621,00;0,0023
3620,00;0,0023
3619,00;0,0024
3618,00;0,0024
3617,00;0,0024
3616,00;0,0024
3615,00;0,0025
3614,00;0,0025
3613,00;0,0025
3612,00;0,0026
3611,00;0,0026
3610,00;0,0027
3609,00;0,0027
3608,00;0,0026
3607,00;0,0026
3606,00;0,0026
3605,00;0,0026
3604,00;0,0026
3603,00;0,0026
3602,00;0,0026
3601,00;0,0026
3600,00;0,0026
3599,00;0,0027
3598,00;0,0027
3597,00;0,0027
3596,00;0,0028
3595,00;0,0028
3594,00;0,0028
3593,00;0,0029
3592,00;0,0029
3591,00;0,0029
3590,00;0,0029
3589,00;0,0029
3588,00;0,0030
3587,00;0,0030
3586,00;0,0031
3585,00;0,0031
3584,00;0,0031
3583,00;0,0031
3582,00;0,0030
3581,00;0,0030
3580,00;0,0030
3579,00;0,0031
3578,00;0,0032
3577,00;0,0033
3576,00;0,0033
3575,00;0,0033
3574,00;0,0033
3573,00;0,0033
3572,00;0,0034
3571,00;0,0034
3570,00;0,0034
3569,00;0,0034
3568,00;0,0035
3567,00;0,0035
3566,00;0,0035
3565,00;0,0035
3564,00;0,0036
3563,00;0,0036
3562,00;0,0036
3561,00;0,0037
3560,00;0,0037
3559,00;0,0038
3558,00;0,0038
3557,00;0,0038
3556,00;0,0038
3555,00;0,0039
3554,00;0,0039
3553,00;0,0039
3552,00;0,0039
3551,00;0,0040
3550,00;0,0040
3549,00;0,0041
3548,00;0,0041
3547,00;0,0041
3546,00;0,0042
3545,00;0,0043
3544,00;0,0043
3543,00;0,0043
3542,00;0,0044
3541,00;0,0044
3540,00;0,0044
3539,00;0,0044
3538,00;0,0044
3537,00;0,0044
3536,00;0,0044
3535,00;0,0045
3534,00;0,0045
3533,00;0,0045
3532,00;0,0045
3531,00;0,0045
3530,00;0,0045
3529,00;0,0045
3528,00;0,0045
3527,00;0,0045
3526,00;0,0045
3525,00;0,0046
3524,00;0,0046
3523,00;0,0047
3522,00;0,0047
3521,00;0,0048
3520,00;0,0048
3519,00;0,0048
3518,00;0,0048
3517,00;0,0048
3516,00;0,0048
3515,00;0,0048
3514,00;0,0049
3513,00;0,0050
3512,00;0,0050
3511,00;0,0050
3510,00;0,0050
3509,00;0,0050
3508,00;0,0050
3507,00;0,0050
3506,00;0,0050
3505,00;0,0051
3504,00;0,0051
3503,00;0,0051
3502,00;0,0051
3501,00;0,0052
3500,00;0,0052
3499,00;0,0052
3498,00;0,0053
3497,00;0,0053
3496,00;0,0053
3495,00;0,0053
3494,00;0,0053
3493,00;0,0053
3492,00;0,0054
3491,00;0,0054
3490,00;0,0054
3489,00;0,0055
3488,00;0,0055
3487,00;0,0056
3486,00;0,0056
3485,00;0,0057
3484,00;0,0057
3483,00;0,0057
3482,00;0,0057
3481,00;0,0057
3480,00;0,0057
3479,00;0,0057
3478,00;0,0057
3477,00;0,0058
3476,00;0,0058
3475,00;0,0059
3474,00;0,0059
3473,00;0,0058
3472,00;0,0058
3471,00;0,0058
3470,00;0,0058
3469,00;0,0058
3468,00;0,0059
3467,00;0,0059
3466,00;0,0059
3465,00;0,0059
3464,00;0,0060
3463,00;0,0060
3462,00;0,0061
3461,00;0,0061
3460,00;0,0062
3459,00;0,0062
3458,00;0,0062
3457,00;0,0063
3456,00;0,0063
3455,00;0,0063
3454,00;0,0063
3453,00;0,0063
3452,00;0,0063
3451,00;0,0064
3450,00;0,0064
3449,00;0,0064
3448,00;0,0064
3447,00;0,0064
3446,00;0,0064
3445,00;0,0065
3444,00;0,0065
3443,00;0,0066
3442,00;0,0066
3441,00;0,0066
3440,00;0,0065
3439,00;0,0065
3438,00;0,0065
3437,00;0,0065
3436,00;0,0065
3435,00;0,0066
3434,00;0,0066
3433,00;0,0067
3432,00;0,0067
3431,00;0,0067
3430,00;0,0068
3429,00;0,0068
3428,00;0,0068
3427,00;0,0069
3426,00;0,0070
3425,00;0,0070
3424,00;0,0071
3423,00;0,0071
3422,00;0,0071
3421,00;0,0072
3420,00;0,0072
3419,00;0,0072
3418,00;0,0073
3417,00;0,0073
3416,00;0,0073
3415,00;0,0072
3414,00;0,0072
3413,00;0,0072
3412,00;0,0072
3411,00;0,0072
3410,00;0,0071
3409,00;0,0071
3408,00;0,0071
3407,00;0,0071
3406,00;0,0071
3405,00;0,0071
3404,00;0,0071
3403,00;0,0071
3402,00;0,0071
3401,00;0,0071
3400,00;0,0071
3399,00;0,0072
3398,00;0,0072
3397,00;0,0072
3396,00;0,0073
3395,00;0,0072
3394,00;0,0072
3393,00;0,0072
3392,00;0,0072
3391,00;0,0073
3390,00;0,0074
3389,00;0,0075
3388,00;0,0075
3387,00;0,0076
3386,00;0,0075
3385,00;0,0075
3384,00;0,0075
3383,00;0,0076
3382,00;0,0076
3381,00;0,0076
3380,00;0,0076
3379,00;0,0076
3378,00;0,0076
3377,00;0,0076
3376,00;0,0077
3375,00;0,0077
3374,00;0,0076
3373,00;0,0076
3372,00;0,0076
3371,00;0,0075
3370,00;0,0075
3369,00;0,0076
3368,00;0,0076
3367,00;0,0077
3366,00;0,0077
3365,00;0,0078
3364,00;0,0078
3363,00;0,0078
3362,00;0,0078
3361,00;0,0079
3360,00;0,0079
3359,00;0,0079
3358,00;0,0079
3357,00;0,0080
3356,00;0,0080
3355,00;0,0079
3354,00;0,0079
3353,00;0,0079
3352,00;0,0079
3351,00;0,0079
3350,00;0,0079
3349,00;0,0080
3348,00;0,0080
