Создан как новый массив данных;Образец 013 полученный BalashovM Дата среда, апреля 28 2021
cm-1;A
4000,00;0,0101
3999,00;0,0101
3998,00;0,0101
3997,00;0,0101
3996,00;0,0101
3995,00;0,0101
3994,00;0,0101
3993,00;0,0101
3992,00;0,0101
3991,00;0,0101
3990,00;0,0101
3989,00;0,0101
3988,00;0,0101
3987,00;0,0101
3986,00;0,0101
3985,00;0,0101
3984,00;0,0101
3983,00;0,0101
3982,00;0,0101
3981,00;0,0101
3980,00;0,0101
3979,00;0,0101
3978,00;0,0101
3977,00;0,0101
3976,00;0,0101
3975,00;0,0101
3974,00;0,0101
3973,00;0,0101
3972,00;0,0101
3971,00;0,0101
3970,00;0,0101
3969,00;0,0101
3968,00;0,0101
3967,00;0,0102
3966,00;0,0102
3965,00;0,0102
3964,00;0,0102
3963,00;0,0102
3962,00;0,0102
3961,00;0,0102
3960,00;0,0102
3959,00;0,0102
3958,00;0,0102
3957,00;0,0102
3956,00;0,0102
3955,00;0,0102
3954,00;0,0102
3953,00;0,0102
3952,00;0,0102
3951,00;0,0102
3950,00;0,0102
3949,00;0,0102
3948,00;0,0102
3947,00;0,0102
3946,00;0,0102
3945,00;0,0102
3944,00;0,0102
3943,00;0,0102
3942,00;0,0102
3941,00;0,0102
3940,00;0,0102
3939,00;0,0102
3938,00;0,0102
3937,00;0,0102
3936,00;0,0102
3935,00;0,0102
3934,00;0,0102
3933,00;0,0102
3932,00;0,0102
3931,00;0,0102
3930,00;0,0102
3929,00;0,0102
3928,00;0,0102
3927,00;0,0102
3926,00;0,0102
3925,00;0,0102
3924,00;0,0102
3923,00;0,0102
3922,00;0,0102
3921,00;0,0102
3920,00;0,0102
3919,00;0,0102
3918,00;0,0102
3917,00;0,0102
3916,00;0,0102
3915,00;0,0102
3914,00;0,0102
3913,00;0,0102
3912,00;0,0102
3911,00;0,0102
3910,00;0,0102
3909,00;0,0102
3908,00;0,0102
3907,00;0,0102
3906,00;0,0102
3905,00;0,0102
3904,00;0,0102
3903,00;0,0102
3902,00;0,0102
3901,00;0,0102
3900,00;0,0102
3899,00;0,0102
3898,00;0,0102
3897,00;0,0102
3896,00;0,0102
3895,00;0,0102
3894,00;0,0102
3893,00;0,0102
3892,00;0,0102
3891,00;0,0102
3890,00;0,0102
3889,00;0,0102
3888,00;0,0102
3887,00;0,0102
3886,00;0,0102
3885,00;0,0102
3884,00;0,0102
3883,00;0,0102
3882,00;0,0102
3881,00;0,0102
3880,00;0,0102
3879,00;0,0102
3878,00;0,0102
3877,00;0,0102
3876,00;0,0102
3875,00;0,0102
3874,00;0,0102
3873,00;0,0102
3872,00;0,0102
3871,00;0,0102
3870,00;0,0102
3869,00;0,0102
3868,00;0,0102
3867,00;0,0102
3866,00;0,0102
3865,00;0,0102
3864,00;0,0102
3863,00;0,0102
3862,00;0,0102
3861,00;0,0102
3860,00;0,0102
3859,00;0,0102
3858,00;0,0102
3857,00;0,0102
3856,00;0,0102
3855,00;0,0102
3854,00;0,0102
3853,00;0,0102
3852,00;0,0102
3851,00;0,0102
3850,00;0,0102
3849,00;0,0102
3848,00;0,0102
3847,00;0,0102
3846,00;0,0102
3845,00;0,0102
3844,00;0,0102
3843,00;0,0102
3842,00;0,0102
3841,00;0,0102
3840,00;0,0102
3839,00;0,0102
3838,00;0,0102
3837,00;0,0102
3836,00;0,0102
3835,00;0,0102
3834,00;0,0102
3833,00;0,0102
3832,00;0,0102
3831,00;0,0103
3830,00;0,0103
3829,00;0,0103
3828,00;0,0103
3827,00;0,0103
3826,00;0,0103
3825,00;0,0103
3824,00;0,0103
3823,00;0,0103
3822,00;0,0103
3821,00;0,0103
3820,00;0,0103
3819,00;0,0103
3818,00;0,0103
3817,00;0,0103
3816,00;0,0103
3815,00;0,0103
3814,00;0,0103
3813,00;0,0103
3812,00;0,0103
3811,00;0,0103
3810,00;0,0103
3809,00;0,0103
3808,00;0,0103
3807,00;0,0103
3806,00;0,0103
3805,00;0,0103
3804,00;0,0103
3803,00;0,0103
3802,00;0,0103
3801,00;0,0103
3800,00;0,0103
3799,00;0,0103
3798,00;0,0103
3797,00;0,0103
3796,00;0,0103
3795,00;0,0103
3794,00;0,0103
3793,00;0,0103
3792,00;0,0103
3791,00;0,0104
3790,00;0,0104
3789,00;0,0104
3788,00;0,0104
3787,00;0,0104
3786,00;0,0104
3785,00;0,0104
3784,00;0,0104
3783,00;0,0104
3782,00;0,0104
3781,00;0,0104
3780,00;0,0104
3779,00;0,0104
3778,00;0,0104
3777,00;0,0104
3776,00;0,0104
3775,00;0,0103
3774,00;0,0103
3773,00;0,0103
3772,00;0,0103
3771,00;0,0103
3770,00;0,0103
3769,00;0,0103
3768,00;0,0103
3767,00;0,0103
3766,00;0,0103
3765,00;0,0103
3764,00;0,0103
3763,00;0,0103
3762,00;0,0103
3761,00;0,0103
3760,00;0,0103
3759,00;0,0103
3758,00;0,0103
3757,00;0,0103
3756,00;0,0103
3755,00;0,0103
3754,00;0,0103
3753,00;0,0103
3752,00;0,0103
3751,00;0,0103
3750,00;0,0103
3749,00;0,0103
3748,00;0,0103
3747,00;0,0103
3746,00;0,0103
3745,00;0,0103
3744,00;0,0103
3743,00;0,0103
3742,00;0,0103
3741,00;0,0104
3740,00;0,0104
3739,00;0,0104
3738,00;0,0104
3737,00;0,0104
3736,00;0,0104
3735,00;0,0104
3734,00;0,0104
3733,00;0,0104
3732,00;0,0104
3731,00;0,0104
3730,00;0,0104
3729,00;0,0104
3728,00;0,0104
3727,00;0,0104
3726,00;0,0104
3725,00;0,0104
3724,00;0,0104
3723,00;0,0104
3722,00;0,0104
3721,00;0,0104
3720,00;0,0104
