Создан как новый массив данных;Образец 006 полученный BalashovM Дата понедельник, апреля 12 2021
cm-1;A
3685,00;0,0085
3684,00;0,0085
3683,00;0,0085
3682,00;0,0085
3681,00;0,0085
3680,00;0,0085
3679,00;0,0085
3678,00;0,0085
3677,00;0,0085
3676,00;0,0085
3675,00;0,0085
3674,00;0,0085
3673,00;0,0085
3672,00;0,0086
3671,00;0,0086
3670,00;0,0086
3669,00;0,0086
3668,00;0,0086
3667,00;0,0086
3666,00;0,0087
3665,00;0,0087
3664,00;0,0087
3663,00;0,0087
3662,00;0,0087
3661,00;0,0088
3660,00;0,0088
3659,00;0,0088
3658,00;0,0089
3657,00;0,0089
3656,00;0,0089
3655,00;0,0090
3654,00;0,0090
3653,00;0,0090
3652,00;0,0091
3651,00;0,0091
3650,00;0,0092
3649,00;0,0093
3648,00;0,0093
3647,00;0,0093
3646,00;0,0094
3645,00;0,0094
3644,00;0,0095
3643,00;0,0095
3642,00;0,0096
3641,00;0,0096
3640,00;0,0097
3639,00;0,0097
3638,00;0,0097
3637,00;0,0098
3636,00;0,0098
3635,00;0,0099
3634,00;0,0099
3633,00;0,0100
3632,00;0,0101
3631,00;0,0102
3630,00;0,0103
3629,00;0,0104
3628,00;0,0104
3627,00;0,0105
3626,00;0,0106
3625,00;0,0107
3624,00;0,0108
3623,00;0,0109
3622,00;0,0110
3621,00;0,0110
3620,00;0,0111
3619,00;0,0111
3618,00;0,0112
3617,00;0,0113
3616,00;0,0114
3615,00;0,0115
3614,00;0,0116
3613,00;0,0117
3612,00;0,0118
3611,00;0,0119
3610,00;0,0120
3609,00;0,0121
3608,00;0,0122
3607,00;0,0123
3606,00;0,0124
3605,00;0,0126
3604,00;0,0127
3603,00;0,0128
3602,00;0,0129
3601,00;0,0130
3600,00;0,0131
3599,00;0,0133
3598,00;0,0134
3597,00;0,0135
3596,00;0,0137
3595,00;0,0138
3594,00;0,0140
3593,00;0,0141
3592,00;0,0142
3591,00;0,0143
3590,00;0,0145
3589,00;0,0146
3588,00;0,0148
3587,00;0,0149
3586,00;0,0151
3585,00;0,0152
3584,00;0,0153
3583,00;0,0155
3582,00;0,0157
3581,00;0,0158
3580,00;0,0160
3579,00;0,0162
3578,00;0,0163
3577,00;0,0165
3576,00;0,0167
3575,00;0,0168
3574,00;0,0170
3573,00;0,0172
3572,00;0,0173
3571,00;0,0175
3570,00;0,0177
3569,00;0,0179
3568,00;0,0182
3567,00;0,0184
3566,00;0,0186
3565,00;0,0189
3564,00;0,0191
3563,00;0,0194
3562,00;0,0196
3561,00;0,0198
3560,00;0,0201
3559,00;0,0203
3558,00;0,0205
3557,00;0,0208
3556,00;0,0210
3555,00;0,0213
3554,00;0,0215
3553,00;0,0218
3552,00;0,0220
3551,00;0,0222
3550,00;0,0225
3549,00;0,0227
3548,00;0,0230
3547,00;0,0232
3546,00;0,0234
3545,00;0,0236
3544,00;0,0237
3543,00;0,0239
3542,00;0,0240
3541,00;0,0241
3540,00;0,0243
3539,00;0,0244
3538,00;0,0245
3537,00;0,0246
3536,00;0,0247
3535,00;0,0247
3534,00;0,0248
3533,00;0,0248
3532,00;0,0248
3531,00;0,0249
3530,00;0,0249
3529,00;0,0249
3528,00;0,0249
3527,00;0,0250
3526,00;0,0250
3525,00;0,0250
3524,00;0,0250
3523,00;0,0250
3522,00;0,0250
3521,00;0,0250
3520,00;0,0250
3519,00;0,0251
3518,00;0,0251
3517,00;0,0252
3516,00;0,0252
3515,00;0,0252
3514,00;0,0252
3513,00;0,0252
3512,00;0,0253
