Создан как новый массив данных;Образец 011 полученный BalashovM Дата среда, апреля 28 2021
cm-1;A
4000,00;0,0130
3999,00;0,0130
3998,00;0,0130
3997,00;0,0130
3996,00;0,0130
3995,00;0,0130
3994,00;0,0130
3993,00;0,0130
3992,00;0,0130
3991,00;0,0130
3990,00;0,0130
3989,00;0,0130
3988,00;0,0130
3987,00;0,0130
3986,00;0,0130
3985,00;0,0130
3984,00;0,0130
3983,00;0,0130
3982,00;0,0130
3981,00;0,0130
3980,00;0,0130
3979,00;0,0130
3978,00;0,0130
3977,00;0,0130
3976,00;0,0130
3975,00;0,0130
3974,00;0,0130
3973,00;0,0130
3972,00;0,0130
3971,00;0,0130
3970,00;0,0130
3969,00;0,0130
3968,00;0,0130
3967,00;0,0130
3966,00;0,0130
3965,00;0,0130
3964,00;0,0130
3963,00;0,0130
3962,00;0,0130
3961,00;0,0130
3960,00;0,0130
3959,00;0,0130
3958,00;0,0130
3957,00;0,0130
3956,00;0,0130
3955,00;0,0130
3954,00;0,0130
3953,00;0,0130
3952,00;0,0130
3951,00;0,0130
3950,00;0,0130
3949,00;0,0130
3948,00;0,0130
3947,00;0,0130
3946,00;0,0130
3945,00;0,0130
3944,00;0,0130
3943,00;0,0130
3942,00;0,0130
3941,00;0,0130
3940,00;0,0130
3939,00;0,0130
3938,00;0,0130
3937,00;0,0131
3936,00;0,0131
3935,00;0,0131
3934,00;0,0131
3933,00;0,0131
3932,00;0,0131
3931,00;0,0131
3930,00;0,0131
3929,00;0,0131
3928,00;0,0131
3927,00;0,0131
3926,00;0,0131
3925,00;0,0131
3924,00;0,0131
3923,00;0,0131
3922,00;0,0131
3921,00;0,0131
3920,00;0,0131
3919,00;0,0131
3918,00;0,0131
3917,00;0,0131
3916,00;0,0131
3915,00;0,0131
3914,00;0,0131
3913,00;0,0131
3912,00;0,0131
3911,00;0,0131
3910,00;0,0131
3909,00;0,0131
3908,00;0,0131
3907,00;0,0131
3906,00;0,0131
3905,00;0,0131
3904,00;0,0131
3903,00;0,0131
3902,00;0,0131
3901,00;0,0131
3900,00;0,0131
3899,00;0,0131
3898,00;0,0131
3897,00;0,0131
3896,00;0,0131
3895,00;0,0131
3894,00;0,0131
3893,00;0,0131
3892,00;0,0131
3891,00;0,0131
3890,00;0,0131
3889,00;0,0131
3888,00;0,0131
3887,00;0,0131
3886,00;0,0131
3885,00;0,0131
3884,00;0,0131
3883,00;0,0131
3882,00;0,0131
3881,00;0,0131
3880,00;0,0131
3879,00;0,0131
3878,00;0,0131
3877,00;0,0131
3876,00;0,0131
3875,00;0,0131
3874,00;0,0131
3873,00;0,0131
3872,00;0,0131
3871,00;0,0131
3870,00;0,0131
3869,00;0,0131
3868,00;0,0131
3867,00;0,0131
3866,00;0,0131
3865,00;0,0131
3864,00;0,0131
3863,00;0,0131
3862,00;0,0131
3861,00;0,0131
3860,00;0,0131
3859,00;0,0131
3858,00;0,0131
3857,00;0,0131
3856,00;0,0131
3855,00;0,0131
3854,00;0,0131
3853,00;0,0131
3852,00;0,0131
3851,00;0,0131
3850,00;0,0131
3849,00;0,0131
3848,00;0,0131
3847,00;0,0131
3846,00;0,0131
3845,00;0,0131
3844,00;0,0131
3843,00;0,0131
3842,00;0,0131
3841,00;0,0131
3840,00;0,0131
3839,00;0,0131
3838,00;0,0131
3837,00;0,0131
3836,00;0,0131
3835,00;0,0131
3834,00;0,0131
3833,00;0,0131
3832,00;0,0131
3831,00;0,0131
3830,00;0,0131
3829,00;0,0131
3828,00;0,0131
3827,00;0,0131
3826,00;0,0131
3825,00;0,0131
3824,00;0,0131
3823,00;0,0131
3822,00;0,0131
3821,00;0,0131
3820,00;0,0131
3819,00;0,0130
3818,00;0,0130
3817,00;0,0130
3816,00;0,0130
3815,00;0,0130
3814,00;0,0130
3813,00;0,0130
3812,00;0,0130
3811,00;0,0130
3810,00;0,0130
3809,00;0,0130
3808,00;0,0130
3807,00;0,0130
3806,00;0,0130
3805,00;0,0130
3804,00;0,0130
3803,00;0,0130
3802,00;0,0130
3801,00;0,0130
3800,00;0,0130
3799,00;0,0130
3798,00;0,0130
3797,00;0,0130
3796,00;0,0130
3795,00;0,0130
3794,00;0,0130
3793,00;0,0130
3792,00;0,0130
3791,00;0,0130
3790,00;0,0130
3789,00;0,0130
3788,00;0,0130
3787,00;0,0130
3786,00;0,0130
3785,00;0,0130
3784,00;0,0130
3783,00;0,0130
3782,00;0,0130
3781,00;0,0130
3780,00;0,0130
3779,00;0,0130
3778,00;0,0130
3777,00;0,0130
3776,00;0,0130
3775,00;0,0130
3774,00;0,0130
3773,00;0,0130
3772,00;0,0130
3771,00;0,0130
3770,00;0,0130
3769,00;0,0130
3768,00;0,0130
3767,00;0,0130
3766,00;0,0130
3765,00;0,0130
3764,00;0,0130
3763,00;0,0130
3762,00;0,0130
3761,00;0,0131
3760,00;0,0130
3759,00;0,0130
3758,00;0,0130
3757,00;0,0130
3756,00;0,0130
3755,00;0,0130
3754,00;0,0131
3753,00;0,0131
3752,00;0,0131
3751,00;0,0131
3750,00;0,0131
3749,00;0,0131
3748,00;0,0131
3747,00;0,0131
3746,00;0,0131
3745,00;0,0131
3744,00;0,0131
3743,00;0,0131
3742,00;0,0131
3741,00;0,0131
3740,00;0,0131
3739,00;0,0131
3738,00;0,0131
3737,00;0,0131
3736,00;0,0131
3735,00;0,0131
3734,00;0,0131
3733,00;0,0131
3732,00;0,0131
3731,00;0,0131
3730,00;0,0131
3729,00;0,0131
3728,00;0,0131
3727,00;0,0131
3726,00;0,0131
3725,00;0,0131
3724,00;0,0130
3723,00;0,0130
3722,00;0,0130
3721,00;0,0130
3720,00;0,0130
3719,00;0,0130
3718,00;0,0131
3717,00;0,0131
3716,00;0,0131
3715,00;0,0131
3714,00;0,0131
3713,00;0,0131
3712,00;0,0131
3711,00;0,0131
3710,00;0,0131
3709,00;0,0131
3708,00;0,0131
3707,00;0,0131
3706,00;0,0131
3705,00;0,0131
3704,00;0,0131
3703,00;0,0132
3702,00;0,0132
3701,00;0,0132
3700,00;0,0132
3699,00;0,0132
3698,00;0,0132
3697,00;0,0132
3696,00;0,0132
3695,00;0,0133
3694,00;0,0133
3693,00;0,0133
3692,00;0,0133
3691,00;0,0134
3690,00;0,0134
3689,00;0,0134
3688,00;0,0133
3687,00;0,0133
3686,00;0,0133
3685,00;0,0133
3684,00;0,0133
3683,00;0,0133
3682,00;0,0133
3681,00;0,0133
3680,00;0,0133
3679,00;0,0133
3678,00;0,0133
3677,00;0,0133
3676,00;0,0133
3675,00;0,0133
3674,00;0,0133
3673,00;0,0133
3672,00;0,0133
3671,00;0,0133
3670,00;0,0133
3669,00;0,0133
3668,00;0,0133
3667,00;0,0133
3666,00;0,0133
3665,00;0,0133
3664,00;0,0133
3663,00;0,0133
3662,00;0,0133
3661,00;0,0133
3660,00;0,0133
3659,00;0,0133
3658,00;0,0133
3657,00;0,0133
3656,00;0,0134
3655,00;0,0134
3654,00;0,0134
3653,00;0,0134
3652,00;0,0134
3651,00;0,0134
3650,00;0,0134
3649,00;0,0134
3648,00;0,0134
3647,00;0,0134
3646,00;0,0134
3645,00;0,0134
3644,00;0,0134
3643,00;0,0134
3642,00;0,0134
3641,00;0,0135
3640,00;0,0135
3639,00;0,0135
3638,00;0,0135
3637,00;0,0135
3636,00;0,0135
3635,00;0,0135
3634,00;0,0136
3633,00;0,0136
3632,00;0,0136
3631,00;0,0136
3630,00;0,0136
3629,00;0,0136
3628,00;0,0136
3627,00;0,0136
3626,00;0,0137
3625,00;0,0137
3624,00;0,0137
3623,00;0,0137
3622,00;0,0137
3621,00;0,0137
3620,00;0,0137
3619,00;0,0138
3618,00;0,0138
3617,00;0,0138
3616,00;0,0138
3615,00;0,0138
3614,00;0,0139
3613,00;0,0139
3612,00;0,0139
3611,00;0,0139
3610,00;0,0139
3609,00;0,0140
3608,00;0,0140
3607,00;0,0140
3606,00;0,0140
3605,00;0,0141
3604,00;0,0141
3603,00;0,0141
3602,00;0,0141
3601,00;0,0141
3600,00;0,0141
3599,00;0,0142
3598,00;0,0142
3597,00;0,0142
3596,00;0,0143
3595,00;0,0143
3594,00;0,0143
3593,00;0,0144
3592,00;0,0144
3591,00;0,0144
3590,00;0,0144
3589,00;0,0144
3588,00;0,0145
3587,00;0,0145
3586,00;0,0145
3585,00;0,0145
3584,00;0,0145
3583,00;0,0146
3582,00;0,0146
3581,00;0,0146
3580,00;0,0146
3579,00;0,0146
3578,00;0,0147
