Создан как новый массив данных;Образец 012 полученный BalashovM Дата вторник, ноября 16 2021
cm-1;A
4000,00;0,0324
3999,00;0,0324
3998,00;0,0324
3997,00;0,0324
3996,00;0,0324
3995,00;0,0324
3994,00;0,0325
3993,00;0,0325
3992,00;0,0325
3991,00;0,0325
3990,00;0,0325
3989,00;0,0325
3988,00;0,0325
3987,00;0,0325
3986,00;0,0325
3985,00;0,0325
3984,00;0,0325
3983,00;0,0325
3982,00;0,0325
3981,00;0,0325
3980,00;0,0326
3979,00;0,0326
3978,00;0,0326
3977,00;0,0326
3976,00;0,0326
3975,00;0,0326
3974,00;0,0326
3973,00;0,0326
3972,00;0,0326
3971,00;0,0326
3970,00;0,0326
3969,00;0,0327
3968,00;0,0327
3967,00;0,0326
3966,00;0,0326
3965,00;0,0326
3964,00;0,0326
3963,00;0,0327
3962,00;0,0327
3961,00;0,0327
3960,00;0,0327
3959,00;0,0327
3958,00;0,0327
3957,00;0,0327
3956,00;0,0327
3955,00;0,0327
3954,00;0,0327
3953,00;0,0327
3952,00;0,0327
3951,00;0,0328
3950,00;0,0328
3949,00;0,0328
3948,00;0,0328
3947,00;0,0328
3946,00;0,0328
3945,00;0,0328
3944,00;0,0329
3943,00;0,0329
3942,00;0,0329
3941,00;0,0329
3940,00;0,0329
3939,00;0,0329
3938,00;0,0329
3937,00;0,0329
3936,00;0,0329
3935,00;0,0329
3934,00;0,0329
3933,00;0,0329
3932,00;0,0329
3931,00;0,0329
3930,00;0,0329
3929,00;0,0329
3928,00;0,0329
3927,00;0,0329
3926,00;0,0330
3925,00;0,0330
3924,00;0,0330
3923,00;0,0330
3922,00;0,0330
3921,00;0,0330
3920,00;0,0330
3919,00;0,0330
3918,00;0,0330
3917,00;0,0330
3916,00;0,0330
3915,00;0,0330
3914,00;0,0330
3913,00;0,0330
3912,00;0,0330
3911,00;0,0331
3910,00;0,0331
3909,00;0,0331
3908,00;0,0331
3907,00;0,0331
3906,00;0,0331
3905,00;0,0331
3904,00;0,0331
3903,00;0,0331
3902,00;0,0331
3901,00;0,0331
3900,00;0,0331
3899,00;0,0331
3898,00;0,0332
3897,00;0,0332
3896,00;0,0332
3895,00;0,0332
3894,00;0,0332
3893,00;0,0332
3892,00;0,0332
3891,00;0,0332
3890,00;0,0332
3889,00;0,0332
3888,00;0,0332
3887,00;0,0333
3886,00;0,0333
3885,00;0,0333
3884,00;0,0333
3883,00;0,0333
3882,00;0,0333
3881,00;0,0333
3880,00;0,0333
3879,00;0,0333
3878,00;0,0333
3877,00;0,0333
3876,00;0,0334
3875,00;0,0334
3874,00;0,0334
3873,00;0,0334
3872,00;0,0334
3871,00;0,0334
3870,00;0,0334
3869,00;0,0334
3868,00;0,0334
3867,00;0,0334
3866,00;0,0334
3865,00;0,0334
3864,00;0,0335
3863,00;0,0335
3862,00;0,0335
3861,00;0,0335
3860,00;0,0335
3859,00;0,0335
3858,00;0,0335
3857,00;0,0335
3856,00;0,0335
3855,00;0,0335
3854,00;0,0335
3853,00;0,0335
3852,00;0,0335
3851,00;0,0335
3850,00;0,0336
3849,00;0,0336
3848,00;0,0336
3847,00;0,0336
3846,00;0,0336
3845,00;0,0336
3844,00;0,0336
3843,00;0,0336
3842,00;0,0336
3841,00;0,0336
3840,00;0,0336
3839,00;0,0336
3838,00;0,0336
3837,00;0,0336
3836,00;0,0336
3835,00;0,0336
3834,00;0,0336
3833,00;0,0336
3832,00;0,0337
3831,00;0,0337
3830,00;0,0337
3829,00;0,0337
3828,00;0,0337
3827,00;0,0337
3826,00;0,0337
3825,00;0,0337
3824,00;0,0337
3823,00;0,0337
3822,00;0,0337
3821,00;0,0337
3820,00;0,0337
3819,00;0,0337
3818,00;0,0337
3817,00;0,0337
3816,00;0,0337
3815,00;0,0337
3814,00;0,0337
3813,00;0,0337
3812,00;0,0337
3811,00;0,0337
3810,00;0,0337
3809,00;0,0337
3808,00;0,0337
3807,00;0,0338
3806,00;0,0338
3805,00;0,0338
3804,00;0,0338
