Создан как новый массив данных;Образец 010 полученный BalashovM Дата среда, апреля 28 2021
cm-1;A
4000,00;0,0162
3999,00;0,0162
3998,00;0,0162
3997,00;0,0162
3996,00;0,0162
3995,00;0,0162
3994,00;0,0162
3993,00;0,0162
3992,00;0,0162
3991,00;0,0162
3990,00;0,0162
3989,00;0,0162
3988,00;0,0163
3987,00;0,0163
3986,00;0,0163
3985,00;0,0163
3984,00;0,0163
3983,00;0,0163
3982,00;0,0163
3981,00;0,0163
3980,00;0,0163
3979,00;0,0163
3978,00;0,0163
3977,00;0,0163
3976,00;0,0163
3975,00;0,0163
3974,00;0,0163
3973,00;0,0163
3972,00;0,0163
3971,00;0,0163
3970,00;0,0163
3969,00;0,0163
3968,00;0,0163
3967,00;0,0163
3966,00;0,0163
3965,00;0,0163
3964,00;0,0163
3963,00;0,0163
3962,00;0,0163
3961,00;0,0163
3960,00;0,0164
3959,00;0,0164
3958,00;0,0164
3957,00;0,0164
3956,00;0,0164
3955,00;0,0164
3954,00;0,0164
3953,00;0,0164
3952,00;0,0164
3951,00;0,0164
3950,00;0,0164
3949,00;0,0164
3948,00;0,0164
3947,00;0,0164
3946,00;0,0164
3945,00;0,0164
3944,00;0,0164
3943,00;0,0164
3942,00;0,0164
3941,00;0,0164
3940,00;0,0164
3939,00;0,0164
3938,00;0,0164
3937,00;0,0164
3936,00;0,0164
3935,00;0,0164
3934,00;0,0164
3933,00;0,0164
3932,00;0,0164
3931,00;0,0164
3930,00;0,0164
3929,00;0,0164
3928,00;0,0164
3927,00;0,0164
3926,00;0,0164
3925,00;0,0164
3924,00;0,0164
3923,00;0,0164
3922,00;0,0164
3921,00;0,0164
3920,00;0,0164
3919,00;0,0164
3918,00;0,0164
3917,00;0,0164
3916,00;0,0164
3915,00;0,0164
3914,00;0,0164
3913,00;0,0164
3912,00;0,0164
3911,00;0,0164
3910,00;0,0164
3909,00;0,0164
3908,00;0,0164
3907,00;0,0164
3906,00;0,0164
3905,00;0,0164
3904,00;0,0164
3903,00;0,0164
3902,00;0,0164
3901,00;0,0164
3900,00;0,0164
3899,00;0,0164
3898,00;0,0164
3897,00;0,0164
3896,00;0,0164
3895,00;0,0164
3894,00;0,0164
3893,00;0,0164
3892,00;0,0164
3891,00;0,0164
3890,00;0,0164
3889,00;0,0164
3888,00;0,0164
3887,00;0,0164
3886,00;0,0164
3885,00;0,0164
3884,00;0,0164
3883,00;0,0164
3882,00;0,0164
3881,00;0,0164
3880,00;0,0164
3879,00;0,0164
3878,00;0,0164
3877,00;0,0164
3876,00;0,0164
3875,00;0,0164
3874,00;0,0164
3873,00;0,0164
3872,00;0,0163
3871,00;0,0163
3870,00;0,0163
3869,00;0,0163
3868,00;0,0163
3867,00;0,0164
3866,00;0,0164
3865,00;0,0164
3864,00;0,0164
3863,00;0,0164
3862,00;0,0164
3861,00;0,0164
3860,00;0,0164
3859,00;0,0164
3858,00;0,0163
3857,00;0,0163
3856,00;0,0162
3855,00;0,0162
3854,00;0,0162
3853,00;0,0162
3852,00;0,0162
3851,00;0,0162
3850,00;0,0163
3849,00;0,0163
3848,00;0,0164
3847,00;0,0164
3846,00;0,0164
3845,00;0,0164
3844,00;0,0164
3843,00;0,0164
3842,00;0,0163
3841,00;0,0163
3840,00;0,0163
3839,00;0,0163
3838,00;0,0163
3837,00;0,0163
3836,00;0,0163
3835,00;0,0163
3834,00;0,0163
3833,00;0,0163
3832,00;0,0163
3831,00;0,0163
3830,00;0,0164
3829,00;0,0164
3828,00;0,0164
3827,00;0,0164
3826,00;0,0164
3825,00;0,0164
3824,00;0,0164
3823,00;0,0164
3822,00;0,0164
3821,00;0,0164
3820,00;0,0163
3819,00;0,0163
3818,00;0,0163
3817,00;0,0163
3816,00;0,0163
3815,00;0,0163
3814,00;0,0164
3813,00;0,0164
3812,00;0,0164
3811,00;0,0164
3810,00;0,0164
3809,00;0,0164
3808,00;0,0164
3807,00;0,0164
3806,00;0,0164
3805,00;0,0164
3804,00;0,0164
3803,00;0,0163
3802,00;0,0163
3801,00;0,0164
3800,00;0,0163
3799,00;0,0164
3798,00;0,0164
3797,00;0,0164
3796,00;0,0164
3795,00;0,0164
3794,00;0,0165
3793,00;0,0165
3792,00;0,0165
3791,00;0,0165
3790,00;0,0165
3789,00;0,0165
3788,00;0,0165
3787,00;0,0165
3786,00;0,0165
3785,00;0,0165
3784,00;0,0165
3783,00;0,0165
3782,00;0,0165
3781,00;0,0165
3780,00;0,0165
3779,00;0,0165
3778,00;0,0165
3777,00;0,0165
3776,00;0,0165
3775,00;0,0165
3774,00;0,0166
3773,00;0,0165
3772,00;0,0165
3771,00;0,0165
3770,00;0,0165
3769,00;0,0165
3768,00;0,0165
3767,00;0,0165
3766,00;0,0165
3765,00;0,0165
3764,00;0,0165
3763,00;0,0165
3762,00;0,0165
3761,00;0,0165
3760,00;0,0165
3759,00;0,0165
3758,00;0,0165
3757,00;0,0165
3756,00;0,0164
3755,00;0,0164
3754,00;0,0163
3753,00;0,0163
3752,00;0,0162
3751,00;0,0162
3750,00;0,0162
3749,00;0,0162
3748,00;0,0161
3747,00;0,0161
3746,00;0,0162
3745,00;0,0162
3744,00;0,0162
3743,00;0,0163
3742,00;0,0163
3741,00;0,0163
3740,00;0,0164
3739,00;0,0164
3738,00;0,0165
3737,00;0,0165
3736,00;0,0165
3735,00;0,0165
3734,00;0,0165
3733,00;0,0165
3732,00;0,0165
3731,00;0,0165
3730,00;0,0165
3729,00;0,0165
3728,00;0,0165
3727,00;0,0165
3726,00;0,0165
3725,00;0,0165
3724,00;0,0165
3723,00;0,0165
3722,00;0,0165
3721,00;0,0165
3720,00;0,0165
3719,00;0,0165
3718,00;0,0165
3717,00;0,0165
3716,00;0,0165
3715,00;0,0165
3714,00;0,0164
3713,00;0,0164
3712,00;0,0165
3711,00;0,0165
3710,00;0,0165
3709,00;0,0165
3708,00;0,0165
3707,00;0,0165
3706,00;0,0165
3705,00;0,0166
3704,00;0,0166
3703,00;0,0166
3702,00;0,0166
3701,00;0,0167
3700,00;0,0167
3699,00;0,0167
3698,00;0,0167
3697,00;0,0167
3696,00;0,0167
3695,00;0,0167
3694,00;0,0167
3693,00;0,0167
3692,00;0,0166
3691,00;0,0166
3690,00;0,0166
3689,00;0,0165
3688,00;0,0165
3687,00;0,0165
3686,00;0,0165
3685,00;0,0166
3684,00;0,0166
3683,00;0,0166
3682,00;0,0167
3681,00;0,0167
3680,00;0,0167
3679,00;0,0166
3678,00;0,0166
3677,00;0,0166
3676,00;0,0165
3675,00;0,0165
3674,00;0,0165
3673,00;0,0165
3672,00;0,0165
3671,00;0,0166
3670,00;0,0166
3669,00;0,0166
3668,00;0,0167
3667,00;0,0167
3666,00;0,0167
3665,00;0,0167
3664,00;0,0168
3663,00;0,0168
3662,00;0,0168
3661,00;0,0168
3660,00;0,0168
3659,00;0,0168
3658,00;0,0168
3657,00;0,0168
3656,00;0,0168
3655,00;0,0168
3654,00;0,0168
3653,00;0,0167
3652,00;0,0167
3651,00;0,0167
3650,00;0,0168
3649,00;0,0168
3648,00;0,0168
3647,00;0,0169
3646,00;0,0169
3645,00;0,0169
3644,00;0,0170
3643,00;0,0170
3642,00;0,0171
3641,00;0,0171
3640,00;0,0171
3639,00;0,0171
3638,00;0,0171
3637,00;0,0172
3636,00;0,0172
3635,00;0,0172
3634,00;0,0172
3633,00;0,0172
3632,00;0,0172
