Создан как новый массив данных;Образец 001 полученный BalashovM Дата вторник, ноября 16 2021
cm-1;A
3685,00;0,0435
3684,00;0,0435
3683,00;0,0435
3682,00;0,0435
3681,00;0,0435
3680,00;0,0435
3679,00;0,0435
3678,00;0,0435
3677,00;0,0435
3676,00;0,0435
3675,00;0,0435
3674,00;0,0435
3673,00;0,0435
3672,00;0,0435
3671,00;0,0435
3670,00;0,0435
3669,00;0,0435
3668,00;0,0435
3667,00;0,0435
3666,00;0,0435
3665,00;0,0435
3664,00;0,0434
3663,00;0,0434
3662,00;0,0434
3661,00;0,0434
3660,00;0,0434
3659,00;0,0434
3658,00;0,0434
3657,00;0,0434
3656,00;0,0434
3655,00;0,0434
3654,00;0,0434
3653,00;0,0434
3652,00;0,0434
3651,00;0,0434
3650,00;0,0434
3649,00;0,0434
3648,00;0,0434
3647,00;0,0434
3646,00;0,0434
3645,00;0,0434
3644,00;0,0434
3643,00;0,0434
3642,00;0,0434
3641,00;0,0434
3640,00;0,0434
3639,00;0,0434
3638,00;0,0434
3637,00;0,0434
3636,00;0,0434
3635,00;0,0434
3634,00;0,0434
3633,00;0,0434
3632,00;0,0434
3631,00;0,0434
3630,00;0,0434
3629,00;0,0434
3628,00;0,0434
3627,00;0,0434
3626,00;0,0434
3625,00;0,0434
3624,00;0,0434
3623,00;0,0434
3622,00;0,0434
3621,00;0,0434
3620,00;0,0434
3619,00;0,0434
3618,00;0,0434
3617,00;0,0434
3616,00;0,0434
3615,00;0,0434
3614,00;0,0434
3613,00;0,0434
3612,00;0,0434
3611,00;0,0434
3610,00;0,0434
3609,00;0,0434
3608,00;0,0434
3607,00;0,0434
3606,00;0,0434
3605,00;0,0434
3604,00;0,0434
3603,00;0,0434
3602,00;0,0434
3601,00;0,0435
3600,00;0,0435
3599,00;0,0435
3598,00;0,0435
3597,00;0,0435
3596,00;0,0435
3595,00;0,0435
3594,00;0,0435
3593,00;0,0435
3592,00;0,0435
3591,00;0,0435
3590,00;0,0435
3589,00;0,0435
3588,00;0,0435
3587,00;0,0435
3586,00;0,0435
3585,00;0,0435
3584,00;0,0435
3583,00;0,0435
3582,00;0,0435
3581,00;0,0435
3580,00;0,0435
3579,00;0,0436
3578,00;0,0436
3577,00;0,0436
3576,00;0,0436
3575,00;0,0436
3574,00;0,0436
3573,00;0,0436
3572,00;0,0436
3571,00;0,0436
3570,00;0,0436
3569,00;0,0436
3568,00;0,0436
3567,00;0,0436
3566,00;0,0436
3565,00;0,0436
3564,00;0,0436
3563,00;0,0436
3562,00;0,0437
3561,00;0,0437
3560,00;0,0437
3559,00;0,0437
3558,00;0,0437
3557,00;0,0437
3556,00;0,0437
3555,00;0,0437
3554,00;0,0437
3553,00;0,0437
3552,00;0,0437
3551,00;0,0437
3550,00;0,0437
3549,00;0,0438
3548,00;0,0438
3547,00;0,0438
3546,00;0,0438
3545,00;0,0438
3544,00;0,0438
3543,00;0,0438
3542,00;0,0438
3541,00;0,0438
3540,00;0,0438
3539,00;0,0438
3538,00;0,0438
3537,00;0,0438
3536,00;0,0438
3535,00;0,0439
3534,00;0,0439
3533,00;0,0439
3532,00;0,0439
3531,00;0,0439
3530,00;0,0439
3529,00;0,0439
3528,00;0,0439
3527,00;0,0439
3526,00;0,0439
3525,00;0,0439
3524,00;0,0439
3523,00;0,0439
3522,00;0,0439
3521,00;0,0439
3520,00;0,0439
3519,00;0,0439
3518,00;0,0439
3517,00;0,0439
3516,00;0,0439
3515,00;0,0439
3514,00;0,0439
3513,00;0,0439
3512,00;0,0439
3511,00;0,0440
3510,00;0,0440
3509,00;0,0440
3508,00;0,0440
3507,00;0,0440
3506,00;0,0440
3505,00;0,0440
3504,00;0,0440
3503,00;0,0440
3502,00;0,0440
3501,00;0,0440
3500,00;0,0440
3499,00;0,0440
3498,00;0,0440
3497,00;0,0440
3496,00;0,0440
3495,00;0,0440
3494,00;0,0440
3493,00;0,0440
3492,00;0,0440
3491,00;0,0440
3490,00;0,0440
3489,00;0,0440
3488,00;0,0440
3487,00;0,0440
3486,00;0,0440
3485,00;0,0440
